support,axis,statistic,extent_mm,n_visits,interpretation
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,X,MINIMUM,100.00000002051034,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,X,Q05,144.99839782714844,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,X,Q50,170.6666717529297,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,X,Q90,319.9999924362386,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,X,Q95,340.0000076991297,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,X,Q99,380.0132338073569,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,X,MAXIMUM,429.99998482940543,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Y,MINIMUM,100.00000002051033,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Y,Q05,144.99839782714844,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Y,Q50,170.6666717529297,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Y,Q90,319.99999243623853,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Y,Q95,340.0000076991297,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Y,Q99,380.01323380735687,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Y,MAXIMUM,429.99998482940543,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Z,MINIMUM,128.0,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Z,Q05,158.3997802734375,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Z,Q50,160.0,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Z,Q90,175.9997802734375,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Z,Q95,193.5997314453125,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Z,Q99,208.0,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
F2_RECONSTRUCTED_SOURCE_IMAGE_SUPPORT,Z,MAXIMUM,246.4002685546875,1500,separate_marginal_reconstructed_source_AABB_statistic_not_raw_footprint_equivalence_or_BPE_support
