scope,visit,status,error_code,file_count,slice_count,timepoint_count,decoded_cell_count,verified_cell_count,pixel_order_verified,finite_fraction,nonconstant,cell_recomparison_max_abs_error,center_corner_error_mm,footprint_corner_error_mm,qform_code,sform_code,elapsed_seconds
FORMAL_72,T3,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,8.546245233714916e-06,8.546276658917408e-06,1,1,12.357676982879639
BASE_ONLY_EXTENSION_74,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.9416537444103065e-06,4.941653769304336e-06,1,1,11.0698561668396
BASE_ONLY_EXTENSION_74,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.636167761875875e-06,4.636175055872978e-06,1,1,11.66538953781128
FORMAL_72,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,1.1225886485980097e-05,1.1225908167878266e-05,1,1,12.214213371276855
FORMAL_72,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,3.932107558449564e-06,3.932107558452177e-06,1,1,5.743011474609375
FORMAL_72,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,3.9384123743584665e-06,3.9384123880045264e-06,1,1,5.4264304637908936
BASE_ONLY_EXTENSION_74,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.265017849672052e-06,4.2650178369614905e-06,1,1,5.7855894565582275
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.939403075313153e-06,4.9394274424502386e-06,1,1,12.407246589660645
BASE_ONLY_EXTENSION_74,T0,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,5.685885352445792e-06,5.685912292332235e-06,1,1,12.914247274398804
BASE_ONLY_EXTENSION_74,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,6.0169548460398275e-06,6.016954900241316e-06,1,1,12.032392501831055
BASE_ONLY_EXTENSION_74,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,5.927166467166987e-06,5.9271884618296156e-06,1,1,11.860348463058472
