seed_base,fold_aggregation,task,endpoint,target_semantics,metric,L3_minus_L1,N3_minus_N1,N1_minus_L1,difference_in_differences
2026,pooled_five_fold_oof,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.07198323662153447,0.04644441916031403,-0.13301733227139984,-0.025538817461220442
2026,pooled_five_fold_oof,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.05922129935924891,0.036665349522868845,-0.30077014366176635,-0.022555949836380068
3026,pooled_five_fold_oof,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.13118663480866233,0.027052982895285793,-0.1196618500398225,-0.10413365191337653
3026,pooled_five_fold_oof,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.0798439541040723,0.03481553615642924,-0.2584288902798873,-0.04502841794764306
2026,pooled_five_fold_oof,delta,macro,literal_ftv_end_minus_ftv_start,r2,0.01498243890492997,0.05058598483774246,-0.07587873480881453,0.03560354593281249
2026,pooled_five_fold_oof,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,r2,0.1283087500656489,-0.006372458316608848,0.05792384320235583,-0.13468120838225775
3026,pooled_five_fold_oof,delta,macro,literal_ftv_end_minus_ftv_start,r2,0.013065497966214736,0.01315900396706371,-0.017552378217730962,9.350600084897381e-05
3026,pooled_five_fold_oof,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,r2,0.06503049512319672,0.041068520241543366,-0.04530836249391029,-0.02396197488165336
2026,mean_of_five_paired_folds,optimization,selected_validation_state_loss_degradation,paired_grounded_vs_no_ground_fraction,state_loss_degradation_fraction,-0.00895229868478029,-0.05020160085103324,-0.16889755882969248,-0.04124930216625295
3026,mean_of_five_paired_folds,optimization,selected_validation_state_loss_degradation,paired_grounded_vs_no_ground_fraction,state_loss_degradation_fraction,0.07760248890665042,0.00403290707422872,-0.11143423896505622,-0.0735695818324217
