arm,seed_base,fold,pooling,patients,visits,feature_dim,elements,allclose_fraction,bitwise_equal_fraction,max_absolute_error,mean_absolute_error,rmse,finite_fraction,identity_exact,split_exact,state_valid_fraction,rtol,atol,status,candidate_sha256,reference_sha256
L1,2026,0,P0,808,3232,192,620544,1.0,1.0,0.0,0.0,0.0,1.0,True,True,1.0,1e-05,1e-06,PASS,2f7e870062ea702d4fefc8a4b64d0fae35d373994cb3dc73c7c2d3083c24c2ba,4bf16234f41591fe7ce0c3ae1b96d5f49bf3a6157ff77e9f31e276851afa0ebe
L1,2026,1,P0,808,3232,192,620544,1.0,1.0,0.0,0.0,0.0,1.0,True,True,1.0,1e-05,1e-06,PASS,bcc655ac73c021abc340a629300f16f00c2fe1f5f8c4147e3b216f2521e5d99e,2879ce78a3e7d1c3511e315325bc953a02365f4f94d044b8cf7a1e482c0508a3
L1,2026,2,P0,808,3232,192,620544,1.0,1.0,0.0,0.0,0.0,1.0,True,True,1.0,1e-05,1e-06,PASS,c4794b9b9691c631b3f6b330b9e93ce32ccc5f357ea2610e3a314da52a29513a,fc2b71c98e7c5db891fea662118060830cf79319dadfd9eff7452db4b61b3be7
L1,2026,3,P0,808,3232,192,620544,1.0,1.0,0.0,0.0,0.0,1.0,True,True,1.0,1e-05,1e-06,PASS,7b4af276d541c7cc3daff0e3e97f5c592c0021641c225aa1820e8adf249bb9e3,ad1ff02218aca764ad730386a9d19f6b636031ea472449718be32cf2f7a6ed79
L1,2026,4,P0,808,3232,192,620544,1.0,1.0,0.0,0.0,0.0,1.0,True,True,1.0,1e-05,1e-06,PASS,9c327e6db13845a1b8ed5b3fa78d05dc2598a9a1e36971653df2052fab65e021,f9c397020faf68d4c7af1198f001c62e07fd06290225a7060fba2a220ed8794f
L3,2026,0,P0,808,3232,192,620544,1.0,1.0,0.0,0.0,0.0,1.0,True,True,1.0,1e-05,1e-06,PASS,299bf2e59cb9b5bd2b7d17f0d52a3d69da5f2c138985d0e7305b20f8291fb041,2e7bb5a50dd0ba858c879554020494cb465ae37da25c3b57d9c91066e3268640
L3,2026,1,P0,808,3232,192,620544,1.0,1.0,0.0,0.0,0.0,1.0,True,True,1.0,1e-05,1e-06,PASS,08861439b5da86f7686320a16d61df8e1d17cc15cd664c4f113664162ade5840,1dcfaf6164e99c7ebcf498cf31f8d0d1ff6962a6bdf65c319f36873a95e0967b
L3,2026,2,P0,808,3232,192,620544,1.0,1.0,0.0,0.0,0.0,1.0,True,True,1.0,1e-05,1e-06,PASS,8c144f32bdc71a3bae4423ca0cd3f462e62f6fb9a662c2a43a9c914726f36baf,05ef4fa18eb91b67fcff3a21337f12a133fbc0d62b3175fe68765dcded8dfcaa
L3,2026,3,P0,808,3232,192,620544,1.0,1.0,0.0,0.0,0.0,1.0,True,True,1.0,1e-05,1e-06,PASS,6c9bd1e45326f59f7a422b1a25e8ac7d7cb98f0ee286282b2741f29d3f131b0e,0dfc189d7d8a5937eb79c070801a65f2a0ea387693f77a66ca786ee771f9f3b6
L3,2026,4,P0,808,3232,192,620544,1.0,1.0,0.0,0.0,0.0,1.0,True,True,1.0,1e-05,1e-06,PASS,fcc37e927eae2bcb18c567bdf63b26a8c6f1c674cbb8c20e47aed54afa1fc4a0,14f654d0ca5880b1137b4325cfbd9f57c6f47f9f9d04fe883bd64d27d9531045
