seed_base,arm,fold,selection_rows,prediction_rows,selection_contract_exact,prediction_keys_exact,prediction_contract_exact,prediction_allclose,maximum_prediction_absolute_difference,y_true_max_abs_difference,y_pred_max_abs_difference,y_true_analysis_max_abs_difference,y_pred_analysis_max_abs_difference,b0_prediction_max_abs_difference,b0_prediction_analysis_max_abs_difference,status
2026,L1,0,14,954,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,L1,1,14,932,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,L1,2,14,1152,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,L1,3,14,1008,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,L1,4,14,1167,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,L3,0,14,954,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,L3,1,14,932,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,L3,2,14,1152,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,L3,3,14,1008,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,L3,4,14,1167,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,N1,0,14,954,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,N1,1,14,932,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,N1,2,14,1152,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,N1,3,14,1008,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,N1,4,14,1167,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,N3,0,14,954,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,N3,1,14,932,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,N3,2,14,1152,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,N3,3,14,1008,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2026,N3,4,14,1167,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,L1,0,14,954,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,L1,1,14,932,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,L1,2,14,1152,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,L1,3,14,1008,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,L1,4,14,1167,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,L3,0,14,954,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,L3,1,14,932,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,L3,2,14,1152,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,L3,3,14,1008,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,L3,4,14,1167,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,N1,0,14,954,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,N1,1,14,932,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,N1,2,14,1152,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,N1,3,14,1008,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,N1,4,14,1167,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,N3,0,14,954,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,N3,1,14,932,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,N3,2,14,1152,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,N3,3,14,1008,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3026,N3,4,14,1167,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
