seed_base,arm,task,target_name,endpoint,analysis_scope,target_semantics,scale,maximum_metric_absolute_difference,status
2026,L1,delta,FTV,T0→T1,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L1,delta,FTV,T0→T1,primary_measurement_valid,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L1,delta,FTV,T1→T2,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L1,delta,FTV,T1→T2,primary_measurement_valid,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L1,delta,FTV,T2→T3,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L1,delta,FTV,T2→T3,primary_measurement_valid,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L1,delta,FTV,macro,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L1,delta,FTV,macro,primary_measurement_valid,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L1,static,FTV,T0,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L1,static,FTV,T0,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L1,static,FTV,T1,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L1,static,FTV,T1,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L1,static,FTV,T2,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L1,static,FTV,T2,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L1,static,FTV,T3,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L1,static,FTV,T3,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L1,static,FTV,macro,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L1,static,FTV,macro,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L3,delta,FTV,T0→T1,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L3,delta,FTV,T0→T1,primary_measurement_valid,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L3,delta,FTV,T1→T2,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L3,delta,FTV,T1→T2,primary_measurement_valid,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L3,delta,FTV,T2→T3,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L3,delta,FTV,T2→T3,primary_measurement_valid,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L3,delta,FTV,macro,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L3,delta,FTV,macro,primary_measurement_valid,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,L3,static,FTV,T0,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L3,static,FTV,T0,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L3,static,FTV,T1,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L3,static,FTV,T1,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L3,static,FTV,T2,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L3,static,FTV,T2,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L3,static,FTV,T3,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L3,static,FTV,T3,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L3,static,FTV,macro,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,L3,static,FTV,macro,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,natural,0.0,PASS
2026,N1,delta,FTV,T0→T1,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,N1,delta,FTV,T0→T1,primary_measurement_valid,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,N1,delta,FTV,T1→T2,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,N1,delta,FTV,T1→T2,primary_measurement_valid,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,N1,delta,FTV,T2→T3,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,N1,delta,FTV,T2→T3,primary_measurement_valid,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
2026,N1,delta,FTV,macro,observable_only,literal_ftv_end_minus_ftv_start,natural,0.0,PASS
