stage,analysis_role,seed_base,arm,pooling,endpoint,analysis_scope,availability,status_reason,feature_dim,aggregation,n_test,spearman,pearson,natural_r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias,transformed_scale,transformed_fold_count,transformed_spearman_fold_mean,transformed_spearman_fold_sd,transformed_r2_fold_mean,transformed_r2_fold_sd,transformed_rmse_fold_mean,transformed_mae_fold_mean
final,primary,2026,L1,P0,T0,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.6541028558425306,0.3372008037540673,-0.2527689959809456,47.75587579304782,18.13403482821412,42.77656700591202,-0.11640272082721421,0.8366829009458209,0.30843883060640204,12.025828706249248,-7.746573799513608,transformed_outer_train,5.0,0.6450085803968648,0.09637945101341099,0.41152034701689894,0.15465937903144342,0.30645195016847976,0.23861799708625897
final,primary,2026,L1,P0,T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.5892574809420866,0.2460881648848437,0.01410617767203659,37.412538287352234,12.410168269408857,37.95576601319648,0.014312126533169614,0.08562138379788957,0.07200818242934566,8.36874405443444,-7.9295597315788475,transformed_outer_train,5.0,0.5921846677295582,0.08927233438987554,0.28980223947196376,0.0676706772459026,0.4123207848643582,0.31236881540380834
final,primary,2026,L1,P0,T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.48668130617817734,0.19154811337823094,-0.014320764139167386,31.324857482617414,7.580056992217492,31.345565059981617,0.0006606222387306558,0.008346093441401001,0.017499252599131376,2.5241295237033965,-6.295804879349447,transformed_outer_train,5.0,0.48525075480636504,0.10942919300674113,0.23735794770741653,0.06789824565166704,0.5533382557499424,0.4320690545184567
final,primary,2026,L1,P0,T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.3950984409545143,0.22648498848357257,-0.013390614937400125,12.49141966005949,3.1783617019565584,12.477635535818399,-0.0011047064326829084,0.007053743398523064,0.01902169660863746,0.8827397798344072,-2.614076569809459,transformed_outer_train,5.0,0.38595454889475905,0.1085169951462019,0.12061841355841944,0.06179905133975132,0.570039161524682,0.45154397907361143
final,primary,2026,L1,P0,macro,primary_measurement_valid,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,1500.0,0.5312850209793272,0.25033051762517866,-0.06659354934636913,32.24617280576924,10.325655447949257,31.138883403727128,-0.025633669621999214,0.23442603039590862,0.10424199056087913,5.9503605160553725,-6.14650374506284,transformed_outer_train,5.0,0.5270996379568869,0.07905602625991609,0.26482473693867464,0.04854958399243802,0.4605375380768656,0.3586499615205339
final,primary,2026,L1,PLOCAL,T0,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.6436113323472523,0.30898670328327354,-0.5361929501062412,52.882770491937265,19.091758449567667,42.77656700591202,-0.23625559958162365,1.181120934017447,0.3358048576195838,12.02053434646594,-6.969446986687309,transformed_outer_train,5.0,0.630859107755825,0.08882704233906928,0.37254476985184987,0.11785507141948114,0.3173534309024173,0.2434983683667519
final,primary,2026,L1,PLOCAL,T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.5837724428262601,0.19019522972963715,-0.01831941327797426,38.02280158526083,12.415421686496945,37.95576601319648,-0.0017661498925101802,0.035243329592689554,0.03570574392100199,8.14057941971007,-8.795303448122011,transformed_outer_train,5.0,0.6008496948726199,0.06578508461970185,0.25140485048183614,0.10881252276568566,0.422866815827781,0.3160223047118723
final,primary,2026,L1,PLOCAL,T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.4605911935373763,0.11315488839525303,-0.029106771543717658,31.552346580786068,7.717996908342418,31.345565059981617,-0.006596835003891703,0.00960543758550824,0.011090008979779927,2.527490542067952,-6.349979805303924,transformed_outer_train,5.0,0.4724692507652507,0.11079396313061252,0.20322587355111343,0.06676548690352375,0.5656927888056459,0.4401019352519146
final,primary,2026,L1,PLOCAL,T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.3385502525059883,0.2585528695571534,-0.01406892506880042,12.495599508879067,3.2033680632968133,12.477635535818399,-0.0014396936830780892,0.004626445878567243,0.017586244433697152,0.8809535171262156,-2.6209796762002378,transformed_outer_train,5.0,0.3389073040284501,0.11576787027323424,0.07320284095217885,0.08629401183717264,0.5844949917681435,0.4594911066333469
final,primary,2026,L1,PLOCAL,macro,primary_measurement_valid,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,1500.0,0.5066313053042193,0.21772242274132927,-0.1494220149991834,33.7383795417158,10.607136276925962,31.138883403727128,-0.061514569540275905,0.307649036768553,0.10004671373851572,5.892389456342544,-6.183927479078371,transformed_outer_train,5.0,0.5107713393555364,0.07057831920390642,0.22509458370924457,0.05346307499654591,0.47260200682599696,0.3647784287409713
final,primary,2026,L1,PLOCAL+GLOBAL,T0,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.6643800204801457,0.28154584624930745,-1.5298200289415629,67.86348041662417,19.923249205203838,42.77656700591202,-0.5864639256171483,2.381099047731395,0.434448052833908,10.506523108766284,-5.66315389477517,transformed_outer_train,5.0,0.6473659947165107,0.10437935187433005,0.4015671111100049,0.11981474740191637,0.30971313050999927,0.23875431096202449
final,primary,2026,L1,PLOCAL+GLOBAL,T1,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.5983436113323474,0.20534206306532737,-0.007395829218886263,37.81831508627137,12.450573302289602,37.95576601319648,0.0036213450909493715,0.05853658170657228,0.0496811454021685,8.416297578706184,-8.27413556148947,transformed_outer_train,5.0,0.6006927933723383,0.07733289530048483,0.2766042144164819,0.10717755745434768,0.41569741427101403,0.31053305643285467
final,primary,2026,L1,PLOCAL+GLOBAL,T2,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.4794834452156105,0.15489333343495076,-0.02177955547768473,31.439819942578808,7.629432282820904,31.345565059981617,-0.0030069607109276483,0.008367527356544282,0.014168742144958658,2.4946628131681488,-6.355169667633942,transformed_outer_train,5.0,0.49416718201432114,0.09403749169437457,0.2254531369505292,0.06514678041353962,0.5576356670391341,0.4336500529406459
final,primary,2026,L1,PLOCAL+GLOBAL,T3,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.36085074302257103,0.31688826441281837,0.0003643940847174454,12.40635541331189,3.182261443931221,12.477635535818399,0.005712630594305494,0.00616296072858341,0.02487716324719355,0.8960563415332031,-2.5798874858482335,transformed_outer_train,5.0,0.3594489680394398,0.12774301364324792,0.0989259634265133,0.08780963259965206,0.5760734009680534,0.4542095070481952
final,primary,2026,L1,PLOCAL+GLOBAL,macro,primary_measurement_valid,AVAILABLE,,384.0,mean_of_pooled_endpoint_metrics,1500.0,0.5257644550126687,0.239667376790601,-0.3896577548883541,37.38199271469656,10.796379058561392,31.138883403727128,-0.14503422766070528,0.6135415293807739,0.13079377590705718,5.578384960543454,-5.718086652436703,transformed_outer_train,5.0,0.5254187345356525,0.08193035899740987,0.2506376064758823,0.0638589470908086,0.46477990319705026,0.3592867318459301
final,primary,2026,L1,PORACLE,T0,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PORACLE,T1,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PORACLE,T2,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PORACLE,T3,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PORACLE,macro,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PVALID,T0,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PVALID,T1,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PVALID,T2,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PVALID,T3,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PVALID,macro,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L3,P0,T0,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.7142748890658778,0.42292826308668613,0.11662178233477194,40.101873133293786,16.292930586260603,42.77656700591202,0.06252708105932328,0.32320251703492114,0.24043853654873998,13.07164501860806,-8.644951643974348,transformed_outer_train,5.0,0.7070208847437063,0.08833501661275844,0.4753540703299987,0.14256428639822286,0.2892549690319692,0.2251264118136315
final,primary,2026,L3,P0,T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.6643477073614746,0.28898157047042244,0.047283335433820795,36.77765060042095,12.000171389550335,37.95576601319648,0.03103916839317444,0.08657026763415988,0.08502654398936889,8.900749745311593,-7.168912788177651,transformed_outer_train,5.0,0.6600590061792448,0.06158292504608969,0.373730935712192,0.0906530676295779,0.3870146801358549,0.29169087790712356
final,primary,2026,L3,P0,T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.587756741381272,0.2105071676960525,0.01133173044177238,30.926213079121073,7.241787692660196,31.345565059981617,0.01337835129333571,0.03046973185128928,0.03674524979902837,3.110399151109542,-5.536763441567087,transformed_outer_train,5.0,0.5841088502065743,0.09965344213781546,0.35618198107891874,0.07328049278228978,0.5078868556577504,0.39853679334841186
final,primary,2026,L3,P0,T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.3956459435456796,0.3296648015374766,0.07162395466675398,11.955983942635687,3.1994133510881033,12.477635535818399,0.041806926615644044,0.07565498569453319,0.09067579178343474,0.9509178401972052,-2.2904787813446754,transformed_outer_train,5.0,0.3930057748204792,0.07742575600636402,0.15705917810792813,0.08296333509986886,0.5574585841987802,0.4484571798287969
final,primary,2026,L3,P0,macro,primary_measurement_valid,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,1500.0,0.5905063203385761,0.31302045069765944,0.06171520071927977,29.94043018886787,9.68357575488981,31.138883403727128,0.03718788184036937,0.12897437555372587,0.113221530530143,6.5084279388066,-5.91027666376594,transformed_outer_train,5.0,0.5860486289875011,0.06594144454871606,0.34058154130725943,0.06267384271853715,0.4354037722560887,0.34095281572449093
final,primary,2026,L3,PLOCAL,T0,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.6964767322789852,0.44826128349738775,0.15114235403729503,39.31051631789161,16.670869446643525,42.77656700591202,0.08102685490262407,0.20120275651486716,0.20107042388068957,13.321063101368336,-9.521105967552993,transformed_outer_train,5.0,0.6858981637473824,0.09539761619241105,0.45197662792305976,0.13187734619836547,0.2962741778301033,0.23089561631269911
final,primary,2026,L3,PLOCAL,T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.6633355330526796,0.33225315215617635,0.06772817215720728,36.38089525628582,11.643626686376956,37.95576601319648,0.041492266454670176,0.06941486702976936,0.0875377456155664,8.687053920261933,-7.338504423732578,transformed_outer_train,5.0,0.6646040639504489,0.06118644334397952,0.3763860540052272,0.09061714271464862,0.3861795303408072,0.2879032862361176
final,primary,2026,L3,PLOCAL,T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.5651275457958812,0.20757281472964126,0.013148285363614676,30.89778848231545,7.245050174488712,31.345565059981617,0.014285165279659853,0.045042569511834045,0.04405366583844399,3.201871959183781,-5.379682795301999,transformed_outer_train,5.0,0.5706478971157012,0.0988029996084543,0.32336808419485547,0.07019148656147095,0.5203317525957527,0.4061539678890266
final,primary,2026,L3,PLOCAL,T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.3876182948923828,0.4403387445483259,0.08690056793623047,11.857206855932162,3.1512320066448107,12.477635535818399,0.04972325711111125,0.030551617569835657,0.0769669017037856,0.9201978158382258,-2.3700658099995318,transformed_outer_train,5.0,0.38937670862613016,0.07100569171243756,0.1293370924392486,0.1066760863166936,0.5658133076833997,0.44887393923343044
final,primary,2026,L3,PLOCAL,macro,primary_measurement_valid,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,1500.0,0.5781395265049822,0.3571064987328828,0.07972984487358686,29.611601728106262,9.677694578538501,31.138883403727128,0.04663188593701634,0.08655295265657656,0.1024071842596214,6.532546699163069,-6.152339749146775,transformed_outer_train,5.0,0.5776317083599156,0.05822877247556954,0.32026696464059773,0.05275025917543179,0.4421496921125157,0.34345670241781845
