stage,analysis_role,seed_base,arm,pooling,endpoint,analysis_scope,availability,status_reason,feature_dim,aggregation,n_test,spearman,pearson,natural_r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias,transformed_scale,transformed_fold_count,transformed_spearman_fold_mean,transformed_spearman_fold_sd,transformed_r2_fold_mean,transformed_r2_fold_sd,transformed_rmse_fold_mean,transformed_mae_fold_mean
final,primary,2026,L1,P0,T0→T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.2863320059164865,0.1827824034023509,0.023493762156316822,25.03193156638487,13.205221498555995,25.477864188497076,0.017502747436480132,0.07970708025585078,0.05160393671547214,-10.526065817250103,-0.0671685511908945,standardized_outer_train,5.0,0.3249819069222276,0.19000456722647918,0.000648562696889321,0.1128149506482529,0.924517551092449,0.4968140512559132
final,primary,2026,L1,P0,T1→T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.2123472522471271,0.2108260814143431,0.03376647582749914,16.900543207427397,9.670328620532166,17.219808801872187,0.01854060042815798,0.09808396025483916,0.06602726877692265,-8.264680028414283,-0.2456307197567248,standardized_outer_train,5.0,0.20928909751190794,0.14087408310690744,0.006096976011148239,0.07955207774699018,0.9063840629957077,0.5296938306872372
final,primary,2026,L1,P0,T2→T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.12383934463533963,0.03911806875863382,-0.012648186165879816,27.562321693305964,9.074846135186307,27.537956917151757,-0.0008847706541015203,0.0247057520232847,0.0061486028879885,-5.803125642681266,-0.4240002223843207,standardized_outer_train,5.0,0.08844032675225631,0.17783505173166497,-0.18437936878235597,0.2778636446949234,0.8676864432486168,0.32253700393009793
final,primary,2026,L1,P0,macro,primary_measurement_valid,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,1125.0,0.2075062009329844,0.14424218452510926,0.01487068393931205,23.16493215570608,10.650132084758155,23.41187663584034,0.01171952573684553,0.06749893084465822,0.04125993612679443,-8.197957162781885,-0.24559983111064665,standardized_outer_train,5.0,0.2075704437287973,0.11729457207265777,-0.05921127669143946,0.08823105111797468,0.8995293524455914,0.4496816286244162
final,primary,2026,L1,PLOCAL,T0→T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.2750556377289794,0.17560409233734267,0.02486656531948328,25.014330039908593,13.154034361187051,25.477864188497076,0.018193603088510167,0.06394288706685881,0.04440488535938842,-10.552580435371837,-0.014292141174446594,standardized_outer_train,5.0,0.3264563640739613,0.191428021345027,0.010817492045574079,0.09247581397659761,0.9221753549090119,0.49418730130530547
final,primary,2026,L1,PLOCAL,T1→T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.20612379110251455,0.1947397525815562,0.01949844807938894,17.024868087656582,9.857756601510781,17.219808801872187,0.011320724664167598,0.10903528260332244,0.06430402247910141,-8.182061247830518,-0.14821622129895315,standardized_outer_train,5.0,0.2008396059364701,0.1366300852390007,-0.009963852533076162,0.0965874452627945,0.9131902126540581,0.5404012429694021
final,primary,2026,L1,PLOCAL,T2→T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.16999476618500398,0.03886995564413186,-0.014652773712436451,27.589588700512987,9.047739859787345,27.537956917151757,-0.0018749315178524433,0.027302768875297565,0.006422696369414049,-5.7605072875193954,-0.3828653719171746,standardized_outer_train,5.0,0.16576279687316714,0.2247626519061205,-0.15748139609152081,0.19340074755770148,0.8679126064375818,0.3211158109029447
final,primary,2026,L1,PLOCAL,macro,primary_measurement_valid,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,1125.0,0.21705806500549932,0.13640460018767692,0.00990407989547859,23.209595609359386,10.686510274161725,23.41187663584034,0.009213132078275107,0.06676031284849294,0.03837720140263463,-8.16504965690725,-0.18179124479685813,standardized_outer_train,5.0,0.2310195889611995,0.14202638670907766,-0.052209252193007635,0.07760463050257765,0.9010927246668841,0.45190145172588403
final,primary,2026,L1,PLOCAL+GLOBAL,T0→T1,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.2637155535328251,0.1771433701857613,0.005889547027850384,25.25655847240509,13.430372025252664,25.477864188497076,0.008686195768007247,0.1134324284667212,0.059661410679527294,-10.346742177780879,0.02329738876179484,standardized_outer_train,5.0,0.29740274736453215,0.20153583688972854,-0.051346581433611184,0.19985107296549756,0.9373358668146505,0.505503780261088
final,primary,2026,L1,PLOCAL+GLOBAL,T1→T2,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.22610058027079305,0.20908527821782644,0.011495472599250767,17.09420643236158,10.006394168067512,17.219808801872187,0.007294062957130513,0.15086053309247346,0.08121032977522533,-8.026935563503386,-0.1382473571901144,standardized_outer_train,5.0,0.2184486136792486,0.11628113190305475,-0.03585615651284409,0.1116752967007495,0.9196575965500301,0.5489884725517159
final,primary,2026,L1,PLOCAL+GLOBAL,T2→T3,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.15603686426214589,0.06140229468667165,-0.016194474544923843,27.61054106370646,9.333673564035337,27.537956917151757,-0.00263578546415312,0.04089410613922052,0.01241695083524264,-5.662576077309098,-0.3173774894182047,standardized_outer_train,5.0,0.13009175175792165,0.21809036266056162,-0.22316162039319626,0.29505841191528365,0.8727721409515861,0.33125320392760166
final,primary,2026,L1,PLOCAL+GLOBAL,macro,primary_measurement_valid,AVAILABLE,,384.0,mean_of_pooled_endpoint_metrics,1125.0,0.21528433268858801,0.14921031436341978,0.0003968483607257693,23.320435322824377,10.923479919118504,23.41187663584034,0.004448157753661547,0.1017290225661384,0.05109623042999842,-8.012084606197787,-0.14410915261550808,standardized_outer_train,5.0,0.21531437093390077,0.13248900669475575,-0.10345478611321719,0.10778132682667127,0.9099218681054223,0.46191515224680185
final,primary,2026,L1,PORACLE,T0→T1,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PORACLE,T1→T2,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PORACLE,T2→T3,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PORACLE,macro,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PVALID,T0→T1,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PVALID,T1→T2,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PVALID,T2→T3,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L1,PVALID,macro,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
