stage,analysis_role,seed_base,new_arm,matched_legacy_arm,pooling,legacy_p0_spearman,new_p0_spearman,legacy_deficit,pooling_spearman,absolute_gain_vs_new_p0,recovery_ratio,recovery_defined,status_reason
final,primary,2026,N1,L1,P0,0.5312850209793272,0.2305148773175608,0.30077014366176635,0.2305148773175608,0.0,0.0,True,
final,primary,2026,N1,L1,PLOCAL,0.5312850209793272,0.2305148773175608,0.30077014366176635,0.4352698004698898,0.204754923152329,0.6807687779761408,True,
final,primary,2026,N1,L1,PLOCAL+GLOBAL,0.5312850209793272,0.2305148773175608,0.30077014366176635,0.447438989164857,0.21692411184729624,0.7212288733393701,True,
final,primary,2026,N1,L1,PORACLE,0.5312850209793272,0.2305148773175608,0.30077014366176635,0.5054334154786843,0.27491853816112344,0.9140486313371763,True,
final,primary,2026,N1,L1,PVALID,0.5312850209793272,0.2305148773175608,0.30077014366176635,0.2880940105866597,0.05757913326909889,0.19143899247476504,True,
final,secondary_replication,2026,N3,L3,P0,0.5905063203385761,0.26718022684042964,0.32332609349814645,0.26718022684042964,0.0,0.0,True,
final,secondary_replication,2026,N3,L3,PLOCAL,0.5905063203385761,0.26718022684042964,0.32332609349814645,0.45460379776540544,0.1874235709249758,0.5796735082442402,True,
final,secondary_replication,2026,N3,L3,PLOCAL+GLOBAL,0.5905063203385761,0.26718022684042964,0.32332609349814645,0.4652764569323989,0.19809623009196925,0.6126824715837693,True,
final,secondary_replication,2026,N3,L3,PORACLE,0.5905063203385761,0.26718022684042964,0.32332609349814645,0.5224814303274824,0.25530120348705276,0.7896090313184585,True,
final,secondary_replication,2026,N3,L3,PVALID,0.5905063203385761,0.26718022684042964,0.32332609349814645,0.3176563337482864,0.050476106907856755,0.1561151664616457,True,
final,primary,3026,N1,L1,P0,0.4787331644842381,0.22030427420435078,0.2584288902798873,0.22030427420435078,0.0,0.0,True,
final,primary,3026,N1,L1,PLOCAL,0.4787331644842381,0.22030427420435078,0.2584288902798873,0.4134283783595868,0.193124104155236,0.7473007524277802,True,
final,primary,3026,N1,L1,PLOCAL+GLOBAL,0.4787331644842381,0.22030427420435078,0.2584288902798873,0.428224885419497,0.2079206112151462,0.804556375217806,True,
final,primary,3026,N1,L1,PORACLE,0.4787331644842381,0.22030427420435078,0.2584288902798873,0.5040871586216618,0.283782884417311,1.0981082034209273,True,
final,primary,3026,N1,L1,PVALID,0.4787331644842381,0.22030427420435078,0.2584288902798873,0.2283377804785555,0.00803350627420471,0.031085945017618383,True,
final,secondary_replication,3026,N3,L3,P0,0.5585771185883104,0.25511981036078,0.30345730822753036,0.25511981036078,0.0,0.0,True,
final,secondary_replication,3026,N3,L3,PLOCAL,0.5585771185883104,0.25511981036078,0.30345730822753036,0.42400182277542336,0.16888201241464335,0.5565264300308651,True,
final,secondary_replication,3026,N3,L3,PLOCAL+GLOBAL,0.5585771185883104,0.25511981036078,0.30345730822753036,0.42643213313807377,0.17131232277729375,0.5645351689762069,True,
final,secondary_replication,3026,N3,L3,PORACLE,0.5585771185883104,0.25511981036078,0.30345730822753036,0.5200892074183773,0.26496939705759726,0.8731686134213149,True,
final,secondary_replication,3026,N3,L3,PVALID,0.5585771185883104,0.25511981036078,0.30345730822753036,0.27756903538144295,0.022449225020662933,0.07397819861972363,True,
