stage,seed_base,arm,pooling,target_name,endpoint,availability,status_reason,feature_dim,aggregation,n_test,spearman,pearson,natural_r2,rmse,mae,standardized_scale,standardized_fold_count,standardized_spearman_fold_mean,standardized_r2_fold_mean,standardized_r2_fold_sd
final,2026,L1,P0,acquisition_fov_x_mm,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.44264211518029956,0.5076984016738437,0.2275372188679179,57.04564069565949,42.429562073962835,standardized_outer_train,5.0,0.45219932109571814,0.2228330663854766,0.08512986088380908
final,2026,L1,P0,acquisition_fov_x_mm,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.4316892880428756,0.5369578674020853,0.26732214547007616,55.95761750499074,42.53379022990308,standardized_outer_train,5.0,0.43696681361266865,0.2632690176056362,0.0804436396975221
final,2026,L1,P0,acquisition_fov_x_mm,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.3953834143329727,0.4915144946026555,0.2329717122879308,57.93739492965452,42.658016588466396,standardized_outer_train,5.0,0.4082670725875602,0.2283598498478284,0.06759851989789165
final,2026,L1,P0,acquisition_fov_x_mm,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.46433887646274874,0.5367855829536826,0.2854143010886052,55.02889983464303,39.20061440412178,standardized_outer_train,5.0,0.4683212098530888,0.279673985014237,0.07234843328439566
final,2026,L1,P0,acquisition_fov_x_mm,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.43351342350472416,0.5182390866580667,0.2533113444286325,56.492388241236945,41.70549582411353,standardized_outer_train,5.0,0.44143860428725895,0.24853397971329455,0.05600708440944891
final,2026,L1,P0,acquisition_fov_y_mm,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.4427998595691073,0.5076984099456886,0.22753723806191295,57.04563982765658,42.429563560855215,standardized_outer_train,5.0,0.45233660452918245,0.22283308508802283,0.08512985438294675
final,2026,L1,P0,acquisition_fov_y_mm,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.43186597170715846,0.5369578774580375,0.26732216083036897,55.95761693137597,42.5337909005576,standardized_outer_train,5.0,0.4371579103787133,0.2632690266734941,0.08044368267209041
final,2026,L1,P0,acquisition_fov_y_mm,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.3955280464217066,0.4915144684500569,0.2329716781593073,57.93739616115778,42.6580178429532,standardized_outer_train,5.0,0.4085210068812156,0.22835981652412035,0.06759853848469118
final,2026,L1,P0,acquisition_fov_y_mm,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.4643918052829549,0.5367855849641269,0.285414303002987,55.02889968923474,39.20061462053286,standardized_outer_train,5.0,0.4683877762900335,0.2796739872296321,0.07234843336784642
final,2026,L1,P0,acquisition_fov_y_mm,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.43364642074523185,0.5182390852044775,0.25331134501364405,56.49238815235627,41.70549673122472,standardized_outer_train,5.0,0.4416008245197863,0.24853397887881737,0.05600709763610235
