analysis,seed_base,endpoint,stratum,n,l1_spearman,n1_spearman,n1_minus_l1_spearman,l1_mae,n1_mae,n1_minus_l1_mae,mean_paired_abs_error_difference,stratifier_error_difference_spearman,status_reason
occupancy_quartile,2026,T0,Q1,1,,,,6.270025061440897,15.21365010433635,8.943625042895453,8.943625042895453,,
occupancy_quartile,2026,T0,Q2,42,0.20022688598979016,0.13005429057612838,-0.07017259541366178,6.857080138590703,10.943885459608055,4.086805321017351,4.086805321017351,,
occupancy_quartile,2026,T0,Q3,138,0.25718225800191324,0.07377582542027311,-0.18340643258164013,4.3697149243498155,7.89443362437132,3.524718700021505,3.5247187000215057,,
occupancy_quartile,2026,T0,Q4,194,0.4478401466062381,0.31740990167356276,-0.13043024493267535,30.427706237823553,30.878957265622688,0.4512510277991346,0.451251027799132,,
occupancy_correlation,2026,T0,ALL,375,0.6541028558425306,0.32768506087154403,-0.32641779497098655,18.13403482821412,20.146150370938447,2.0121155427243274,2.012115542724329,-0.041212879736033686,
downsampling_bin,2026,T0,<=1.5,171,0.7068447452420382,0.27520819833441335,-0.4316365469076249,19.435010566401274,21.083702999996067,1.6486924335947926,1.6486924335947926,,
downsampling_bin,2026,T0,"(1.5,2]",194,0.645913063486911,0.3789960266751036,-0.2669170368118074,16.987563239529198,19.54738566097297,2.559822421443773,2.5598224214437755,,
downsampling_bin,2026,T0,>2,10,0.2727272727272727,0.35757575757575755,0.08484848484848484,18.12889852570126,15.730035787383429,-2.398862738317831,-2.398862738317833,,
downsampling_correlation,2026,T0,ALL,375,0.6541028558425306,0.32768506087154403,-0.32641779497098655,18.13403482821412,20.146150370938447,2.0121155427243274,2.012115542724329,-0.07804649818461645,
occupancy_quartile,2026,T1,Q1,27,0.25946275946275943,0.11355311355311355,-0.1459096459096459,4.019482239188417,6.544053687818201,2.5245714486297848,2.5245714486297848,,
occupancy_quartile,2026,T1,Q2,94,0.09931727052703827,0.12177148430444676,0.022454213777408485,3.555690381807282,4.33900512864867,0.7833147468413877,0.783314746841389,,
occupancy_quartile,2026,T1,Q3,132,0.1494628312627509,0.19937073773956052,0.04990790647680962,3.6643254488309482,3.7278443208280194,0.06351887199707118,0.06351887199707006,,
occupancy_quartile,2026,T1,Q4,122,0.20197871264717251,0.3791508190112385,0.17717210636406597,30.552141192087415,31.221415513085105,0.6692743209976904,0.6692743209976879,,
occupancy_correlation,2026,T1,ALL,375,0.5892574809420866,0.38115599044259874,-0.2081014904994879,12.410168269408857,13.028384198959328,0.6182159295504714,0.618215929550469,-0.07480577995221299,
downsampling_bin,2026,T1,<=1.5,178,0.6690026587114558,0.3804617157253367,-0.2885409429861191,11.76308796829347,12.686804573002334,0.9237166047088632,0.9237166047088655,,
downsampling_bin,2026,T1,"(1.5,2]",188,0.5201975051787316,0.37664504873516136,-0.1435524564435703,13.185163604452326,13.629116403383565,0.44395279893123885,0.4439527989312401,,
downsampling_bin,2026,T1,>2,9,0.18333333333333335,0.35,0.16666666666666663,9.01918722611633,7.235441864357966,-1.7837453617583634,-1.7837453617583643,,
downsampling_correlation,2026,T1,ALL,375,0.5892574809420866,0.38115599044259874,-0.2081014904994879,12.410168269408857,13.028384198959328,0.6182159295504714,0.618215929550469,-0.09578604269063679,
occupancy_quartile,2026,T2,Q1,128,0.2098459531221388,-0.011593572605749863,-0.22143952572788866,1.039283335103777,1.565202436799776,0.5259191016959992,0.5259191016959988,,
occupancy_quartile,2026,T2,Q2,135,0.13748414788801094,-0.02046629597112477,-0.1579504438591357,1.2880577208956745,1.106529909424258,-0.1815278114714165,-0.18152781147141642,,
occupancy_quartile,2026,T2,Q3,66,-0.05984761507149568,-0.15044358626448182,-0.09059597119298614,5.241160942073976,5.508613070652054,0.26745212857807843,0.267452128578079,,
occupancy_quartile,2026,T2,Q4,46,-0.19802651865556584,0.35343817452975634,0.5514646931853222,47.601928058488646,51.239325321490604,3.637397263001958,3.6373972630019638,,
occupancy_correlation,2026,T2,ALL,375,0.48668130617817734,0.15926612811468885,-0.3274151780634885,7.580056992217492,8.187479672358,0.607422680140508,0.607422680140507,0.03309750824894755,
downsampling_bin,2026,T2,<=1.5,178,0.4855653990886546,0.16153879707935387,-0.3240266020093007,8.188040636092435,8.905906083205812,0.7178654471133772,0.7178654471133789,,
downsampling_bin,2026,T2,"(1.5,2]",189,0.5203647416413374,0.14875664338150343,-0.371608098259834,7.1091266439741565,7.56522048638288,0.4560938424087233,0.4560938424087235,,
downsampling_bin,2026,T2,>2,8,0.2142857142857143,0.09523809523809526,-0.11904761904761904,5.178150393248826,6.903365299656322,1.725214906407496,1.7252149064074962,,
downsampling_correlation,2026,T2,ALL,375,0.48668130617817734,0.15926612811468885,-0.3274151780634885,7.580056992217492,8.187479672358,0.607422680140508,0.607422680140507,-0.0065237145828827645,
occupancy_quartile,2026,T3,Q1,219,0.1465239716099011,-0.0030447756248860526,-0.14956874723478716,0.4459855301954282,0.5105593909878635,0.06457386079243532,0.06457386079243518,,
occupancy_quartile,2026,T3,Q2,104,0.2681318681318682,-0.08728262029232904,-0.3554144884241972,1.673900416864479,1.5764419567162382,-0.09745846014824089,-0.09745846014824074,,
occupancy_quartile,2026,T3,Q3,39,0.02611336032388664,0.17692307692307696,0.15080971659919032,6.0312096674512,6.376121201707313,0.3449115342561129,0.34491153425611254,,
occupancy_quartile,2026,T3,Q4,13,0.3736263736263736,-0.38461538461538464,-0.7582417582417582,52.68553744126216,53.70797769371133,1.0224402524491651,1.0224402524491771,,
occupancy_correlation,2026,T3,ALL,375,0.3950984409545143,0.0539523298414115,-0.3411461111131028,3.1783617019565584,3.2603597520257686,0.08199805006921013,0.08199805006921056,-0.0027802935487541243,
downsampling_bin,2026,T3,<=1.5,171,0.3981114539753123,0.031031770364904888,-0.3670796836104074,3.465333255867571,3.6101098446996196,0.1447765888320487,0.14477658883204902,,
downsampling_bin,2026,T3,"(1.5,2]",196,0.3824972706771112,0.061286646638350775,-0.32121062403876044,3.0207193634817124,3.046964116757435,0.0262447532757224,0.02624475327572226,,
downsampling_bin,2026,T3,>2,8,0.8333333333333335,0.11904761904761905,-0.7142857142857144,0.906582029742388,1.0126445851963892,0.10606255545400123,0.1060625554540012,,
downsampling_correlation,2026,T3,ALL,375,0.3950984409545143,0.0539523298414115,-0.3411461111131028,3.1783617019565584,3.2603597520257686,0.08199805006921013,0.08199805006921056,-0.020468840925295228,
occupancy_quartile,3026,T0,Q1,1,,,,8.704197721076374,12.812869370907256,4.108671649830882,4.108671649830882,,
occupancy_quartile,3026,T0,Q2,42,0.21999837938578723,0.08046349566485698,-0.13953488372093026,8.060900175082038,9.65788582332477,1.5969856482427325,1.596985648242732,,
occupancy_quartile,3026,T0,Q3,138,0.3575911723810415,0.11000504578882116,-0.24758612659222035,4.954517024514084,8.14963149821581,3.195114473701725,3.1951144737017265,,
occupancy_quartile,3026,T0,Q4,194,0.4794344483570486,0.3198029362336824,-0.15963151212336624,29.147466489795445,30.34843653649298,1.2009700466975346,1.200970046697533,,
occupancy_correlation,3026,T0,ALL,375,0.6209750824894755,0.40355899419729213,-0.2174160882921834,17.82825027594075,19.81517309009058,1.9869228141498283,1.9869228141498279,-0.006158152235749233,
downsampling_bin,3026,T0,<=1.5,171,0.6524611803105577,0.3100607195142439,-0.34240046079631375,16.882818188077884,20.76547811163278,3.882659923554897,3.8826599235548986,,
downsampling_bin,3026,T0,"(1.5,2]",194,0.5968229836506104,0.5034091702859397,-0.0934138133646707,17.679115521266336,19.342084341061227,1.6629688197948909,1.662968819794889,,
downsampling_bin,3026,T0,>2,10,0.43030303030303024,0.406060606060606,-0.024242424242424232,36.88835321907944,12.742878952888363,-24.14547426619108,-24.145474266191087,,
downsampling_correlation,3026,T0,ALL,375,0.6209750824894755,0.40355899419729213,-0.2174160882921834,17.82825027594075,19.81517309009058,1.9869228141498283,1.9869228141498279,-0.10838462754182357,
occupancy_quartile,3026,T1,Q1,27,0.21428571428571427,-0.2539682539682539,-0.46825396825396814,3.7874188005258342,6.573741425483547,2.786322624957713,2.786322624957713,,
occupancy_quartile,3026,T1,Q2,94,0.16594299750749558,0.11084781273705885,-0.055095184770436734,2.6706703096579654,4.763042146064606,2.092371836406641,2.092371836406642,,
occupancy_quartile,3026,T1,Q3,132,0.21716852853855664,0.12524197377552135,-0.0919265547630353,4.196011621831853,4.450583130146013,0.25457150831416,0.25457150831416,,
occupancy_quartile,3026,T1,Q4,122,0.16117519934175092,0.321335928438542,0.16016072909679105,31.6232378316295,32.84093845339106,1.217700621761562,1.2177006217615554,,
occupancy_correlation,3026,T1,ALL,375,0.5839569916941632,0.28216975765161,-0.30178723404255314,12.707231643367066,13.918102519229631,1.2108708758625646,1.2108708758625637,-0.06571623620434634,
