protocol,population,scenario,view,timing,comparison,baseline_model,augmented_model,n,pCR_positive,missingness_exclusions,exclusion_reason,patient_set_sha256
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,all_primary_model_families,C/F/N/FULL/C+F/C+N/C+FULL,same_exact_patient_set,375,110,9,nine_workbook_patients_lack_complete_four_visit_MRI_membership,e4517666183d38f346c4db3061609b0963136655927a252d9c6c3aba7aaefecb
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,all_primary_model_families,C/F/N/FULL/C+F/C+N/C+FULL,same_exact_patient_set,375,110,9,nine_workbook_patients_lack_complete_four_visit_MRI_membership,e4517666183d38f346c4db3061609b0963136655927a252d9c6c3aba7aaefecb
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,all_primary_model_families,C/F/N/FULL/C+F/C+N/C+FULL,same_exact_patient_set,375,110,9,nine_workbook_patients_lack_complete_four_visit_MRI_membership,e4517666183d38f346c4db3061609b0963136655927a252d9c6c3aba7aaefecb
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,all_primary_model_families,C/F/N/FULL/C+F/C+N/C+FULL,same_exact_patient_set,375,110,9,nine_workbook_patients_lack_complete_four_visit_MRI_membership,e4517666183d38f346c4db3061609b0963136655927a252d9c6c3aba7aaefecb
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,C+F+N_res_vs_C+F,C+F,C+F+N_res,384,113,0,none_within_selected_384_row_workbook,d92f33c7d35e01b0b3cbada4019d06837f84d727266cd2df4597303838f3fbd3
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,C+FULL_vs_C+F,C+F,C+FULL,384,113,0,none_within_selected_384_row_workbook,d92f33c7d35e01b0b3cbada4019d06837f84d727266cd2df4597303838f3fbd3
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,C+N_vs_C,C,C+N,384,113,0,none_within_selected_384_row_workbook,d92f33c7d35e01b0b3cbada4019d06837f84d727266cd2df4597303838f3fbd3
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,all_primary_model_families,C/F/N/FULL/C+F/C+N/C+FULL,same_exact_patient_set,384,113,0,none_within_selected_384_row_workbook,d92f33c7d35e01b0b3cbada4019d06837f84d727266cd2df4597303838f3fbd3
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,C+F+N_res_vs_C+F,C+F,C+F+N_res,384,113,0,none_within_selected_384_row_workbook,d92f33c7d35e01b0b3cbada4019d06837f84d727266cd2df4597303838f3fbd3
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,C+FULL_vs_C+F,C+F,C+FULL,384,113,0,none_within_selected_384_row_workbook,d92f33c7d35e01b0b3cbada4019d06837f84d727266cd2df4597303838f3fbd3
