protocol,population,scenario,view,timing,timing_label,model_type,model,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F,384,113,271,0.6999640792868106,0.5362409397334289,0.6569408614440126,0.18450675014148835
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+B,384,113,271,0.6991476994415962,0.5242404088172156,0.6790810828462266,0.18614397657930812
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+D,384,113,271,0.714691571694478,0.5548106800296484,0.6768605296672436,0.18283074963553939
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+S,384,113,271,0.6945759723083956,0.5146053628840654,0.6392417463997648,0.186818673258954
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F,384,113,271,0.7273944420860139,0.553238455759911,0.7108219312281618,0.18610597695695588
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F+B,384,113,271,0.7508735264343794,0.557602273044671,0.7052868758776083,0.18006859749592838
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F+D,384,113,271,0.7603108774450577,0.6092487996857726,0.710087189367469,0.1700670156201234
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F+S,384,113,271,0.7723932991542305,0.6263544517448818,0.7285373738693139,0.16601281362659892
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,C+F,384,113,271,0.7702707115566731,0.6036662256541608,0.7226104561930575,0.17130928539892268
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,C+F+B,384,113,271,0.7669398817881984,0.5656199393260041,0.7300068575906997,0.18001516388628466
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,C+F+D,384,113,271,0.8230741599451392,0.6685419569889951,0.7255657512327336,0.14911855679118535
