task,protocol,population,scenario,view,timing,model_type,model,fold,n_train,n_validation,n_test,n_features,validation_auroc,validation_balanced_accuracy,threshold,best_params
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,C,0,245,62,77,34,0.7159090909090908,0.7171717171717171,0.17276289829535207,"{""C"": 1.0}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,C,1,245,62,77,34,0.7601010101010102,0.7525252525252526,0.31496514479969767,"{""C"": 1.0}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,C,2,245,62,77,34,0.6944444444444444,0.7702020202020202,0.3089314819666153,"{""C"": 1.0}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,C,3,245,62,77,34,0.696969696969697,0.6881313131313131,0.27677425037779085,"{""C"": 0.01}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,C,4,246,62,76,34,0.7013888888888888,0.7234848484848485,0.29195549671435445,"{""C"": 0.001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,C,0,245,62,77,34,0.7525252525252525,0.6994949494949495,0.3538833068104402,"{""C"": 100.0, ""gamma"": 0.1}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,C,1,245,62,77,34,0.779040404040404,0.7588383838383839,0.32824897452184915,"{""C"": 0.1, ""gamma"": 0.001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,C,2,245,62,77,34,0.6994949494949494,0.731060606060606,0.2982515685464116,"{""C"": 1.0, ""gamma"": 0.1}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,C,3,245,62,77,34,0.7247474747474747,0.7512626262626263,0.21095097736168023,"{""C"": 0.1, ""gamma"": 0.1}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,C,4,246,62,76,34,0.6811868686868688,0.6704545454545454,0.41267075525835717,"{""C"": 0.1, ""gamma"": 0.1}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,F,0,245,62,77,1,0.6439393939393939,0.654040404040404,0.2938424475714092,"{""C"": 0.0001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,F,1,245,62,77,1,0.5366161616161615,0.5909090909090909,0.29780131049149255,"{""C"": 0.0001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,F,2,245,62,77,1,0.4494949494949495,0.5681818181818181,0.29373654029902807,"{""C"": 0.0001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,F,3,245,62,77,1,0.5252525252525252,0.5808080808080808,0.2979159533683929,"{""C"": 0.0001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,F,4,246,62,76,1,0.4078282828282828,0.5568181818181818,0.29255103743907157,"{""C"": 0.0001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,F,0,245,62,77,1,0.6300505050505051,0.654040404040404,0.30325930622016434,"{""C"": 10.0, ""gamma"": 0.01}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,F,1,245,62,77,1,0.6237373737373736,0.6654040404040404,0.28436777806830377,"{""C"": 1.0, ""gamma"": 1.0}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,F,2,245,62,77,1,0.6047979797979798,0.6363636363636364,0.2943148153921862,"{""C"": 1.0, ""gamma"": 0.001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,F,3,245,62,77,1,0.6565656565656566,0.6843434343434344,0.30222998417821484,"{""C"": 0.1, ""gamma"": 1.0}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,F,4,246,62,76,1,0.6654040404040404,0.6439393939393939,0.296756631320574,"{""C"": 100.0, ""gamma"": 0.001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,N,0,245,62,77,3,0.7575757575757577,0.7752525252525253,0.31669235825516395,"{""C"": 100.0}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,N,1,245,62,77,3,0.5606060606060606,0.5984848484848485,0.29773667289341343,"{""C"": 0.0001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,N,2,245,62,77,3,0.683080808080808,0.6906565656565656,0.32035043936430757,"{""C"": 100.0}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,N,3,245,62,77,3,0.7297979797979798,0.7537878787878788,0.31694079787206675,"{""C"": 0.1}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,N,4,246,62,76,3,0.5845959595959596,0.6212121212121212,0.27893194930980236,"{""C"": 0.1}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,N,0,245,62,77,3,0.7487373737373737,0.7916666666666667,0.29115196299636986,"{""C"": 0.1, ""gamma"": 0.01}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,N,1,245,62,77,3,0.5808080808080809,0.6300505050505051,0.2961563954454002,"{""C"": 0.1, ""gamma"": 0.01}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,N,2,245,62,77,3,0.5214646464646465,0.5669191919191919,0.2978760033378031,"{""C"": 100.0, ""gamma"": 0.001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,N,3,245,62,77,3,0.6439393939393939,0.6906565656565656,0.30432604708279665,"{""C"": 10.0, ""gamma"": 0.1}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,N,4,246,62,76,3,0.6199494949494949,0.6755050505050505,0.3450367700360046,"{""C"": 1.0, ""gamma"": 0.001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,FULL,0,245,62,77,4,0.7436868686868686,0.7525252525252526,0.3046342733292508,"{""C"": 0.01}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,FULL,1,245,62,77,4,0.5707070707070707,0.606060606060606,0.29806342263736235,"{""C"": 0.0001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,FULL,2,245,62,77,4,0.7045454545454546,0.7032828282828283,0.33602409314700316,"{""C"": 0.1}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,FULL,3,245,62,77,4,0.7588383838383838,0.7512626262626263,0.2945001414386448,"{""C"": 0.01}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,FULL,4,246,62,76,4,0.6452020202020202,0.6578282828282829,0.330849312205529,"{""C"": 1.0}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,FULL,0,245,62,77,4,0.6477272727272727,0.6792929292929293,0.3093104991038107,"{""C"": 0.1, ""gamma"": 0.001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,FULL,1,245,62,77,4,0.6363636363636364,0.6527777777777778,0.3091983404239098,"{""C"": 0.1, ""gamma"": 0.001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,FULL,2,245,62,77,4,0.5441919191919192,0.5808080808080808,0.2914008393058919,"{""C"": 0.1, ""gamma"": 0.001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,FULL,3,245,62,77,4,0.5871212121212122,0.625,0.30438788758286345,"{""C"": 0.1, ""gamma"": 0.1}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,rbf_svm,FULL,4,246,62,76,4,0.5404040404040404,0.5934343434343434,0.2829611908192792,"{""C"": 100.0, ""gamma"": 0.001}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,C+F,0,245,62,77,35,0.7234848484848485,0.7121212121212122,0.21404571427776609,"{""C"": 1.0}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,C+F,1,245,62,77,35,0.7613636363636364,0.7525252525252526,0.2953777939734867,"{""C"": 1.0}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,C+F,2,245,62,77,35,0.6856060606060607,0.731060606060606,0.3246453089863912,"{""C"": 1.0}"
pCR,primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,logistic,C+F,3,245,62,77,35,0.7045454545454546,0.7121212121212122,0.2963778559625093,"{""C"": 0.001}"
