protocol,population,scenario,view,timing,timing_label,model_type,comparison,baseline_model,augmented_model,n,n_positive,n_bootstrap,bootstrap_seed,stratification,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,brier_improvement,brier_improvement_ci_low,brier_improvement_ci_high
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,logistic,C+FULL_vs_C+F,C+F,C+FULL,384,113,2000,20260811,outer_fold+outcome,0.0024491395356431855,-0.033113182901740416,0.03520474806517972,0.0040247400057565885,-0.04992247945671565,0.059530845971180864,0.0022998108013058405,-0.006940291835685733,0.011239056038740584
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,logistic,C+FULL_vs_C+F,C+F,C+FULL,384,113,2000,20260812,outer_fold+outcome,0.003461450543708944,-0.03040443457531907,0.036216242693400263,-0.005797407839345459,-0.06198003804400749,0.04749121339639011,-0.0025165148325037856,-0.011291275459947079,0.006312868113524624
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T2,T2,logistic,C+FULL_vs_C+F,C+F,C+FULL,384,113,2000,20260813,outer_fold+outcome,0.06011821180158705,0.025468602031153066,0.09467393788982124,0.09598421257938361,0.04201516524235263,0.14868386471448752,0.022998832819300485,0.01142084127547831,0.035007822476181984
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T3,T3 (late/pre-surgery),logistic,C+FULL_vs_C+F,C+F,C+FULL,384,113,2000,20260814,outer_fold+outcome,0.024948568069751542,-0.021555693433040597,0.07220389903014074,-0.009226896077684343,-0.08405380552537803,0.07089336889141766,0.00022026015117831976,-0.01523306172129085,0.015267203276411706
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+FULL_vs_C+F,C+F,C+FULL,384,113,2000,20261811,outer_fold+outcome,0.0024491395356431855,-0.03223475818828991,0.03899601606635533,0.0040247400057565885,-0.05019693386681093,0.060036208665165874,0.0022998108013058405,-0.006642338931978435,0.011576460767051266
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+FULL_vs_C+F,C+F,C+FULL,384,113,2000,20261812,outer_fold+outcome,0.05864872808020105,0.015509584299382793,0.10292917088462905,0.08151370155859927,0.014171862040515279,0.14742892957561005,0.02567599817866545,0.011521607728003985,0.04019870757840361
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,C+FULL_vs_C+F,C+F,C+FULL,384,113,2000,20261813,outer_fold+outcome,0.038533128694118735,-0.004903993730202753,0.0837295496848774,0.03947675153311947,-0.03791219504045901,0.11815830102098175,0.016373222322022762,-0.00037898602031881737,0.032202102890200854
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+FULL_vs_C+F,C+F,C+FULL,384,113,2000,20261814,outer_fold+outcome,0.043986546060150844,-0.0021625902099730514,0.09223296215263027,0.06583908458913024,-0.0025978657458957054,0.13460099880764156,0.015593998306327544,0.001324534577178501,0.030566251726885978
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,logistic,C+N_vs_C,C,C+N,384,113,2000,20360811,outer_fold+outcome,-0.011592593802044249,-0.0514719328609216,0.028051627861411285,-0.022248955214747013,-0.07406699150347763,0.031059458646435677,-0.005615342688116809,-0.014537411309534079,0.00251206971893375
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,logistic,C+N_vs_C,C,C+N,384,113,2000,20360812,outer_fold+outcome,0.03650850667798722,-0.007839695653593787,0.08173839924239945,0.03981595822561124,-0.021418864325299776,0.10476570652022886,0.005023845563448676,-0.005812824276499397,0.015887492670764697
