protocol,population,scenario,view,timing,timing_label,model,logistic_auroc,svm_auroc,logistic_auprc,svm_auprc,logistic_balanced_accuracy,svm_balanced_accuracy,logistic_brier,svm_brier,delta_svm_minus_lr,delta_svm_minus_lr_auprc,delta_svm_minus_lr_balanced_accuracy,delta_svm_minus_lr_brier
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,C,0.7019887013029422,0.7080625673513372,0.537629741038823,0.5262909378074971,0.6510139437677562,0.6263919276360905,0.18366981207093533,0.18321838917943892,0.0060738660483949936,-0.011338803231325856,-0.024622016131665703,-0.00045142289149641135
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,C+F,0.6999640792868106,0.7244228194494333,0.5362409397334289,0.5129597553918616,0.6569408614440126,0.6753910459458576,0.18450675014148835,0.18174338653638814,0.024458740162622727,-0.02328118434156734,0.01845018450184499,-0.002763363605100211
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,C+FULL,0.7024132188224538,0.7320314796068315,0.5402656797391855,0.5384927683785099,0.6857264147862717,0.6528916174117494,0.1822069393401825,0.17885084398728632,0.02961826078437768,-0.0017729113606755886,-0.03283479737452233,-0.003356095352896188
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,C+N,0.690396107500898,0.7333703425529832,0.515380785824076,0.5642646372945813,0.6776115991248408,0.6739378898213761,0.18928515475905214,0.17624379282662309,0.0429742350520852,0.048883851470505335,-0.0036737093034646673,-0.013041361932429052
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,F,0.47301048231721254,0.4644548215393658,0.2751905489048604,0.2794871665333931,0.4657610292917088,0.46073212944518827,0.2077187639709939,0.20859357241764345,-0.008555660777846752,0.0042966176285327284,-0.0050288998465205514,0.0008748084466495554
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,FULL,0.6029781536753421,0.4640629592136629,0.38159308091399924,0.2829713608719764,0.5459458576886653,0.5042451751951148,0.20392576492858305,0.20865971962760232,-0.13891519446167921,-0.09862172004202285,-0.04170068249355052,0.004733954699019272
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,N,0.6065049146066681,0.5118375077556085,0.38754465702467034,0.3021546020949326,0.5868628155308102,0.5064983835679064,0.20338862595207527,0.20822432939683974,-0.09466740685105957,-0.08539005492973772,-0.08036443196290377,0.004835703444764472
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,C,0.7019887013029422,0.7080625673513372,0.537629741038823,0.5262909378074971,0.6510139437677562,0.6263919276360905,0.18366981207093533,0.18321838917943892,0.0060738660483949936,-0.011338803231325856,-0.024622016131665703,-0.00045142289149641135
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,C+F,0.7273944420860139,0.7866636188485778,0.553238455759911,0.6227148436750497,0.7108219312281618,0.7082258433203801,0.18610597695695588,0.16078669946226729,0.059269176762563935,0.06947638791513866,-0.0025960879077817633,-0.025319277494688597
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,C+FULL,0.7860431701662149,0.7802632008620971,0.6347521573185103,0.5981528852229933,0.7182020050288999,0.6997518205270549,0.16042997877829043,0.1659073158815729,-0.005779969304117838,-0.036599272095517055,-0.01845018450184499,0.005477337103282465
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,C+N,0.7321621003820659,0.7263984586748523,0.5721670737097051,0.5312672232545798,0.6588348626849101,0.6462462854717044,0.1768371680969971,0.18010632645927185,-0.0057636417072135515,-0.04089985045512534,-0.01258857721320572,0.00326915836227476
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,F,0.6549978774124023,0.5746334454494988,0.4228869045342609,0.37101954805593845,0.6407275577180551,0.6111746073212945,0.20279512717619522,0.20627180144910398,-0.08036443196290355,-0.05186735647832247,-0.029552950396760647,0.003476674272908764
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,FULL,0.6989517682787447,0.6718153022238187,0.4852255504844848,0.4428382039295329,0.6779708062567351,0.6325964144597198,0.188933223021032,0.19625116740264995,-0.027136466054926034,-0.04238734655495191,-0.0453743917970153,0.007317944381617952
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,N,0.6331515527544657,0.6317473794206969,0.4450571165405801,0.40530218001981255,0.6425725761682395,0.5916468014237665,0.19797381474046682,0.20214036927922852,-0.0014041733337687434,-0.03975493652076756,-0.05092577474447302,0.004166554538761691
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,C,0.7019887013029422,0.7080625673513372,0.537629741038823,0.5262909378074971,0.6510139437677562,0.6263919276360905,0.18366981207093533,0.18321838917943892,0.0060738660483949936,-0.011338803231325856,-0.024622016131665703,-0.00045142289149641135
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,C+F,0.7702707115566731,0.8069751493975116,0.6036662256541608,0.6576593083354751,0.7226104561930575,0.7370113966626393,0.17130928539892268,0.1515365879413687,0.03670443784083843,0.05399308268131431,0.014400940469581736,-0.019772697457553973
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,C+FULL,0.8088038402507919,0.7570290304672957,0.6431429771872803,0.5660833199331196,0.7144956405316265,0.6772523919929465,0.15493606307689992,0.1727615195335778,-0.051774809783496134,-0.07705965725416075,-0.037243248538679996,0.01782545645667788
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,C+N,0.7553799431799627,0.7854227214838521,0.5723237810738466,0.6197714740264852,0.7126669496783464,0.7174346079743983,0.17607640471878283,0.16234810657622892,0.03004277830388935,0.04744769295263862,0.004767658296051858,-0.013728298142553913
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,F,0.6534630833033994,0.6229631322861902,0.4033351233305881,0.40047088516058993,0.649577115240179,0.619322078176534,0.1993717908993681,0.20354073941024256,-0.03049995101720926,-0.0028642381699981456,-0.030255037063645074,0.0041689485108744595
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,FULL,0.7387584495313979,0.7249453025503706,0.5300245406372837,0.4763393461139702,0.6591777422199001,0.6577082584985141,0.18435552636035424,0.18813224925661556,-0.013813146981027313,-0.05368519452331344,-0.0014694837213860001,0.0037767228962613253
