population,target,timing,timing_label,model,model_role,clinical_contract,n_sensitivity_cells,n_patients_per_cell,n_positive_per_cell,n_negative_per_cell,auroc_mean,auroc_min,auroc_max,auprc_mean,auprc_min,auprc_max,balanced_accuracy_mean,balanced_accuracy_min,balanced_accuracy_max,brier_mean,brier_min,brier_max,aggregation
ftv_complete_375,pCR,T0,T0,C,context,C2_full_with_treatment,4,375,110,265,0.6966723842195541,0.6966723842195541,0.6966723842195541,0.5362125873999827,0.5362125873999827,0.5362125873999827,0.6563464837049743,0.6563464837049743,0.6563464837049743,0.2430950945429407,0.2430950945429407,0.2430950945429407,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,pCR,T0,T0,M,MRI reference,C2_full_with_treatment,4,375,110,265,0.511655231560892,0.4770497427101201,0.5489879931389365,0.3054369762520678,0.293370504941492,0.3219058609924963,0.5029802744425386,0.46912521440823324,0.5204974271012007,0.2836800762127203,0.25948521298914706,0.31405110302620803,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,pCR,T0,T0,C+M,MRI reference,C2_full_with_treatment,4,375,110,265,0.6100686106346483,0.5754716981132075,0.6317324185248714,0.3856590480414913,0.35381418256711633,0.4079632391761423,0.5929030874785592,0.5753859348198971,0.6102058319039452,0.2410744160599484,0.23274993235634994,0.2522084862192528,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,pCR,T0,T0,C+F,context,C2_full_with_treatment,4,375,110,265,0.6880274442538593,0.6880274442538593,0.6880274442538593,0.538897485664505,0.538897485664505,0.538897485664505,0.6582332761578045,0.6582332761578045,0.6582332761578045,0.23562171232365714,0.23562171232365714,0.23562171232365714,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,pCR,T0,T0,C+F+M,MRI reference,C2_full_with_treatment,4,375,110,265,0.6000557461406518,0.5541166380789022,0.6305317324185249,0.37532093164156377,0.32966634473255374,0.4062251239531152,0.5870497427101201,0.564065180102916,0.6007718696397942,0.2492932185793234,0.23337597353004208,0.2746834136004967,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,pCR,T1,T1,C,context,C2_full_with_treatment,4,375,110,265,0.6966723842195541,0.6966723842195541,0.6966723842195541,0.5362125873999827,0.5362125873999827,0.5362125873999827,0.6563464837049743,0.6563464837049743,0.6563464837049743,0.2430950945429407,0.2430950945429407,0.2430950945429407,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,pCR,T1,T1,M,MRI reference,C2_full_with_treatment,4,375,110,265,0.5214150943396227,0.5093310463121784,0.5394511149228131,0.3114193205170424,0.29889198005421985,0.3268956615625282,0.5251715265866209,0.5152658662092624,0.5479416809605488,0.28808020776477783,0.28004981894835856,0.3059455382645371,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,pCR,T1,T1,C+M,MRI reference,C2_full_with_treatment,4,375,110,265,0.627598627787307,0.6245626072041166,0.6313207547169811,0.4132810270533873,0.3989570334474615,0.43058152534027905,0.5994425385934821,0.5916809605488851,0.6090909090909091,0.23210759637441433,0.22362637784740802,0.24007249699227792,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,pCR,T1,T1,C+F,context,C2_full_with_treatment,4,375,110,265,0.6971526586620925,0.6971526586620925,0.6971526586620925,0.5259975356624463,0.5259975356624463,0.5259975356624463,0.6684391080617496,0.6684391080617496,0.6684391080617496,0.19795462758831528,0.19795462758831528,0.19795462758831528,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,pCR,T1,T1,C+F+M,MRI reference,C2_full_with_treatment,4,375,110,265,0.650385934819897,0.6471012006861063,0.6579759862778731,0.4432741211078924,0.4209662162244224,0.47004982294581216,0.624721269296741,0.6144082332761578,0.6355917667238422,0.22468024045833349,0.21824736186985183,0.23782837571301865,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,pCR,T2,T2,C,context,C2_full_with_treatment,4,375,110,265,0.6966723842195541,0.6966723842195541,0.6966723842195541,0.5362125873999827,0.5362125873999827,0.5362125873999827,0.6563464837049743,0.6563464837049743,0.6563464837049743,0.2430950945429407,0.2430950945429407,0.2430950945429407,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
