population,target,metric_definition,view,timing_label,n_sensitivity_cells,n_patients_per_cell,n_positive_per_cell,n_classes,auroc_mean,auroc_min,auroc_max,auprc_mean,auprc_min,auprc_max,balanced_accuracy_mean,balanced_accuracy_min,balanced_accuracy_max,aggregation
ftv_complete_375,HR,binary,T0,T0,4,375,217,2,0.5688692177565187,0.5494370880242665,0.5804118299014175,0.6406894082678335,0.6133877418861865,0.6785215340645396,0.5336507612436563,0.5301580820159832,0.5380184331797235,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HER2,binary,T0,T0,4,375,88,2,0.5375554323725056,0.5312401013620526,0.5475926512511878,0.25860969149891155,0.2497728820993748,0.2710182530128128,0.505191835603421,0.4661070636680392,0.5499485270826734,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,subtype_4class,macro one-vs-rest,T0,T0,4,375,,4,0.523306248947643,0.5011583439718842,0.5383553668496002,0.26853981004270566,0.2637273557513546,0.27286666869317533,0.2644545794265818,0.25727675764608426,0.2782960159951358,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HR,binary,T1,T1,4,375,217,2,0.5016697777518521,0.4822376480195998,0.5160123665636119,0.5811874175378158,0.5742278195991548,0.5953425840279278,0.5126363530303915,0.497433354722044,0.5327684769293589,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HER2,binary,T1,T1,4,375,88,2,0.5708247545137789,0.5592334494773519,0.581921127652835,0.2853095734713863,0.2759509963478962,0.2932182236042359,0.55187876148242,0.5332792207792207,0.5640441875197972,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,subtype_4class,macro one-vs-rest,T1,T1,4,375,,4,0.5275819969516422,0.5058255159638829,0.543101542911484,0.27907222623384875,0.2551893643209904,0.30340206909511064,0.28555718520272155,0.26092068149427183,0.30888881223109677,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HR,binary,T2,T2,4,375,217,2,0.529946625444788,0.5071166073616054,0.5503995800035,0.6139346452130121,0.5943422081044419,0.6355793537275496,0.5155712244064633,0.4986000116665694,0.5262206148282098,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HER2,binary,T2,T2,4,375,88,2,0.5531952803294267,0.547077922077922,0.5667960088691796,0.27876702953299193,0.26928494264917513,0.29813536526271445,0.5333485112448527,0.5133631612290149,0.5542049414000634,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,subtype_4class,macro one-vs-rest,T2,T2,4,375,,4,0.5056341912741236,0.48485459975339434,0.5348745710691223,0.2779660991794393,0.25196490240825964,0.3097976478734481,0.2719402665947727,0.23512347534390052,0.307178643318806,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HR,binary,T3,T3 (late/pre-surgery),4,375,217,2,0.49054278714344046,0.45108790760077,0.5275914367380272,0.584518100873386,0.5596452987883138,0.613663654169966,0.49212506562445313,0.4802251647902934,0.5075395205039959,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HER2,binary,T3,T3 (late/pre-surgery),4,375,88,2,0.5583524707000317,0.5535318340196389,0.5643015521064303,0.27303513084665926,0.25877646521290887,0.2868745485686188,0.5521559233449478,0.541019955654102,0.570874247703516,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,subtype_4class,macro one-vs-rest,T3,T3 (late/pre-surgery),4,375,,4,0.5507581844411528,0.5446191251602502,0.5642129049027688,0.2869981140046507,0.2740294606337429,0.2971857462400567,0.2831436350480802,0.2760334378421822,0.2942000513741024,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HR,binary,long_T0_T1,Long T0-T1,4,375,217,2,0.529283089307589,0.4901417488187598,0.5590036749693752,0.605321022287105,0.5763010605936718,0.6207140148056627,0.5183894300880826,0.496791693402555,0.55384121798985,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HER2,binary,long_T0_T1,Long T0-T1,4,375,88,2,0.5789713335445043,0.5494931897370922,0.6294345898004434,0.3029822081412805,0.26601878470116225,0.3457416536472663,0.5572784684827368,0.5451773835920177,0.5755464048146974,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,subtype_4class,macro one-vs-rest,long_T0_T1,Long T0-T1,4,375,,4,0.5441510598073274,0.5312363198361572,0.5571057346168348,0.277426926799033,0.26311365732121883,0.2858012574578588,0.3031526521837349,0.2976123817092367,0.3129213896516913,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HR,binary,long_T0_T2,Long T0-T2,4,375,217,2,0.5397574811876568,0.512599895000875,0.5628244764626961,0.6033017074696578,0.5864277960579871,0.6168375527407299,0.5323747302105816,0.5230268914425713,0.5451787901767485,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HER2,binary,long_T0_T2,Long T0-T2,4,375,88,2,0.5631038169147925,0.5153230915426037,0.5858013937282229,0.2872573729237796,0.2607032259311595,0.3256878774856759,0.5502355875831486,0.532526924295217,0.5783576179917643,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,subtype_4class,macro one-vs-rest,long_T0_T2,Long T0-T2,4,375,,4,0.5366742110432066,0.5166402207296747,0.5514181218930818,0.2822383991964551,0.27664387532959156,0.2887328238975757,0.31388244072120797,0.30480463417572984,0.32854449620661497,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HR,binary,long_T0_T3,Long T0-T3 (includes late/pre-surgery),4,375,217,2,0.536374176048533,0.5184040132998892,0.5496412529895585,0.6127596666782519,0.6004327553912712,0.6233177273105779,0.5335851367905267,0.5227206439946334,0.5461850317914018,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,HER2,binary,long_T0_T3,Long T0-T3 (includes late/pre-surgery),4,375,88,2,0.5912852391510929,0.5596293949952487,0.6239705416534685,0.30713135724646107,0.28802804451084435,0.3215814050656376,0.5420197180867913,0.5219947735191638,0.5623812163446309,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
ftv_complete_375,subtype_4class,macro one-vs-rest,long_T0_T3,Long T0-T3 (includes late/pre-surgery),4,375,,4,0.5425319925997694,0.5157231720896579,0.5640473448486061,0.2849849438084121,0.27566903227189077,0.2920529561772255,0.2993722802135552,0.27512796068499035,0.3219668776973482,unweighted mean/min/max of four seed-x-arm metrics; patient rows not pooled
