population,task,view,timing,timing_label,target,traditional_model,mri_model,n,traditional_auroc,mri_auroc,difference_mri_minus_traditional,mri_aggregation
mri_matched_375,profile_probe,longitudinal,T1,T1,HER2,FULL,M,375,0.649746594868546,0.5789713335445043,-0.07077526132404177,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T1,T1,HR,FULL,M,375,0.5413288222598145,0.529283089307589,-0.01204573295222544,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T1,T1,subtype,FULL,M,375,0.5704161990927409,0.5441510598073274,-0.02626513928541352,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T1,T1,HER2,N,M,375,0.5491764333227748,0.5789713335445043,0.02979490022172948,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T1,T1,HR,N,M,375,0.44175465204456627,0.529283089307589,0.08752843726302278,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T1,T1,subtype,N,M,375,0.5024219466620612,0.5441510598073274,0.04172911314526617,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T2,T2,HER2,FULL,M,375,0.6352153943617359,0.5631038169147925,-0.07211157744694341,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T2,T2,HR,FULL,M,375,0.530537245522954,0.5397574811876568,0.009220235664702758,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T2,T2,subtype,FULL,M,375,0.5653473351393841,0.5366742110432066,-0.028673124096177505,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T2,T2,HER2,N,M,375,0.5828318023439975,0.5631038169147925,-0.019727985429204953,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T2,T2,HR,N,M,375,0.43589220089832587,0.5397574811876568,0.1038652802893309,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T2,T2,subtype,N,M,375,0.5211454789506901,0.5366742110432066,0.015528732092516484,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T3,T3 (late/pre-surgery),HER2,FULL,M,375,0.6116170414950902,0.5912852391510929,-0.02033180234399734,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T3,T3 (late/pre-surgery),HR,FULL,M,375,0.524762293647553,0.536374176048533,0.01161188240097999,mean_of_four_seed_x_arm_cells_without_patient_pooling
mri_matched_375,profile_probe,longitudinal,T3,T3 (late/pre-surgery),subtype,FULL,M,375,0.5626948004711039,0.5425319925997694,-0.02016280787133451,mean_of_four_seed_x_arm_cells_without_patient_pooling
