protocol,population,scenario,view,timing,timing_label,model_type,model,fold,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C,0,69,20,49,0.6724489795918368,0.5103028691021548,0.5438775510204081,0.1906445230215775
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C,1,67,20,47,0.7574468085106383,0.537995652556363,0.5898936170212765,0.19814563353685835
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C,2,83,24,59,0.6483050847457626,0.48743554652994403,0.6345338983050848,0.1921075681020469
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C,3,72,23,49,0.7400177462289264,0.6132980714082653,0.7138420585625554,0.18563086424984737
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C,4,84,23,61,0.7997148966500357,0.5624589646442884,0.7736992159657876,0.16263980352194368
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+F,0,69,20,49,0.6938775510204082,0.5059551459467526,0.6153061224489795,0.18829785165188953
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+F,1,67,20,47,0.7042553191489362,0.5394224850337088,0.5936170212765958,0.2093517588237125
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+F,2,83,24,59,0.6468926553672317,0.48527080941312933,0.6345338983050848,0.19258435646896144
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+F,3,72,23,49,0.7462289263531499,0.6741321427250033,0.6641526175687666,0.17594869358789525
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+F,4,84,23,61,0.7990021382751248,0.5414096985794405,0.7736992159657876,0.16284708710464374
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+FULL,0,69,20,49,0.6877551020408162,0.4419642902417909,0.6596938775510204,0.19776739418365463
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+FULL,1,67,20,47,0.6680851063829788,0.48213369859000044,0.5542553191489361,0.20747688677818732
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+FULL,2,83,24,59,0.644774011299435,0.47040419441375075,0.5988700564971752,0.1990578779567411
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+FULL,3,72,23,49,0.6938775510204083,0.6649509840786907,0.6716947648624667,0.21728949070947426
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+FULL,4,84,23,61,0.8189593727726301,0.6254185304855072,0.6247327156094085,0.15560545729911196
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+N,0,69,20,49,0.6928571428571428,0.4601804850281389,0.6403061224489797,0.19315597626702982
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+N,1,67,20,47,0.7202127659574468,0.5100243193928171,0.5861702127659575,0.20926521286840613
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+N,2,83,24,59,0.6758474576271187,0.5151104897660743,0.623587570621469,0.18922731034599535
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+N,3,72,23,49,0.6885536823425022,0.6596745872777126,0.6716947648624667,0.2190082471520257
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,C+N,4,84,23,61,0.7384176764076978,0.5470366196059376,0.6785459729151817,0.18732393182598178
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,F,0,69,20,49,0.636734693877551,0.39481787951302605,0.49438775510204086,0.2058255233289525
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,F,1,67,20,47,0.41702127659574467,0.28339486862297136,0.4553191489361702,0.20951538226326455
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,F,2,83,24,59,0.5628531073446328,0.4705568601967343,0.5734463276836158,0.20554358337983905
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,F,3,72,23,49,0.4720496894409938,0.32239064900170095,0.49245785270629994,0.21921479733903623
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,F,4,84,23,61,0.48253741981468284,0.2810401257447817,0.5185317177476836,0.19941212826096816
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,FULL,0,69,20,49,0.5795918367346938,0.3728876106170384,0.5096938775510205,0.20684594200521628
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,FULL,1,67,20,47,0.6159574468085106,0.429527350320463,0.6409574468085106,0.20180001001093514
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,FULL,2,83,24,59,0.5346045197740112,0.3164798538437188,0.5402542372881356,0.21278468352618551
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T0,T0,logistic,FULL,3,72,23,49,0.5944986690328306,0.48380014033932683,0.616681455190772,0.21917467622152087
