protocol,population,view,timing,timing_label,feature_set,model_type,target,n,n_positive,auroc,auprc,balanced_accuracy,brier
locked_mri_manifest_375,mri_matched_375,longitudinal,T0,T0,FULL,logistic,HER2,375,88.0,0.5215394361735824,0.25277107642961466,0.4823012353500158,0.18148840984725523
locked_mri_manifest_375,mri_matched_375,longitudinal,T0,T0,FULL,logistic,HR,375,217.0,0.5663827801434987,0.6372968638963157,0.5406579945167124,0.24233352231793506
locked_mri_manifest_375,mri_matched_375,longitudinal,T0,T0,FULL,logistic,subtype,375,,0.5005006540381005,0.2768531717632122,0.2610636836424296,0.677107870300041
locked_mri_manifest_375,mri_matched_375,longitudinal,T0,T0,N,logistic,HER2,375,88.0,0.4797671840354767,0.24460543758725128,0.49018055115616094,0.18098480719092427
locked_mri_manifest_375,mri_matched_375,longitudinal,T0,T0,N,logistic,HR,375,217.0,0.4705710785743452,0.5592055540608858,0.48080849326255615,0.24722061092241712
locked_mri_manifest_375,mri_matched_375,longitudinal,T0,T0,N,logistic,subtype,375,,0.47896448281298215,0.25966451745637215,0.2482950642723972,0.6776027990337699
locked_mri_manifest_375,mri_matched_375,longitudinal,T1,T1,FULL,logistic,HER2,375,88.0,0.649746594868546,0.3272505952863841,0.6078357617991764,0.17560586619333873
locked_mri_manifest_375,mri_matched_375,longitudinal,T1,T1,FULL,logistic,HR,375,217.0,0.5413288222598145,0.6171413179225269,0.5248352097065858,0.25811206875304865
locked_mri_manifest_375,mri_matched_375,longitudinal,T1,T1,FULL,logistic,subtype,375,,0.5704161990927409,0.2966022314417105,0.26305530469723204,0.6839387801978657
locked_mri_manifest_375,mri_matched_375,longitudinal,T1,T1,N,logistic,HER2,375,88.0,0.5491764333227748,0.2975142724367718,0.5098788406715236,0.1870574546827128
locked_mri_manifest_375,mri_matched_375,longitudinal,T1,T1,N,logistic,HR,375,217.0,0.44175465204456627,0.5288032363230534,0.47512104065799454,0.2614487743104872
locked_mri_manifest_375,mri_matched_375,longitudinal,T1,T1,N,logistic,subtype,375,,0.5024219466620612,0.2571953335260546,0.248741204020164,0.7120540630954544
locked_mri_manifest_375,mri_matched_375,longitudinal,T2,T2,FULL,logistic,HER2,375,88.0,0.6352153943617359,0.3546358016476396,0.6170019005384859,0.1773541984422919
locked_mri_manifest_375,mri_matched_375,longitudinal,T2,T2,FULL,logistic,HR,375,217.0,0.530537245522954,0.6162218049377615,0.520839409671586,0.25029008937245584
locked_mri_manifest_375,mri_matched_375,longitudinal,T2,T2,FULL,logistic,subtype,375,,0.5653473351393841,0.30761409225662883,0.28739296130064224,0.6950040363653088
locked_mri_manifest_375,mri_matched_375,longitudinal,T2,T2,N,logistic,HER2,375,88.0,0.5828318023439975,0.32935626525099804,0.5598075704783022,0.1799012705657388
locked_mri_manifest_375,mri_matched_375,longitudinal,T2,T2,N,logistic,HR,375,217.0,0.43589220089832587,0.5306715516412661,0.47380855159540336,0.2611533245138829
locked_mri_manifest_375,mri_matched_375,longitudinal,T2,T2,N,logistic,subtype,375,,0.5211454789506901,0.2721920762913692,0.2785251506282603,0.719309812418844
locked_mri_manifest_375,mri_matched_375,longitudinal,T3,T3 (late/pre-surgery),FULL,logistic,HER2,375,88.0,0.6116170414950902,0.33784127851615553,0.6016986062717771,0.18239699045373575
locked_mri_manifest_375,mri_matched_375,longitudinal,T3,T3 (late/pre-surgery),FULL,logistic,HR,375,217.0,0.524762293647553,0.6146624984182792,0.5214519045674619,0.2554010635853397
locked_mri_manifest_375,mri_matched_375,longitudinal,T3,T3 (late/pre-surgery),FULL,logistic,subtype,375,,0.5626948004711039,0.28575240721044803,0.25320592779604467,0.7022403255556708
locked_mri_manifest_375,mri_matched_375,longitudinal,T3,T3 (late/pre-surgery),N,logistic,HER2,375,88.0,0.5666376306620209,0.31930526534302006,0.5540465631929046,0.18211527035450073
locked_mri_manifest_375,mri_matched_375,longitudinal,T3,T3 (late/pre-surgery),N,logistic,HR,375,217.0,0.45948783760135337,0.5409103999593122,0.47602519979000174,0.26103359484070654
locked_mri_manifest_375,mri_matched_375,longitudinal,T3,T3 (late/pre-surgery),N,logistic,subtype,375,,0.5264680864030106,0.28043716497197696,0.26266068672802995,0.7175151634158509
locked_mri_manifest_375,mri_matched_375,static,T0,T0,FULL,logistic,HER2,375,88.0,0.5215394361735824,0.25277107642961466,0.4823012353500158,0.18148840984725523
locked_mri_manifest_375,mri_matched_375,static,T0,T0,FULL,logistic,HR,375,217.0,0.5663827801434987,0.6372968638963157,0.5406579945167124,0.24233352231793506
locked_mri_manifest_375,mri_matched_375,static,T0,T0,FULL,logistic,subtype,375,,0.5005006540381005,0.2768531717632122,0.2610636836424296,0.677107870300041
