protocol,population,scenario,view,timing,timing_label,model_type,model,fold,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+N_res,0,77,23,54,0.7190016103059581,0.5577763468373301,0.6936392914653784,0.1838179701961451
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+N_res,1,77,22,55,0.7694214876033058,0.6090159376005931,0.6909090909090909,0.16717145235990072
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+N_res,2,77,23,54,0.7294685990338164,0.6524681794630548,0.711755233494364,0.17154629216506828
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+N_res,3,77,22,55,0.762809917355372,0.6650067997504834,0.6636363636363636,0.2039886793671137
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+N_res,4,76,23,53,0.8187038556193602,0.6659729213568252,0.7403609515996719,0.19151238535836443
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,N_res,0,77,23,54,0.6151368760064412,0.4344250111833345,0.5825281803542672,0.20412221972494768
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,N_res,1,77,22,55,0.596694214876033,0.39717626463185823,0.5727272727272728,0.20078694340332995
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,N_res,2,77,23,54,0.5136876006441224,0.30554494520979675,0.46980676328502413,0.2161300674873197
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,N_res,3,77,22,55,0.6429752066115703,0.4547244888547078,0.6227272727272727,0.20417309767997732
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,N_res,4,76,23,53,0.7186218211648892,0.498419375861044,0.638228055783429,0.1951804328884603
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F+N_res,0,77,23,54,0.8172302737520128,0.6506048716870257,0.7894524959742351,0.15790670376939933
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F+N_res,1,77,22,55,0.7404958677685951,0.6062283480497308,0.6727272727272727,0.1709990246749033
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F+N_res,2,77,23,54,0.7914653784219001,0.6843897245216413,0.7214170692431562,0.16333852708498114
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F+N_res,3,77,22,55,0.7479338842975207,0.5969469827558063,0.7181818181818183,0.17346945152568277
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F+N_res,4,76,23,53,0.8990976210008204,0.8401334427973561,0.7760459392945037,0.12378317953094438
