protocol,fold,split,n,pCR_positive,HR_positive,HER2_positive
primary_stratified_384,0,train,245,72,142,57
primary_stratified_384,0,validation,62,18,36,15
primary_stratified_384,0,test,77,23,44,18
primary_stratified_384,1,train,245,73,142,57
primary_stratified_384,1,validation,62,18,36,15
primary_stratified_384,1,test,77,22,44,18
primary_stratified_384,2,train,245,72,141,57
primary_stratified_384,2,validation,62,18,36,15
primary_stratified_384,2,test,77,23,45,18
primary_stratified_384,3,train,245,73,141,57
primary_stratified_384,3,validation,62,18,36,15
primary_stratified_384,3,test,77,22,45,18
primary_stratified_384,4,train,246,72,142,57
primary_stratified_384,4,validation,62,18,36,15
primary_stratified_384,4,test,76,23,44,18
locked_mri_manifest_375,0,train,247,71,140,57
locked_mri_manifest_375,0,validation,59,19,36,14
locked_mri_manifest_375,0,test,69,20,41,17
locked_mri_manifest_375,1,train,239,69,137,60
locked_mri_manifest_375,1,validation,69,21,40,16
locked_mri_manifest_375,1,test,67,20,40,12
locked_mri_manifest_375,2,train,240,69,144,59
locked_mri_manifest_375,2,validation,52,17,28,11
locked_mri_manifest_375,2,test,83,24,45,18
locked_mri_manifest_375,3,train,242,67,140,51
locked_mri_manifest_375,3,validation,61,20,34,16
locked_mri_manifest_375,3,test,72,23,43,21
locked_mri_manifest_375,4,train,225,67,133,52
locked_mri_manifest_375,4,validation,66,20,36,16
locked_mri_manifest_375,4,test,84,23,48,20
