protocol,population,scenario,view,timing,timing_label,model_type,model,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,logistic,C,384,113,271,0.7019887013029422,0.537629741038823,0.6510139437677562,0.18366981207093533
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,logistic,C+F,384,113,271,0.6999640792868106,0.5362409397334289,0.6569408614440126,0.18450675014148835
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,logistic,C+FULL,384,113,271,0.7024132188224538,0.5402656797391855,0.6857264147862717,0.1822069393401825
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,logistic,C+N,384,113,271,0.690396107500898,0.515380785824076,0.6776115991248408,0.18928515475905214
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,logistic,F,384,113,271,0.47301048231721254,0.2751905489048604,0.4657610292917088,0.2077187639709939
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,logistic,FULL,384,113,271,0.6029781536753421,0.38159308091399924,0.5459458576886653,0.20392576492858305
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,logistic,N,384,113,271,0.6065049146066681,0.38754465702467034,0.5868628155308102,0.20338862595207527
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,rbf_svm,C,384,113,271,0.7080625673513372,0.5262909378074971,0.6263919276360905,0.18321838917943892
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,rbf_svm,C+F,384,113,271,0.7244228194494333,0.5129597553918616,0.6753910459458576,0.18174338653638814
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,rbf_svm,C+FULL,384,113,271,0.7320314796068315,0.5384927683785099,0.6528916174117494,0.17885084398728632
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,rbf_svm,C+N,384,113,271,0.7333703425529832,0.5642646372945813,0.6739378898213761,0.17624379282662309
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,rbf_svm,F,384,113,271,0.4644548215393658,0.2794871665333931,0.46073212944518827,0.20859357241764345
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,rbf_svm,FULL,384,113,271,0.4640629592136629,0.2829713608719764,0.5042451751951148,0.20865971962760232
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,rbf_svm,N,384,113,271,0.5118375077556085,0.3021546020949326,0.5064983835679064,0.20822432939683974
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,logistic,C,384,113,271,0.7019887013029422,0.537629741038823,0.6510139437677562,0.18366981207093533
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,logistic,C+F,384,113,271,0.7535512523266825,0.6004873311506266,0.6979068020768704,0.16969961162861769
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,logistic,C+FULL,384,113,271,0.7570127028703915,0.5946899233112811,0.6960781112235901,0.17221612646112147
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,logistic,C+N,384,113,271,0.7384972079809294,0.5774456992644342,0.6617901577245862,0.17864596650748665
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,logistic,F,384,113,271,0.538598439081736,0.3367042386385214,0.5886751787871861,0.20761911060237448
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,logistic,FULL,384,113,271,0.6799137902883454,0.4516372719034284,0.6602880188093916,0.19362684726099536
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,logistic,N,384,113,271,0.6340658981811057,0.41383244289990134,0.6204650099598341,0.20158563434716892
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,rbf_svm,C,384,113,271,0.7080625673513372,0.5262909378074971,0.6263919276360905,0.18321838917943892
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,rbf_svm,C+F,384,113,271,0.759821049537929,0.5788503024392069,0.6919962119975183,0.1698798694087961
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,rbf_svm,C+FULL,384,113,271,0.7726055579139863,0.6241949672465016,0.6809424288933155,0.1646057199979598
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,rbf_svm,C+N,384,113,271,0.7572739444208602,0.5857263923076378,0.6610390882669889,0.17030699910051258
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,rbf_svm,F,384,113,271,0.5736701172321458,0.36097865918121386,0.5473826862162428,0.2107031639821487
