arm,seed_base,population,timing,comparison,baseline_model,augmented_model,n,n_positive,n_bootstrap,confidence_level,bootstrap_unit,stratification,random_seed,delta_auroc,delta_auroc_ci_lower,delta_auroc_ci_upper,delta_auprc,delta_auprc_ci_lower,delta_auprc_ci_upper,brier_improvement,brier_improvement_ci_lower,brier_improvement_ci_upper
F1,2026,full_808,T0,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,260812,-0.04804366365341972,-0.08383864915572237,-0.01193228722497012,-0.036766665697883893,-0.06978475242371734,-0.004576949310144146,-0.04219544508146808,-0.05448537658429995,-0.030195863289660486
F1,2026,full_808,T0,beyond_C_full_vs_zR,C+z_R,C+z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,261821,-0.05128432543066708,-0.07394269145488654,-0.02917175507419414,-0.08077746577724787,-0.11127038385204147,-0.045376180269910936,-0.02191646993534202,-0.02975511894461918,-0.014223021252349347
F1,2026,full_808,T0,beyond_C_zP_vs_C,C,C+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,262830,-0.03935527886747403,-0.07273810336005464,-0.007887685485246461,-0.07910342256996139,-0.12521976117097222,-0.030077480960268348,-0.0032636683029457214,-0.01588398162281388,0.00871581770948369
F1,2026,ftv_complete_375,T0,beyond_C_F_full_vs_zR,C+F+z_R,C+F+z_R+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,263839,0.012384219554030906,-0.03084562607204115,0.052593481989708424,0.007917978831391004,-0.0398681367718073,0.056710561762539725,0.023509051485032517,0.00342652575328552,0.04371501547548626
F1,2026,ftv_complete_375,T0,beyond_C_F_zP_vs_C_F,C+F,C+F+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,264848,-0.08353344768439108,-0.1444605488850771,-0.025659519725557595,-0.1427730404528209,-0.22137064372691062,-0.060698712730765735,-0.036773366450730705,-0.06476265008897483,-0.010544304290812821
F1,2026,full_808,T0-T1,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,265857,-0.023974074705782056,-0.059867132867132876,0.012137472283813693,-0.01726723512710121,-0.04952095380056877,0.01491973388139544,0.004412176141222135,-0.008260136848998883,0.01741694142689018
F1,2026,full_808,T0-T1,beyond_C_full_vs_zR,C+z_R,C+z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,266866,-0.06144294729660593,-0.08632935357325607,-0.03505662630052892,-0.10178716779171504,-0.13575700869024865,-0.06310175105946146,-0.0337978736574891,-0.04396978490344808,-0.023103705000423153
F1,2026,full_808,T0-T1,beyond_C_zP_vs_C,C,C+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,267875,-0.07507078287566116,-0.11330769230769244,-0.03699735630223433,-0.11161869057778129,-0.16191147176537066,-0.056422808422629714,-0.027685680707288163,-0.04311611338943888,-0.012103119859516086
F1,2026,ftv_complete_375,T0-T1,beyond_C_F_full_vs_zR,C+F+z_R,C+F+z_R+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,268884,-0.04778730703258993,-0.09797855917667238,0.0016852487135506093,-0.06837330781879747,-0.14457407932437136,0.006825764420503636,-0.04027919720268058,-0.062465401984034316,-0.018296049855774495
F1,2026,ftv_complete_375,T0-T1,beyond_C_F_zP_vs_C_F,C+F,C+F+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,269893,-0.11550600343053175,-0.1799322469982848,-0.05255574614065184,-0.15863783003889154,-0.2399749191693501,-0.07407890185501594,-0.061574021090546494,-0.08558811161582208,-0.03856175091167383
