seed_base,arm,population,timing,model,n,n_positive,auroc,auprc,brier
2026,F0,ftv_complete_375,T0,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
2026,F0,ftv_complete_375,T0,C+F,375,110,0.6805831903945111,0.5101828185046933,0.2254734895410921
2026,F0,ftv_complete_375,T0,C+F+F0,375,110,0.5942024013722127,0.37985291398875554,0.2316903359968989
2026,F0,ftv_complete_375,T0-T1,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
2026,F0,ftv_complete_375,T0-T1,C+F,375,110,0.7471698113207548,0.5944760843663942,0.17065331409768403
2026,F0,ftv_complete_375,T0-T1,C+F+F0,375,110,0.6609605488850772,0.4469867470046393,0.2125951960985902
2026,F0,ftv_complete_375,T0-T2,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
2026,F0,ftv_complete_375,T0-T2,C+F,375,110,0.7652830188679245,0.6189550432272192,0.16661367686352274
2026,F0,ftv_complete_375,T0-T2,C+F+F0,375,110,0.6637049742710119,0.44793361033041273,0.2243194603865623
2026,F0,full_808,T0,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
2026,F0,full_808,T0,C+F0,808,275,0.6923963841037012,0.5461878952437026,0.20541131988465444
2026,F0,full_808,T0,F0,808,275,0.5211802831315027,0.35492998434935585,0.2699866496163633
2026,F0,full_808,T0-T1,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
2026,F0,full_808,T0-T1,C+F0,808,275,0.7006720109159134,0.5438546327324835,0.20368809988785128
2026,F0,full_808,T0-T1,F0,808,275,0.530035817840696,0.3611914136827111,0.2668465260917322
2026,F0,full_808,T0-T2,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
2026,F0,full_808,T0-T2,C+F0,808,275,0.6666143612485077,0.4869543987069723,0.2270629814476203
2026,F0,full_808,T0-T2,F0,808,275,0.526535903121269,0.3607875732089635,0.29001997743841285
