population,timing,model_family,selected_dimension,n_folds_selected,selection_fraction
ftv_complete_375,T0,C+F+M,8,9,0.45
ftv_complete_375,T0,C+F+M,16,7,0.35
ftv_complete_375,T0,C+F+M,32,2,0.1
ftv_complete_375,T0,C+F+M,64,2,0.1
ftv_complete_375,T0,C+F+M_residual,8,9,0.45
ftv_complete_375,T0,C+F+M_residual,16,7,0.35
ftv_complete_375,T0,C+F+M_residual,32,2,0.1
ftv_complete_375,T0,C+F+M_residual,64,2,0.1
ftv_complete_375,T0,C+M,8,8,0.4
ftv_complete_375,T0,C+M,16,8,0.4
ftv_complete_375,T0,C+M,32,2,0.1
ftv_complete_375,T0,C+M,64,2,0.1
ftv_complete_375,T0,"LateFusion(C+F,M)",8,9,0.45
ftv_complete_375,T0,"LateFusion(C+F,M)",16,2,0.1
ftv_complete_375,T0,"LateFusion(C+F,M)",32,7,0.35
ftv_complete_375,T0,"LateFusion(C+F,M)",64,2,0.1
ftv_complete_375,T0,"LateFusion(C,M)",8,8,0.4
ftv_complete_375,T0,"LateFusion(C,M)",16,2,0.1
ftv_complete_375,T0,"LateFusion(C,M)",32,7,0.35
ftv_complete_375,T0,"LateFusion(C,M)",64,3,0.15
ftv_complete_375,T0,M,8,5,0.25
ftv_complete_375,T0,M,16,4,0.2
ftv_complete_375,T0,M,32,2,0.1
ftv_complete_375,T0,M,64,9,0.45
ftv_complete_375,T0,M_residual,8,4,0.2
ftv_complete_375,T0,M_residual,16,7,0.35
ftv_complete_375,T0,M_residual,32,2,0.1
ftv_complete_375,T0,M_residual,64,7,0.35
ftv_complete_375,T1,C+F+M,8,12,0.6
ftv_complete_375,T1,C+F+M,16,4,0.2
ftv_complete_375,T1,C+F+M,32,3,0.15
ftv_complete_375,T1,C+F+M,64,1,0.05
ftv_complete_375,T1,C+F+M_residual,8,12,0.6
ftv_complete_375,T1,C+F+M_residual,16,6,0.3
ftv_complete_375,T1,C+F+M_residual,64,2,0.1
ftv_complete_375,T1,C+M,8,6,0.3
ftv_complete_375,T1,C+M,16,6,0.3
ftv_complete_375,T1,C+M,32,6,0.3
ftv_complete_375,T1,C+M,64,2,0.1
ftv_complete_375,T1,"LateFusion(C+F,M)",8,6,0.3
ftv_complete_375,T1,"LateFusion(C+F,M)",16,2,0.1
ftv_complete_375,T1,"LateFusion(C+F,M)",32,3,0.15
ftv_complete_375,T1,"LateFusion(C+F,M)",64,9,0.45
ftv_complete_375,T1,"LateFusion(C,M)",8,8,0.4
ftv_complete_375,T1,"LateFusion(C,M)",16,3,0.15
ftv_complete_375,T1,"LateFusion(C,M)",32,6,0.3
ftv_complete_375,T1,"LateFusion(C,M)",64,3,0.15
ftv_complete_375,T1,M,8,4,0.2
ftv_complete_375,T1,M,16,6,0.3
ftv_complete_375,T1,M,32,1,0.05
ftv_complete_375,T1,M,64,9,0.45
ftv_complete_375,T1,M_residual,8,3,0.15
ftv_complete_375,T1,M_residual,16,6,0.3
ftv_complete_375,T1,M_residual,32,3,0.15
ftv_complete_375,T1,M_residual,64,8,0.4
ftv_complete_375,T2,C+F+M,8,8,0.4
ftv_complete_375,T2,C+F+M,16,4,0.2
ftv_complete_375,T2,C+F+M,32,6,0.3
ftv_complete_375,T2,C+F+M,64,2,0.1
ftv_complete_375,T2,C+F+M_residual,8,9,0.45
ftv_complete_375,T2,C+F+M_residual,16,4,0.2
ftv_complete_375,T2,C+F+M_residual,32,6,0.3
ftv_complete_375,T2,C+F+M_residual,64,1,0.05
ftv_complete_375,T2,C+M,8,7,0.35
ftv_complete_375,T2,C+M,16,2,0.1
ftv_complete_375,T2,C+M,32,8,0.4
ftv_complete_375,T2,C+M,64,3,0.15
ftv_complete_375,T2,"LateFusion(C+F,M)",8,2,0.1
ftv_complete_375,T2,"LateFusion(C+F,M)",16,1,0.05
ftv_complete_375,T2,"LateFusion(C+F,M)",32,8,0.4
ftv_complete_375,T2,"LateFusion(C+F,M)",64,9,0.45
ftv_complete_375,T2,"LateFusion(C,M)",16,5,0.25
ftv_complete_375,T2,"LateFusion(C,M)",32,5,0.25
ftv_complete_375,T2,"LateFusion(C,M)",64,10,0.5
ftv_complete_375,T2,M,16,3,0.15
ftv_complete_375,T2,M,32,7,0.35
ftv_complete_375,T2,M,64,10,0.5
ftv_complete_375,T2,M_residual,8,1,0.05
ftv_complete_375,T2,M_residual,16,6,0.3
ftv_complete_375,T2,M_residual,32,5,0.25
ftv_complete_375,T2,M_residual,64,8,0.4
ftv_complete_375,T3,C+F+M,8,7,0.35
ftv_complete_375,T3,C+F+M,16,4,0.2
ftv_complete_375,T3,C+F+M,32,7,0.35
ftv_complete_375,T3,C+F+M,64,2,0.1
ftv_complete_375,T3,C+F+M_residual,8,8,0.4
ftv_complete_375,T3,C+F+M_residual,16,5,0.25
ftv_complete_375,T3,C+F+M_residual,32,6,0.3
ftv_complete_375,T3,C+F+M_residual,64,1,0.05
ftv_complete_375,T3,C+M,8,6,0.3
ftv_complete_375,T3,C+M,32,8,0.4
ftv_complete_375,T3,C+M,64,6,0.3
ftv_complete_375,T3,"LateFusion(C+F,M)",8,6,0.3
ftv_complete_375,T3,"LateFusion(C+F,M)",16,3,0.15
ftv_complete_375,T3,"LateFusion(C+F,M)",32,5,0.25
ftv_complete_375,T3,"LateFusion(C+F,M)",64,6,0.3
ftv_complete_375,T3,"LateFusion(C,M)",8,3,0.15
ftv_complete_375,T3,"LateFusion(C,M)",16,4,0.2
ftv_complete_375,T3,"LateFusion(C,M)",32,4,0.2
ftv_complete_375,T3,"LateFusion(C,M)",64,9,0.45
ftv_complete_375,T3,M,8,2,0.1
ftv_complete_375,T3,M,16,6,0.3
ftv_complete_375,T3,M,32,3,0.15
ftv_complete_375,T3,M,64,9,0.45
ftv_complete_375,T3,M_residual,8,1,0.05
ftv_complete_375,T3,M_residual,16,7,0.35
ftv_complete_375,T3,M_residual,32,3,0.15
ftv_complete_375,T3,M_residual,64,9,0.45
full_808,T0,C+M,8,2,0.1
full_808,T0,C+M,16,7,0.35
full_808,T0,C+M,32,6,0.3
full_808,T0,C+M,64,5,0.25
full_808,T0,"LateFusion(C,M)",8,3,0.15
full_808,T0,"LateFusion(C,M)",16,3,0.15
full_808,T0,"LateFusion(C,M)",32,6,0.3
full_808,T0,"LateFusion(C,M)",64,8,0.4
full_808,T0,M,8,4,0.2
full_808,T0,M,16,2,0.1
full_808,T0,M,32,7,0.35
full_808,T0,M,64,7,0.35
full_808,T1,C+M,8,4,0.2
full_808,T1,C+M,16,5,0.25
full_808,T1,C+M,32,8,0.4
full_808,T1,C+M,64,3,0.15
full_808,T1,"LateFusion(C,M)",8,2,0.1
full_808,T1,"LateFusion(C,M)",16,3,0.15
full_808,T1,"LateFusion(C,M)",32,6,0.3
full_808,T1,"LateFusion(C,M)",64,9,0.45
full_808,T1,M,8,4,0.2
full_808,T1,M,16,5,0.25
full_808,T1,M,32,7,0.35
full_808,T1,M,64,4,0.2
full_808,T2,C+M,8,3,0.15
full_808,T2,C+M,16,1,0.05
full_808,T2,C+M,32,9,0.45
full_808,T2,C+M,64,7,0.35
full_808,T2,"LateFusion(C,M)",8,3,0.15
full_808,T2,"LateFusion(C,M)",16,1,0.05
full_808,T2,"LateFusion(C,M)",32,7,0.35
full_808,T2,"LateFusion(C,M)",64,9,0.45
full_808,T2,M,16,1,0.05
full_808,T2,M,32,10,0.5
full_808,T2,M,64,9,0.45
full_808,T3,C+M,8,1,0.05
full_808,T3,C+M,16,3,0.15
full_808,T3,C+M,32,4,0.2
full_808,T3,C+M,64,12,0.6
full_808,T3,"LateFusion(C,M)",16,2,0.1
full_808,T3,"LateFusion(C,M)",32,3,0.15
full_808,T3,"LateFusion(C,M)",64,15,0.75
full_808,T3,M,16,2,0.1
full_808,T3,M,32,4,0.2
full_808,T3,M,64,14,0.7
