population,seed,arm,fold,timing,model_family,representation,dimension,raw_input_dim,feature_dim,train_rows,validation_rows,selected_C,validation_selection_auroc,train_auroc,validation_auroc,test_auroc,train_auprc,validation_auprc,test_auprc,train_brier,validation_brier,test_brier,train_test_auroc_gap
full_808,2026,LOCAL0,0,T0,C,none,-1,192,34,525,121,0.0001,0.7399035563592526,0.7624502153288217,0.7399035563592526,0.7143585386576041,0.662999998797933,0.5553606111359187,0.5156486532448497,0.24771109882583395,0.24801394220002226,0.24812345121326743,0.04809167667121761
full_808,2026,LOCAL0,0,T0,M,raw,192,192,192,525,121,100.0,0.5608800482218204,0.830294984295567,0.5608800482218204,0.5119796091758709,0.7194174034601858,0.39165871251726114,0.3594613831145885,0.1553164602930409,0.2980668414981202,0.31352680680062256,0.3183153751196961
full_808,2026,LOCAL0,0,T0,C+M,raw,192,192,226,525,121,10.0,0.7091621458710067,0.9079914516076807,0.7091621458710067,0.6943075615972812,0.8716868736663623,0.5001714782412083,0.4718414669894132,0.11136221406831902,0.24052429420430615,0.24178507154456855,0.21368389001039945
full_808,2026,LOCAL0,0,T0,M,pca,8,192,8,525,121,0.1,0.49156118143459915,0.5913123725026714,0.49156118143459915,0.5157179269328802,0.4310566507613236,0.3957013091359127,0.367030374114341,0.21903263582907892,0.23093549681511832,0.22655754526619004,0.07559444556979122
full_808,2026,LOCAL0,0,T0,C+M,pca,8,192,42,525,121,0.0001,0.7139843279083786,0.7747790046303793,0.7139843279083786,0.7089209855564996,0.6845695002189475,0.5342046524965297,0.5090537910228606,0.24757545318428956,0.2480020237680413,0.24808763221400795,0.06585801907387967
full_808,2026,LOCAL0,0,T0,M,pca,16,192,16,525,121,1.0,0.5253164556962027,0.6396237412168508,0.5253164556962027,0.5240441801189465,0.4959252711563008,0.41217937529887577,0.3695392837185902,0.2102073499605195,0.23379058387990637,0.23459792259544096,0.11557956109790435
full_808,2026,LOCAL0,0,T0,C+M,pca,16,192,50,525,121,0.0001,0.7236286919831223,0.7934138522811903,0.7236286919831223,0.6965165675446049,0.7160435282094084,0.5782810791913643,0.49841217276381283,0.2473615115691884,0.24794282312141047,0.2480614642719058,0.09689728473658543
full_808,2026,LOCAL0,0,T0,M,pca,32,192,32,525,121,0.1,0.5310427968655816,0.6801476540491531,0.5310427968655816,0.5634664401019541,0.5463619562025441,0.4086640560712804,0.38211548611022317,0.20147714540790324,0.23969777403993617,0.2353322916053338,0.11668121394719899
full_808,2026,LOCAL0,0,T0,C+M,pca,32,192,66,525,121,0.0001,0.7046413502109705,0.8099601722630575,0.7046413502109705,0.718266779949023,0.7339241298160493,0.5623415873937964,0.5045231105981666,0.24714503554607453,0.24790577266448474,0.2480307230669898,0.0916933923140345
full_808,2026,LOCAL0,0,T0,M,pca,64,192,64,525,121,10.0,0.5057263411693791,0.7334132046757116,0.5057263411693791,0.5398470688190314,0.6109618451584921,0.355207874533985,0.3662326481332291,0.18782794118426022,0.2630889100069407,0.25194282568766846,0.19356613585668014
