population,seed,arm,fold,timing,model_family,dimension,raw_input_dim,reference_selected_C,mri_selected_C,meta_selected_C,validation_selection_auroc,train_auroc,validation_auroc,test_auroc,train_test_auroc_gap,inner_folds,inner_assignment_sha256,reference_oof_sha256,mri_oof_sha256,strict_oof
full_808,2026,LOCAL0,0,T0,"LateFusion(C,M)",8,192,0.0001,0.1,0.0001,0.7402049427365883,0.7190039827736943,0.7402049427365883,0.7141886151231945,0.0048153676504997245,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,dbc0ed65d5a51fa8e1a010ff967ce05ad9e5c9a251be809d8f7a28db2ba5285a,True
full_808,2026,LOCAL0,0,T0,"LateFusion(C,M)",16,192,0.0001,1.0,0.1,0.7332730560578662,0.7219667778389405,0.7332730560578662,0.7094307561597282,0.012536021679212306,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,589a77b6af888808c36f7b9b1f62dccb82f03e29d423b4a27b8f4b953ae24b19,True
full_808,2026,LOCAL0,0,T0,"LateFusion(C,M)",32,192,0.0001,0.1,0.0001,0.7233273056057866,0.7282161707088043,0.7233273056057866,0.7146983857264231,0.013517784982381209,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,6dc22f381c13a14b63be889aa97e0e4c296a1b24dafa5174c4dffa393b835040,True
full_808,2026,LOCAL0,0,T0,"LateFusion(C,M)",64,192,0.0001,10.0,0.0001,0.7314647377938517,0.7227115241394941,0.7314647377938517,0.7131690739167375,0.009542450222756682,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,327edf427f3d4a445e5835d5372fb3283adcca5a63e3cdf108e25739b6f3915b,True
full_808,2026,LOCAL0,0,T1,"LateFusion(C,M)",8,384,0.0001,10.0,0.001,0.733574442435202,0.7209306090729528,0.733574442435202,0.7163976210705182,0.004532988002434624,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,5f2b37447a611a1f5596bea1296d21e7bc5a01794d827679ecd7f9012cf4bead,True
full_808,2026,LOCAL0,0,T1,"LateFusion(C,M)",16,384,0.0001,1.0,1.0,0.740506329113924,0.7187611307191659,0.740506329113924,0.7146983857264231,0.004062744992742839,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,1eaa81fe5dadb5ef63f097617e6e645730e6be440b7416cc8bc834eab2336ec1,True
full_808,2026,LOCAL0,0,T1,"LateFusion(C,M)",32,384,0.0001,0.1,1.0,0.7411091018685955,0.7193925460609397,0.7411091018685955,0.7145284621920136,0.004864083868926117,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,ba56f4aa9d67a391e202e0c144ca742e785ee266f741171a5ac9facb63a61cf7,True
full_808,2026,LOCAL0,0,T1,"LateFusion(C,M)",64,384,0.0001,0.01,0.1,0.7426160337552742,0.7217563060583494,0.7426160337552742,0.7119796091758709,0.009776696882478508,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,daf0ac6793ea971253d74739189dfc237b86623d894bf4c980dd019bfa0653ea,True
full_808,2026,LOCAL0,0,T2,"LateFusion(C,M)",8,576,0.0001,0.1,1.0,0.7389993972272453,0.7203153838681475,0.7389993972272453,0.718606627017842,0.0017087568503055817,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,567f63565522316c73e94081119215fceaf019bdcf84e18fbd2535d60274d272,True
full_808,2026,LOCAL0,0,T2,"LateFusion(C,M)",16,576,0.0001,0.1,0.0001,0.7393007836045811,0.7189068419518828,0.7393007836045811,0.7143585386576041,0.004548303294278688,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,6d6b8206dd2aff1e9a7d72dcdbbb942075aa90abdebc9073e72eaecd5ef4d3c3,True
full_808,2026,LOCAL0,0,T2,"LateFusion(C,M)",32,576,0.0001,0.0001,0.001,0.7591922845087402,0.723715312631545,0.7591922845087402,0.7097706032285471,0.013944709402997857,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,90ac90d83b1774d532696039a3b565a94b5172109867658f157e78023718fca5,True
full_808,2026,LOCAL0,0,T2,"LateFusion(C,M)",64,576,0.0001,10.0,0.1,0.7552742616033755,0.7286371142699868,0.7552742616033755,0.7138487680543755,0.014788346215611314,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,614de8b708cc3614192dcc5b1af2df563eb2d46b148e983d1e4dddccde097287,True
full_808,2026,LOCAL0,0,T3,"LateFusion(C,M)",8,768,0.0001,0.01,0.0001,0.7359855334538878,0.7227600945503998,0.7359855334538878,0.7201359388275276,0.0026241557228722234,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,d940673b7f03fec02bc65a34dd20de8e1c8e2a0407c6568810aa417e867a130e,True
full_808,2026,LOCAL0,0,T3,"LateFusion(C,M)",16,768,0.0001,0.1,0.001,0.7347799879445449,0.725690509341709,0.7347799879445449,0.7055225148683093,0.020167994473399675,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,bc32dadaf65654376486ef3a05a332049c81fafcf0bbf836112beb83067008e9,True
full_808,2026,LOCAL0,0,T3,"LateFusion(C,M)",32,768,0.0001,1.0,0.0001,0.7555756479807112,0.7194573066088138,0.7555756479807112,0.7096006796941376,0.009856626914676148,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,ef9e63c157969a13440143a4a5225cd9c83327a71484bf6460da044d3b8d3baa,True
full_808,2026,LOCAL0,0,T3,"LateFusion(C,M)",64,768,0.0001,10.0,0.1,0.7561784207353828,0.7292361493378234,0.7561784207353828,0.7119796091758709,0.01725654016195255,5,48205678661a0caf69a7bf43795ebab762ceb23e96761fff041d8bd76bcf87f0,db338b628bfd28a486328615e8c8c65c97b393b9e372d7f94b80c0b47a5ad21f,42b4ae66098fcb0ea580934d56dcc7c2581058c1f228e63e747e905cbd21b264,True
ftv_complete_375,2026,LOCAL0,0,T0,"LateFusion(C,M)",8,192,0.0001,1.0,0.1,0.868421052631579,0.6983834827144686,0.868421052631579,0.6775510204081633,0.02083246230630531,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a341499eee81e8e738278e211c3740292bdc2662aba710f4165b93d8cc95fe94,7fe7510a8951d32ff4d538ac748999f07d94ce2d50b90adbbe9d68f4e8879d24,True
ftv_complete_375,2026,LOCAL0,0,T0,"LateFusion(C,M)",16,192,0.0001,0.0001,0.0001,0.8552631578947368,0.6884603072983355,0.8552631578947368,0.6724489795918368,0.016011327706498713,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a341499eee81e8e738278e211c3740292bdc2662aba710f4165b93d8cc95fe94,9d46b167e64dd39179d4b22efa5d6d2a80d2291731957773d52ebc9b28713c74,True
ftv_complete_375,2026,LOCAL0,0,T0,"LateFusion(C,M)",32,192,0.0001,0.0001,0.0001,0.7894736842105263,0.7044654289372598,0.7894736842105263,0.6224489795918368,0.08201644934542307,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a341499eee81e8e738278e211c3740292bdc2662aba710f4165b93d8cc95fe94,9342e516dcb53df874018797eecc157f4fa8f6111abc6e058860d192107ef330,True
ftv_complete_375,2026,LOCAL0,0,T0,"LateFusion(C,M)",64,192,0.0001,100.0,0.0001,0.8236842105263158,0.6903008962868118,0.8236842105263158,0.6357142857142857,0.05458661057252612,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a341499eee81e8e738278e211c3740292bdc2662aba710f4165b93d8cc95fe94,acea5e0dd48c869175d2ca8c93c726fd64db0ed5237bb95f28b2e59c3511f0d1,True
ftv_complete_375,2026,LOCAL0,0,T0,"LateFusion(C+F,M)",8,192,0.0001,1.0,0.1,0.8499999999999999,0.697903329065301,0.8499999999999999,0.6785714285714285,0.019331900493872456,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a54af9b20ac01ef869103bc2153a3cdfe0ff19150ca1f4d6fa1aa99176190597,7fe7510a8951d32ff4d538ac748999f07d94ce2d50b90adbbe9d68f4e8879d24,True
ftv_complete_375,2026,LOCAL0,0,T0,"LateFusion(C+F,M)",16,192,0.0001,0.0001,0.1,0.8486842105263157,0.6873399487836107,0.8486842105263157,0.6744897959183673,0.01285015286524338,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a54af9b20ac01ef869103bc2153a3cdfe0ff19150ca1f4d6fa1aa99176190597,9d46b167e64dd39179d4b22efa5d6d2a80d2291731957773d52ebc9b28713c74,True
ftv_complete_375,2026,LOCAL0,0,T0,"LateFusion(C+F,M)",32,192,0.0001,0.0001,0.0001,0.7815789473684209,0.7010243277848912,0.7815789473684209,0.6326530612244898,0.06837126656040138,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a54af9b20ac01ef869103bc2153a3cdfe0ff19150ca1f4d6fa1aa99176190597,9342e516dcb53df874018797eecc157f4fa8f6111abc6e058860d192107ef330,True
ftv_complete_375,2026,LOCAL0,0,T0,"LateFusion(C+F,M)",64,192,0.0001,100.0,0.0001,0.8184210526315789,0.6923015364916774,0.8184210526315789,0.6459183673469389,0.0463831691447385,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a54af9b20ac01ef869103bc2153a3cdfe0ff19150ca1f4d6fa1aa99176190597,acea5e0dd48c869175d2ca8c93c726fd64db0ed5237bb95f28b2e59c3511f0d1,True
ftv_complete_375,2026,LOCAL0,0,T1,"LateFusion(C,M)",8,384,0.0001,1.0,0.0001,0.8592105263157894,0.6940620998719591,0.8592105263157894,0.6816326530612244,0.012429446810734657,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a341499eee81e8e738278e211c3740292bdc2662aba710f4165b93d8cc95fe94,b51dd4ab173a67504280d5592b1cc17baa68bdd93734b0634d9cb1e22b460223,True
ftv_complete_375,2026,LOCAL0,0,T1,"LateFusion(C,M)",16,384,0.0001,0.01,0.0001,0.843421052631579,0.6926216389244559,0.843421052631579,0.6530612244897959,0.039560414434660074,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a341499eee81e8e738278e211c3740292bdc2662aba710f4165b93d8cc95fe94,706d53e169013d2fd9ea19ec784d5e7a2c367d071c5e5ba1d966cd47ed8e4d00,True
ftv_complete_375,2026,LOCAL0,0,T1,"LateFusion(C,M)",32,384,0.0001,0.0001,0.0001,0.8565789473684211,0.690460947503201,0.8565789473684211,0.6642857142857144,0.026175233217486604,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a341499eee81e8e738278e211c3740292bdc2662aba710f4165b93d8cc95fe94,0967f3189d10e140f600dc02d6e9e96448e37c6504b5868c86352c91c668fb26,True
ftv_complete_375,2026,LOCAL0,0,T1,"LateFusion(C,M)",64,384,0.0001,10.0,0.01,0.8565789473684211,0.6946222791293214,0.8565789473684211,0.6561224489795918,0.038499830149729575,5,0e71f1c833998760e74cb08e488a7b4e41a39d953daf6caa1f53c3ff0f002d52,a341499eee81e8e738278e211c3740292bdc2662aba710f4165b93d8cc95fe94,ec1e440c9bca31cb2892c46c1440c2e924108053af197cd3e8e1fa0fb5e69478,True
