population,timing,model_family,audit_representation,n_fold_cells,train_auroc_mean,validation_auroc_mean,test_auroc_mean,train_test_auroc_gap_mean,train_test_auroc_gap_min,train_test_auroc_gap_max
ftv_complete_375,T0,C+F+M,compact_selected,20,0.8407710453744555,0.7371924696000705,0.6778454178178627,0.1629256275565928,0.03527231530933084,0.25410979959519686
ftv_complete_375,T0,C+F+M,raw,20,0.9028941308774636,0.6868717248671342,0.6254345138867881,0.2774596169906755,0.09668728231071799,0.5923469387755103
ftv_complete_375,T0,C+M,compact_selected,20,0.8428480037426145,0.7376383132042049,0.6780084291732912,0.16483957456932324,0.03583910163088755,0.29255863307395114
ftv_complete_375,T0,C+M,raw,20,0.8974148545496057,0.6894269496230335,0.6312440511342652,0.2661708034153405,0.0990080652637435,0.433236570739417
ftv_complete_375,T0,M,compact_selected,20,0.744898370098575,0.5768220278567419,0.4856776094370586,0.25922076066151634,0.05529566011998577,0.4520739006412401
ftv_complete_375,T0,M,raw,20,0.8035301886414562,0.561909435063862,0.4994787487130344,0.30405143992842176,0.06923418766211398,0.6135070161227102
ftv_complete_375,T1,C+F+M,compact_selected,20,0.8692626906863904,0.7879251791133376,0.7128594836470876,0.15640320703930272,0.0372485264430934,0.28238891259098375
ftv_complete_375,T1,C+F+M,raw,20,0.9486754085239042,0.7178621158282665,0.661554665971301,0.2871207425526032,0.14129441523526998,0.4768071410820509
ftv_complete_375,T1,C+M,compact_selected,20,0.8541608368369632,0.7464071712664899,0.6818713972780153,0.17228943955894788,0.011132994949286101,0.43021815982681666
ftv_complete_375,T1,C+M,raw,20,0.9410577272726577,0.6917384846908197,0.6376414103035583,0.3034163169690995,0.13227032539167505,0.4703912353962775
ftv_complete_375,T1,M,compact_selected,20,0.7619366605809128,0.5968841495268643,0.5065135296277462,0.2554231309531666,0.02091777139148987,0.4439709412317333
ftv_complete_375,T1,M,raw,20,0.8580890347757515,0.5991093230002835,0.5272042440526179,0.33088479072313365,0.08347770068161142,0.5163265306122449
ftv_complete_375,T2,C+F+M,compact_selected,20,0.8907543219013941,0.7982385053144995,0.7183283255527143,0.1724259963486799,0.06725820763087842,0.34347010878543294
ftv_complete_375,T2,C+F+M,raw,20,0.980010560024696,0.7309575258960722,0.6654723242986766,0.3145382357260193,0.19089803864440003,0.41547868894376283
ftv_complete_375,T2,C+M,compact_selected,20,0.8753324381911204,0.7409767432116565,0.6759110037411321,0.1994214344499883,0.05704208102283859,0.4060962506158955
ftv_complete_375,T2,C+M,raw,20,0.9630966669828656,0.6950348452900909,0.6383906263621932,0.3247060406206724,0.12877882106768723,0.48920746659081993
ftv_complete_375,T2,M,compact_selected,20,0.8299973377441843,0.611867948082472,0.5245297522827748,0.3054675854614094,0.15147576533995932,0.47642127157548414
ftv_complete_375,T2,M,raw,20,0.8864247219817205,0.6159934995281438,0.5492196928994975,0.3372050290822231,0.11347880502802432,0.5659301496792588
ftv_complete_375,T3,C+F+M,compact_selected,20,0.8960004252636871,0.793644501083349,0.7148859630707018,0.1811144621929853,0.059718444158974315,0.3070267014871987
ftv_complete_375,T3,C+F+M,raw,20,0.9778938770699949,0.7223817885649916,0.6566787779624065,0.3212150991075884,0.19961382086903545,0.4520408163265306
ftv_complete_375,T3,C+M,compact_selected,20,0.8794052640902054,0.7365186919589327,0.6748506430209014,0.20455462106930405,0.0384928574015978,0.39030131826742004
ftv_complete_375,T3,C+M,raw,20,0.9447998307715121,0.6957285200270132,0.6075955692535105,0.33720426151800165,0.1442612581956103,0.5051020408163265
ftv_complete_375,T3,M,compact_selected,20,0.7959454259607819,0.6223448226707475,0.5633657326358533,0.2325796933249286,0.009875871237028377,0.41120449217974014
ftv_complete_375,T3,M,raw,20,0.8865404546248676,0.6196032528702352,0.5511077135804484,0.33543274104441917,0.06133209732888645,0.5270629991126885
full_808,T0,C+M,compact_selected,20,0.8071204419751906,0.744847028036284,0.6975454866064987,0.10957495536869181,0.03430562648388369,0.1799307229756104
full_808,T0,C+M,raw,20,0.8392745400857434,0.7349303595318954,0.6826172231929595,0.156657316892784,0.08163450560837604,0.25955126217007407
full_808,T0,M,compact_selected,20,0.6708221470755373,0.5906852772754672,0.52567576665972,0.14514638041581723,0.03988933576189191,0.2626312266204136
full_808,T0,M,raw,20,0.7234766555985076,0.604450631441215,0.5209094115195332,0.2025672440789744,0.06638124301422188,0.35780838657944264
full_808,T1,C+M,compact_selected,20,0.8004501194249898,0.750201938061424,0.7104809958160337,0.08996912360895597,0.015731053337497247,0.208513873087527
full_808,T1,C+M,raw,20,0.8679865115324713,0.7364464892162484,0.6880581427037079,0.17992836882876348,0.08337485607968587,0.42180493588857937
full_808,T1,M,compact_selected,20,0.6600099414457219,0.6084638299592761,0.5503263012776326,0.10968364016808922,0.022910562409594215,0.23421114104573248
full_808,T1,M,raw,20,0.7753571698865134,0.6222334843940663,0.5404097401452366,0.2349474297412768,0.04528219869507455,0.4535589550600233
full_808,T2,C+M,compact_selected,20,0.8104020498119786,0.75977620223761,0.7116582773600937,0.0987437724518849,0.019664182573900568,0.16322977794296822
full_808,T2,C+M,raw,20,0.8858992466858456,0.744686310075126,0.6921250060114458,0.19377424067439988,0.10098524299167133,0.344235094787542
full_808,T2,M,compact_selected,20,0.7058365728969436,0.6343054054749409,0.5483340279892917,0.157502544907652,0.048616124007262784,0.249066882168694
full_808,T2,M,raw,20,0.8084127570641971,0.644731462900072,0.5358690146038056,0.2725437424603915,0.05571655091413508,0.5046312178387651
full_808,T3,C+M,compact_selected,20,0.8184619768843072,0.7533541639100839,0.7157129574710248,0.10274901941328243,0.04306799271545614,0.2215265714792346
full_808,T3,C+M,raw,20,0.9233365089640182,0.7428162167923669,0.6764095638094932,0.24692694515452498,0.1512098695568932,0.39571183533447685
full_808,T3,M,compact_selected,20,0.7272928851070952,0.6284665957306046,0.5692726150590726,0.15802027004802283,0.10267764343297392,0.218343463700571
full_808,T3,M,raw,20,0.8265312768471167,0.6550906915714727,0.5552022250364694,0.2713290518106473,0.06762116652383598,0.5047819943284357
