population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,artifact_path,artifact_sha256
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,features/pca/seed_2026/LOCAL0/fold_0/full_808/T0.private.npz,6502f87798e0b26bc7e3407cbe7d74dc7d0111d811f917f8d9054bf466c4e348
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,features/pca/seed_2026/LOCAL0/fold_0/full_808/T1.private.npz,c7da1486952f6c69e35b2072bd334513dc4d90c5a6f37bee2a183d14eca8308e
full_808,2026,LOCAL0,0,T2,576,525,outer_train_timing_prefix,0,0,eea839082a9a80dcc066c315c9fb1f13bf8fd041eb4ca19893c3a46fde179a40,features/pca/seed_2026/LOCAL0/fold_0/full_808/T2.private.npz,ada5feea298c27d01e8cfac988092d534205811718116d911da2c5db2aab65ef
full_808,2026,LOCAL0,0,T3,768,525,outer_train_timing_prefix,0,0,7081c8182f94b141e62e9daeb2fc7c4cf5add70b6b8877b960180b3d92c511a6,features/pca/seed_2026/LOCAL0/fold_0/full_808/T3.private.npz,a91676689eb8b175509bb3a0969ba4300966a8851e02f898cc65ff702b1fb163
ftv_complete_375,2026,LOCAL0,0,T0,192,247,outer_train_timing_prefix,0,0,b44fc77b0af9389b9a2e8387fa40c9949af4b3c0ed938a6966a0f8422952f045,features/pca/seed_2026/LOCAL0/fold_0/ftv_complete_375/T0.private.npz,c233aca67276bf4bcab1cf48f99b6a76de7ac05148cebb9a2d8a3d7d6c8f450b
ftv_complete_375,2026,LOCAL0,0,T1,384,247,outer_train_timing_prefix,0,0,800cc2d76a771a37f6e1e0d36d7eabeb4db8489ddc4a13e2515fa280f8a60e5f,features/pca/seed_2026/LOCAL0/fold_0/ftv_complete_375/T1.private.npz,fd8f4949bc91ae68f3d1fef9fdd147326ab2613d93c0aa25badb633106b19f58
ftv_complete_375,2026,LOCAL0,0,T2,576,247,outer_train_timing_prefix,0,0,c6bce13c38ab5ade80ac3c03c2c9537c4ac9594fd447946e93aba2c3b1a5008d,features/pca/seed_2026/LOCAL0/fold_0/ftv_complete_375/T2.private.npz,6b1f2054073fb99183bd740160e18e27168949ddcfdbbef14284cacdaf497ada
ftv_complete_375,2026,LOCAL0,0,T3,768,247,outer_train_timing_prefix,0,0,ea2cddd145954e1b0f3f2140dd6017135e59267633a96eab7786e9dc658c172a,features/pca/seed_2026/LOCAL0/fold_0/ftv_complete_375/T3.private.npz,46f590888d92357102ce12db3a8bfcb25b494b3007f1023d9a91e5587e58e7f9
full_808,2026,LOCAL0,1,T0,192,525,outer_train_timing_prefix,0,0,219e32c949c2ac419b6ea9a1e79171dc2a1193faa813e49e02a9c428865162ea,features/pca/seed_2026/LOCAL0/fold_1/full_808/T0.private.npz,3dcd0d35647ecc5daec6287a4caab6242a2eed803374b5fe6c90088ccbfb8adb
full_808,2026,LOCAL0,1,T1,384,525,outer_train_timing_prefix,0,0,2a9da524d027e2204987f2fae1c5d05df4b29c135f4e16aed0847aa3fa4a00d2,features/pca/seed_2026/LOCAL0/fold_1/full_808/T1.private.npz,b4a84deecfd42e0837674b8772c511db2fb60d3d8884b31e4c6570bcaf00c73b
