population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,1,63.643198432043384,0.4281537167103749,0.4281537167103749
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,2,49.06985749886087,0.3301129167639037,0.7582666334742786
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,3,16.517559636195045,0.11112035101085531,0.8693869844851339
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,4,5.233913037564098,0.035210664692861944,0.9045976491779958
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,5,2.2220759865568733,0.01494881017761967,0.9195464593556154
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,6,1.9133400499629332,0.012871817788937328,0.9324182771445527
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,7,1.4994497237054223,0.01008740899328508,0.9425056861378378
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,8,1.193529562268668,0.008029359470905365,0.9505350456087431
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,9,0.8260927796915769,0.005557462583377545,0.9560925081921207
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,10,0.780425585318462,0.005250240767310868,0.9613427489594315
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,11,0.713202730493445,0.004798005244108096,0.9661407542035396
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,12,0.5761419156356983,0.0038759413198796934,0.9700166955234193
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,13,0.5199135335269025,0.003497670092512042,0.9735143656159313
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,14,0.404845245463006,0.0027235588532307014,0.976237924469162
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,15,0.33273751141982927,0.0022384607579940996,0.9784763852271561
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,16,0.2719926777481755,0.0018298055214845308,0.9803061907486406
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,17,0.2438108585248976,0.0016402149455647763,0.9819464056942053
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,18,0.23012334843021498,0.0015481334904536433,0.983494539184659
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,19,0.16767957226105182,0.0011280487758111904,0.9846225879604702
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,20,0.1553588530552815,0.001045162279681865,0.9856677502401521
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,21,0.14448404784743538,0.0009720030359142484,0.9866397532760663
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,22,0.13748828358041276,0.0009249396804269589,0.9875646929564933
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,23,0.11932290385253139,0.0008027337725285302,0.9883674267290218
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,24,0.10798444760160325,0.0007264553593564379,0.9890938820883782
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,25,0.10071148017909629,0.0006775271453417882,0.98977140923372
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,26,0.09418350085990024,0.0006336107697198644,0.9904050200034399
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,27,0.08776171663493798,0.0005904088117484167,0.9909954288151883
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,28,0.0800725025743858,0.0005386803370690308,0.9915341091522574
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,29,0.07519001442242725,0.0005058338507113793,0.9920399430029687
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,30,0.06815256963265545,0.00045849009337174494,0.9924984330963404
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,31,0.060445959525006254,0.0004066445883984053,0.9929050776847389
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,32,0.05726280807237733,0.00038523023212983485,0.9932903079168688
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,33,0.05239063728687909,0.0003524531548984603,0.9936427610717673
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,34,0.051766388299590946,0.0003482535777143329,0.9939910146494816
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,35,0.046423405727896355,0.0003123091578430962,0.9943033238073247
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,36,0.046180672395698646,0.00031067619185599373,0.9946139999991807
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,37,0.04221074770493852,0.0002839688915743435,0.994897968890755
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,38,0.039078658245401576,0.00026289805013003686,0.995160866940885
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,39,0.03670271150941237,0.0002469140887518877,0.9954077810296369
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,40,0.03419677009884721,0.00023005560025311184,0.99563783662989
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,41,0.03309600976264407,0.00022265033714937308,0.9958604869670394
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,42,0.030205438806553547,0.0002032042890443787,0.9960636912560838
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,43,0.0286532599189519,0.0001927621494898176,0.9962564534055737
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,44,0.027505625250581502,0.00018504154366242302,0.9964414949492361
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,45,0.026727684528768197,0.00017980801958395655,0.99662130296882
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,46,0.024042622876100494,0.0001617445162637437,0.9967830474850837
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,47,0.0229199370249916,0.000154191751291322,0.996937239236375
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,48,0.021501272568821936,0.00014464781769529887,0.9970818870540703
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,49,0.02053291415703656,0.00013813327626230708,0.9972200203303326
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,50,0.019968442209765236,0.0001343358435726062,0.9973543561739052
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,51,0.01973166099219469,0.00013274291988480183,0.9974870990937901
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,52,0.01780342867103632,0.00011977091572214865,0.9976068700095122
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,53,0.017554625619122285,0.00011809711625841453,0.9977249671257706
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,54,0.016813477808928425,0.00011311111308157719,0.9978380782388522
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,55,0.0160495176246148,0.00010797164177292067,0.9979460498806251
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,56,0.015637335657291095,0.00010519872580360343,0.9980512486064287
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,57,0.014682193216840757,9.877309359243644e-05,0.9981500217000211
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,58,0.01340748616565695,9.019762009130452e-05,0.9982402193201124
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,59,0.012606192778587712,8.480699312249388e-05,0.9983250263132349
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,60,0.012250783704883741,8.241601153124923e-05,0.9984074423247662
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,61,0.01157204790318227,7.784987935495423e-05,0.9984852922041212
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,62,0.01120319327544386,7.536844404556054e-05,0.9985606606481667
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,63,0.010349322447882382,6.962410722060702e-05,0.9986302847553873
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,64,0.010102942785933254,6.796661088817485e-05,0.9986982513662754
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,1,104.17065094492166,0.3412725023736908,0.3412725023736908
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,2,81.1573336201602,0.2658787871564007,0.6071512895300915
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,3,37.624900614119134,0.12326258756826766,0.7304138770983591
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,4,19.895363971864377,0.06517901718693761,0.7955928942852968
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,5,14.918071118134472,0.04887295428120417,0.844465848566501
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,6,8.657579699864362,0.02836301647221697,0.8728288650387179
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,7,7.529010574892992,0.02466572164025603,0.897494586678974
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,8,3.7487424713569393,0.012281220404689087,0.909775807083663
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,9,3.415165074098141,0.011188390590675501,0.9209641976743386
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,10,2.44149270085008,0.007998551568874754,0.9289627492432133
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,11,1.8864611444634642,0.006180217840264617,0.9351429670834779
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,12,1.8031221725658004,0.0059071918082030115,0.9410501588916809
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,13,1.4900463079264323,0.004881526874854597,0.9459316857665354
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,14,1.275235830184371,0.004177788263161731,0.9501094740296971
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,15,1.1925896031934304,0.003907031726257156,0.9540165057559543
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,16,1.134539513747057,0.0037168543671960604,0.9577333601231504
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,17,0.8539232653404097,0.002797530081211819,0.9605308902043622
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,18,0.7968703215159224,0.0026106194616644465,0.9631415096660266
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,19,0.7016679891685819,0.002298727984580684,0.9654402376506073
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,20,0.6304177223201619,0.0020653056468916352,0.9675055432974989
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,21,0.598409939406054,0.00196044524646746,0.9694659885439664
