population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,dimension,input_dim,max_components,component_explained_variance_ratio,incremental_explained_variance_ratio,cumulative_explained_variance_ratio
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,8,192,64,0.008029359470905365,0.9505350456087434,0.9505350456087431
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,16,192,64,0.0018298055214845308,0.02977114513989758,0.9803061907486406
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,32,192,64,0.00038523023212983485,0.012984117168228115,0.9932903079168688
full_808,2026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9e5ab38ab07a02694537499b18be672fc026181f317493fbe4dcc92d1325d0b0,64,192,64,6.796661088817485e-05,0.005407943449406736,0.9986982513662754
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,8,384,64,0.012281220404689087,0.909775807083663,0.909775807083663
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,16,384,64,0.0037168543671960604,0.04795755303948743,0.9577333601231504
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,32,384,64,0.0007751408815598514,0.024776890000050504,0.9825102501232008
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,64,384,64,0.0001685557986763145,0.011770741826040517,0.9942809919492415
full_808,2026,LOCAL0,0,T2,576,525,outer_train_timing_prefix,0,0,eea839082a9a80dcc066c315c9fb1f13bf8fd041eb4ca19893c3a46fde179a40,8,576,64,0.024300337774831766,0.86190191013091,0.86190191013091
full_808,2026,LOCAL0,0,T2,576,525,outer_train_timing_prefix,0,0,eea839082a9a80dcc066c315c9fb1f13bf8fd041eb4ca19893c3a46fde179a40,16,576,64,0.004408866870685593,0.07815694508045201,0.9400588552113621
full_808,2026,LOCAL0,0,T2,576,525,outer_train_timing_prefix,0,0,eea839082a9a80dcc066c315c9fb1f13bf8fd041eb4ca19893c3a46fde179a40,32,576,64,0.001002272752537284,0.03336202392295032,0.9734208791343125
full_808,2026,LOCAL0,0,T2,576,525,outer_train_timing_prefix,0,0,eea839082a9a80dcc066c315c9fb1f13bf8fd041eb4ca19893c3a46fde179a40,64,576,64,0.00025617124450842357,0.01668503136177988,0.9901059104960923
full_808,2026,LOCAL0,0,T3,768,525,outer_train_timing_prefix,0,0,7081c8182f94b141e62e9daeb2fc7c4cf5add70b6b8877b960180b3d92c511a6,8,768,64,0.022543054703182665,0.8107851280937144,0.8107851280937143
full_808,2026,LOCAL0,0,T3,768,525,outer_train_timing_prefix,0,0,7081c8182f94b141e62e9daeb2fc7c4cf5add70b6b8877b960180b3d92c511a6,16,768,64,0.006528070302616927,0.11153074238803193,0.9223158704817462
full_808,2026,LOCAL0,0,T3,768,525,outer_train_timing_prefix,0,0,7081c8182f94b141e62e9daeb2fc7c4cf5add70b6b8877b960180b3d92c511a6,32,768,64,0.001353290481132506,0.04260916903668455,0.9649250395184307
