population,seed,arm,timing,model_key,model_family,representation,dimension,dimension_values,n_folds,fold_sizes,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T0,C,C,none,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407
ftv_complete_375,2026,LOCAL0,T0,C+F,C+F,none,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6880274442538593,0.538897485664505,0.646483704974271,0.2356217123236572
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual|PCA16,C+F+M_residual,pca,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6464150943396226,0.44397360639161987,0.6392795883361921,0.2341074080958756
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual|PCA32,C+F+M_residual,pca,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6191080617495712,0.3955462453513492,0.6060891938250429,0.23919181717661203
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual|PCA64,C+F+M_residual,pca,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5620926243567753,0.3388992678452099,0.5524871355060035,0.30496612096720876
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual|PCA8,C+F+M_residual,pca,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6598627787307032,0.4932746370093901,0.6595197255574614,0.23056677588497246
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual|PCA_SELECTED,C+F+M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6377358490566039,0.4691280586200437,0.6596054888507719,0.22913293158114975
ftv_complete_375,2026,LOCAL0,T0,C+F+M|PCA16,C+F+M,pca,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6394854202401372,0.43644609059713146,0.6415951972555747,0.23598139320897363
ftv_complete_375,2026,LOCAL0,T0,C+F+M|PCA32,C+F+M,pca,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6197255574614065,0.39639754903443486,0.5969982847341337,0.24887573678783717
ftv_complete_375,2026,LOCAL0,T0,C+F+M|PCA64,C+F+M,pca,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5532418524871355,0.3362783015100148,0.5680102915951972,0.28734205424710263
