seed,arm,fold,timing,target,representation,dimension,raw_input_dim,selected_C,validation_auroc,feature_dim
2026,LOCAL0,0,T0,HR,raw,192,192,100.0,0.5385682574916759,192
2026,LOCAL0,0,T0,HER2,raw,192,192,0.01,0.6519713261648746,192
2026,LOCAL0,0,T0,subtype_4class,raw,192,192,10.0,0.5587457796982784,192
2026,LOCAL0,0,T0,HR,pca16,16,192,1.0,0.40815760266370693,16
2026,LOCAL0,0,T0,HER2,pca16,16,192,0.01,0.6258064516129032,16
2026,LOCAL0,0,T0,subtype_4class,pca16,16,192,0.001,0.4872972492913117,16
2026,LOCAL0,0,T0,HR,pca32,32,192,1.0,0.4100998890122087,32
2026,LOCAL0,0,T0,HER2,pca32,32,192,0.0001,0.6387096774193548,32
2026,LOCAL0,0,T0,subtype_4class,pca32,32,192,0.0001,0.5134124704659094,32
2026,LOCAL0,0,T1,HR,raw,384,384,10.0,0.48224195338512765,384
2026,LOCAL0,0,T1,HER2,raw,384,384,0.001,0.668100358422939,384
2026,LOCAL0,0,T1,subtype_4class,raw,384,384,0.001,0.5717401822003503,384
2026,LOCAL0,0,T1,HR,pca16,16,384,1.0,0.44700332963374023,16
2026,LOCAL0,0,T1,HER2,pca16,16,384,1.0,0.6430107526881721,16
2026,LOCAL0,0,T1,subtype_4class,pca16,16,384,0.001,0.5503526119248534,16
2026,LOCAL0,0,T1,HR,pca32,32,384,0.01,0.3970588235294117,32
2026,LOCAL0,0,T1,HER2,pca32,32,384,0.001,0.6526881720430108,32
2026,LOCAL0,0,T1,subtype_4class,pca32,32,384,0.01,0.5036974698788157,32
2026,LOCAL0,0,T2,HR,raw,576,576,1.0,0.5041620421753608,576
2026,LOCAL0,0,T2,HER2,raw,576,576,0.01,0.6663082437275986,576
2026,LOCAL0,0,T2,subtype_4class,raw,576,576,0.1,0.5707354155733672,576
2026,LOCAL0,0,T2,HR,pca16,16,576,0.1,0.5346836847946725,16
