population,seed,arm,timing,model_key,model_family,representation,dimension,dimension_values,n_folds,fold_sizes,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T0,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6687478559176673,0.4836502117153751,0.6101200686106346,0.20387521051599894
ftv_complete_375,2026,LOCAL0,T0,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.663327615780446,0.4665673247026537,0.6200686106346484,0.21201457963426118
ftv_complete_375,2026,LOCAL0,T0,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6677186963979416,0.4846941167742785,0.6165523156089194,0.20384511454386176
ftv_complete_375,2026,LOCAL0,T0,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6640137221269298,0.46698388755693776,0.6157804459691252,0.2068460157740457
ftv_complete_375,2026,LOCAL0,T0,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4929331046312178,0.2930604127375902,0.49682675814751287,0.23475830680474344
ftv_complete_375,2026,LOCAL0,T0,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.45680960548885075,0.2665120302751772,0.48867924528301887,0.25257716960350474
ftv_complete_375,2026,LOCAL0,T1,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7145454545454546,0.543286872221934,0.6788164665523156,0.18749464788130635
ftv_complete_375,2026,LOCAL0,T1,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6934819897084049,0.5027640288916057,0.6482847341337907,0.20588976317892851
ftv_complete_375,2026,LOCAL0,T1,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6388336192109777,0.4788058670671159,0.6305317324185249,0.2144596293349652
ftv_complete_375,2026,LOCAL0,T1,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6700514579759862,0.4717592666326069,0.6377358490566037,0.20647098808453654
ftv_complete_375,2026,LOCAL0,T1,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5124871355060034,0.3319833476008717,0.5108919382504289,0.22597151825935127
ftv_complete_375,2026,LOCAL0,T1,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4807547169811321,0.28222510711630766,0.48001715265866207,0.23768727846674953
ftv_complete_375,2026,LOCAL0,T2,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7244596912521442,0.5338515539239431,0.6714408233276158,0.1883924925757222
ftv_complete_375,2026,LOCAL0,T2,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7133790737564322,0.5112487293383317,0.6597770154373928,0.19509910883196402
ftv_complete_375,2026,LOCAL0,T2,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6463121783876502,0.4667441047577009,0.6153516295025729,0.21048931826634149
ftv_complete_375,2026,LOCAL0,T2,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.675746140651801,0.5056212555809078,0.646655231560892,0.20201731268689332
ftv_complete_375,2026,LOCAL0,T2,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4945797598627787,0.3136604585589374,0.4811320754716981,0.2289527605320781
ftv_complete_375,2026,LOCAL0,T2,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5228473413379073,0.29889790411019357,0.4978559176672384,0.2287935406312704
ftv_complete_375,2026,LOCAL0,T3,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7252144082332762,0.5374827496133785,0.6508576329331046,0.1867262906353398
ftv_complete_375,2026,LOCAL0,T3,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7088507718696397,0.513710475803002,0.6715265866209262,0.19802018652496084
ftv_complete_375,2026,LOCAL0,T3,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6734133790737564,0.4849649356927531,0.6259005145797598,0.2028718795928999
ftv_complete_375,2026,LOCAL0,T3,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6380102915951973,0.44302455159913473,0.6144082332761578,0.21550030797065753
ftv_complete_375,2026,LOCAL0,T3,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5043567753001715,0.3356713396033526,0.5169811320754717,0.22435914915755814
ftv_complete_375,2026,LOCAL0,T3,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5205145797598627,0.3245573760896134,0.5155231560891937,0.2350173964318385
ftv_complete_375,2026,LOCAL3,T0,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6432590051457977,0.4528088665273472,0.6085763293310462,0.21310866337014908
ftv_complete_375,2026,LOCAL3,T0,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6538593481989707,0.45527136119612444,0.6010291595197255,0.21042943167988062
ftv_complete_375,2026,LOCAL3,T0,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6543396226415095,0.4771973641568815,0.6021440823327615,0.21128319120247957
ftv_complete_375,2026,LOCAL3,T0,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6532761578044597,0.4647661390296144,0.5945969125214408,0.21326626941261156
ftv_complete_375,2026,LOCAL3,T0,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4903259005145798,0.2894369200037317,0.5131217838765009,0.23119994981701364
ftv_complete_375,2026,LOCAL3,T0,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.47022298456260725,0.26932387182911327,0.4934819897084048,0.24642516433221945
ftv_complete_375,2026,LOCAL3,T1,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7140651801029161,0.5424420235270975,0.6671526586620926,0.1882798293158564
ftv_complete_375,2026,LOCAL3,T1,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.672967409948542,0.48906052388641824,0.6287307032590052,0.21573091694700738
ftv_complete_375,2026,LOCAL3,T1,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6330360205831905,0.4730531700376265,0.6156946826758147,0.21794100304727831
ftv_complete_375,2026,LOCAL3,T1,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6274785591766725,0.43029640170405237,0.6236706689536877,0.23428883524155178
ftv_complete_375,2026,LOCAL3,T1,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.520548885077187,0.3412723882727764,0.5433104631217839,0.22226875800799856
ftv_complete_375,2026,LOCAL3,T1,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.49560891938250423,0.3076927868332268,0.5116638078902229,0.23804497211124223
ftv_complete_375,2026,LOCAL3,T2,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7104288164665522,0.5187552573317008,0.6403945111492282,0.19217446625401804
ftv_complete_375,2026,LOCAL3,T2,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6952315608919382,0.4879500165795585,0.6518867924528302,0.20626971376058062
ftv_complete_375,2026,LOCAL3,T2,C+M|R16,C+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6598627787307032,0.4942431151479534,0.6249571183533448,0.2104616058356775
ftv_complete_375,2026,LOCAL3,T2,C+M|R32,C+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.667581475128645,0.4965470093608525,0.6509433962264151,0.20439726127736074
ftv_complete_375,2026,LOCAL3,T2,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5082675814751287,0.3169518675651113,0.5004288164665524,0.22657998991836867
ftv_complete_375,2026,LOCAL3,T2,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5234305317324185,0.3088723839169807,0.5371355060034305,0.23629945224576113
ftv_complete_375,2026,LOCAL3,T3,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7195197255574615,0.5267522736026172,0.64631217838765,0.19000415565488368
ftv_complete_375,2026,LOCAL3,T3,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.71221269296741,0.5010600653620134,0.6517152658662093,0.19346381494158058
