population,seed,arm,timing,model_key,model_family,representation,dimension,dimension_values,n_folds,fold_sizes,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual|PCA_SELECTED,C+F+M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6377358490566039,0.4691280586200437,0.6596054888507719,0.22913293158114975
ftv_complete_375,2026,LOCAL0,T0,M_residual|PCA_SELECTED,M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.49650085763293317,0.31389984056520565,0.5052315608919382,0.2286049647255912
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual|PCA_SELECTED,C+F+M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.694442538593482,0.5057226811011039,0.6754716981132076,0.19920348132716018
ftv_complete_375,2026,LOCAL0,T1,M_residual|PCA_SELECTED,M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.49104631217838757,0.29495616936740116,0.4849056603773585,0.23412239541680643
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual|PCA_SELECTED,C+F+M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6966037735849058,0.4921749777785167,0.6592624356775301,0.2062052205448084
ftv_complete_375,2026,LOCAL0,T2,M_residual|PCA_SELECTED,M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4963979416809606,0.2961992822865054,0.49219554030874785,0.23806198845683046
ftv_complete_375,2026,LOCAL0,T3,C+F+M_residual|PCA_SELECTED,C+F+M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6963293310463123,0.4970050999220649,0.6531732418524872,0.20830875380413735
ftv_complete_375,2026,LOCAL0,T3,M_residual|PCA_SELECTED,M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.47241852487135505,0.2766908774578295,0.5133790737564322,0.2626612650159123
ftv_complete_375,2026,LOCAL3,T0,C+F+M_residual|PCA_SELECTED,C+F+M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6491938250428817,0.4866538918037299,0.6393653516295026,0.22837775575368505
ftv_complete_375,2026,LOCAL3,T0,M_residual|PCA_SELECTED,M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5272727272727272,0.3184961243938159,0.5391080617495712,0.23263879148482333
