population,timing,dimension,raw_input_dim,n_outer_pca_fits,cumulative_explained_variance_mean,cumulative_explained_variance_min,cumulative_explained_variance_max
ftv_complete_375,T0,8,192,20,0.9605134549971661,0.9497174966457973,0.9712197714432624
ftv_complete_375,T0,16,192,20,0.9851569394901304,0.9801562173961272,0.9886670423448815
ftv_complete_375,T0,32,192,20,0.9954457077882808,0.9936331183784726,0.9967169824107667
ftv_complete_375,T0,64,192,20,0.9992723549482371,0.9989361720020888,0.9995076027704614
ftv_complete_375,T1,8,384,20,0.9225103458711429,0.906456203019221,0.9352081213501815
ftv_complete_375,T1,16,384,20,0.9669265058162585,0.9584994759416693,0.9738904138799009
ftv_complete_375,T1,32,384,20,0.9878194179301936,0.9835304727039587,0.9907481747756299
ftv_complete_375,T1,64,384,20,0.9966772020157325,0.995262893392437,0.997569722125867
ftv_complete_375,T2,8,576,20,0.8839689786565573,0.8595747238424821,0.9104309185882137
ftv_complete_375,T2,16,576,20,0.9502610981758177,0.940889818574389,0.9596620481751218
ftv_complete_375,T2,32,576,20,0.9805759670363651,0.9746595783284145,0.9848098481027036
ftv_complete_375,T2,64,576,20,0.9939330494268201,0.9916662168938964,0.9954014109076708
ftv_complete_375,T3,8,768,20,0.8435103583537552,0.8060754427240633,0.8752770736249229
ftv_complete_375,T3,16,768,20,0.9325707393505599,0.9207194104283845,0.9434627724122412
ftv_complete_375,T3,32,768,20,0.9731014298547974,0.9659075826576782,0.978669733070438
ftv_complete_375,T3,64,768,20,0.9910340178437735,0.9878068339380621,0.9929122563250804
full_808,T0,8,192,20,0.9581173795377437,0.9470489525955328,0.9688363450879673
full_808,T0,16,192,20,0.9838244072775206,0.9791282903770546,0.9880615987252626
full_808,T0,32,192,20,0.9946146986220927,0.992697443095921,0.9962145915829005
full_808,T0,64,192,20,0.9989679315217573,0.9985313295443183,0.9992946094509975
full_808,T1,8,384,20,0.9171980102163712,0.9010240674238486,0.9320399425987796
full_808,T1,16,384,20,0.9632353630334155,0.9550419256072543,0.9711697548406288
full_808,T1,32,384,20,0.9855433983073324,0.9810887496400799,0.9891164841451264
full_808,T1,64,384,20,0.9953360024822482,0.9937127168962587,0.9965761077702141
full_808,T2,8,576,20,0.8767388895923774,0.8545519087252117,0.9025638560426293
full_808,T2,16,576,20,0.9446857369518495,0.935687031387546,0.9557879959148118
full_808,T2,32,576,20,0.9768690886095767,0.9714458106834263,0.9816960072045635
full_808,T2,64,576,20,0.9916177445517199,0.9891663260859537,0.9937353399517137
full_808,T3,8,768,20,0.8353508525235762,0.8027314850156648,0.8661527812577487
full_808,T3,16,768,20,0.926162794885568,0.9155724534244215,0.9374736051236858
full_808,T3,32,768,20,0.9684787037706156,0.9621757456942652,0.974773875656997
full_808,T3,64,768,20,0.9878040995149935,0.9843757643246689,0.9905423089920837
