population,seed,arm,timing,model_key,model_family,representation,dimension,dimension_values,n_folds,fold_sizes,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T0,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.46939965694682684,0.2815980306435987,0.4772727272727273,0.2576367489443889
ftv_complete_375,2026,LOCAL0,T0,M|RAW,M,raw,192,[192],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5169811320754718,0.3107822292406562,0.5066037735849056,0.2825110910137554
ftv_complete_375,2026,LOCAL0,T1,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5014408233276157,0.3011069570922324,0.49313893653516294,0.22387826036766445
ftv_complete_375,2026,LOCAL0,T1,M|RAW,M,raw,384,[384],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5129331046312179,0.3114418269349859,0.5062607204116638,0.2823936303150286
ftv_complete_375,2026,LOCAL0,T2,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4828130360205831,0.28042381014690954,0.4854202401372213,0.27433514046380825
ftv_complete_375,2026,LOCAL0,T2,M|RAW,M,raw,576,[576],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5176672384219554,0.3159548717287429,0.5354202401372212,0.2977587664598866
ftv_complete_375,2026,LOCAL0,T3,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.500754716981132,0.30040986671366243,0.5345626072041166,0.2621226606423417
ftv_complete_375,2026,LOCAL0,T3,M|RAW,M,raw,768,[768],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.525934819897084,0.345116550669754,0.5313036020583191,0.28714717110440646
ftv_complete_375,2026,LOCAL3,T0,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5167066895368783,0.31118712484802824,0.5169811320754717,0.24403768745635643
ftv_complete_375,2026,LOCAL3,T0,M|RAW,M,raw,192,[192],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5036020583190395,0.29568930983362657,0.49802744425385936,0.31405110302620803
ftv_complete_375,2026,LOCAL3,T1,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4874785591766724,0.29809648986910936,0.5037735849056604,0.25407770810827546
ftv_complete_375,2026,LOCAL3,T1,M|RAW,M,raw,384,[384],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5239451114922813,0.3268956615625282,0.5169811320754717,0.28004981894835856
ftv_complete_375,2026,LOCAL3,T2,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5065523156089193,0.3095487079427682,0.5638936535162951,0.2651326031262439
ftv_complete_375,2026,LOCAL3,T2,M|RAW,M,raw,576,[576],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5556432246998285,0.3475310363097695,0.5298456260720411,0.27462162051144934
ftv_complete_375,2026,LOCAL3,T3,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5065180102915952,0.31210204888356335,0.4865351629502573,0.26710441866859197
ftv_complete_375,2026,LOCAL3,T3,M|RAW,M,raw,768,[768],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5772898799313894,0.36047864594455925,0.5518867924528301,0.2711178269082221
ftv_complete_375,3026,LOCAL0,T0,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.46734133790737564,0.2851648245887295,0.4846483704974271,0.25673759035131444
ftv_complete_375,3026,LOCAL0,T0,M|RAW,M,raw,192,[192],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4770497427101201,0.293370504941492,0.48259005145797595,0.2786728978217708
ftv_complete_375,3026,LOCAL0,T1,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5243910806174957,0.30656660028118643,0.5021440823327615,0.2560377767931547
ftv_complete_375,3026,LOCAL0,T1,M|RAW,M,raw,384,[384],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5394511149228131,0.3084478135164356,0.5513722126929674,0.3059455382645371
ftv_complete_375,3026,LOCAL0,T2,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5326929674099485,0.3259261853263371,0.5208404802744425,0.2571839506909977
ftv_complete_375,3026,LOCAL0,T2,M|RAW,M,raw,576,[576],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.47879931389365354,0.27164480715782446,0.5387650085763294,0.3268544807420908
ftv_complete_375,3026,LOCAL0,T3,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5735506003430532,0.34472402361194476,0.5914236706689537,0.2448521156783743
ftv_complete_375,3026,LOCAL0,T3,M|RAW,M,raw,768,[768],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5312521440823328,0.33333265649549265,0.5437392795883362,0.2668996662295793
ftv_complete_375,3026,LOCAL3,T0,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.49636363636363634,0.2874578244915529,0.5171526586620926,0.27643261925692003
ftv_complete_375,3026,LOCAL3,T0,M|RAW,M,raw,192,[192],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5489879931389365,0.3219058609924963,0.5008576329331046,0.25948521298914706
ftv_complete_375,3026,LOCAL3,T1,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5322813036020584,0.3216056422406183,0.5050600343053173,0.2586045036599887
ftv_complete_375,3026,LOCAL3,T1,M|RAW,M,raw,384,[384],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5093310463121784,0.29889198005421985,0.5225557461406518,0.2839318435311871
ftv_complete_375,3026,LOCAL3,T2,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.526106346483705,0.3211067054239275,0.5174957118353345,0.2645986425606163
ftv_complete_375,3026,LOCAL3,T2,M|RAW,M,raw,576,[576],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5672384219554032,0.33739488071636703,0.5614922813036021,0.26749421060197254
ftv_complete_375,3026,LOCAL3,T3,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5763979416809606,0.365174214273127,0.5512006861063465,0.2356487963954814
ftv_complete_375,3026,LOCAL3,T3,M|RAW,M,raw,768,[768],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5625042881646656,0.34598356611223746,0.5343053173241852,0.2818583157905828
