comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
delta1_C_plus_Mk_vs_C,ftv_complete_375,2026,LOCAL0,T0,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6426758147512864,-0.0539965694682677,0.5362125873999827,0.47991860158286803,-0.056293985817114645,0.2430950945429407,0.23027212114541049,-0.012822973397530218,0.012822973397530218
delta1_C_plus_Mk_vs_C,ftv_complete_375,2026,LOCAL0,T1,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6576672384219554,-0.03900514579759873,0.5362125873999827,0.480132404266582,-0.056080183133400685,0.2430950945429407,0.20885397366624012,-0.03424112087670059,0.03424112087670059
delta1_C_plus_Mk_vs_C,ftv_complete_375,2026,LOCAL0,T2,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6119382504288164,-0.08473413379073769,0.5362125873999827,0.3882674844434033,-0.14794510295657937,0.2430950945429407,0.24842481724349624,0.005329722700555539,-0.005329722700555539
delta1_C_plus_Mk_vs_C,ftv_complete_375,2026,LOCAL0,T3,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6052830188679246,-0.09138936535162956,0.5362125873999827,0.42409945399774707,-0.11211313340223561,0.2430950945429407,0.23663042403233522,-0.00646467051060548,0.00646467051060548
delta1_C_plus_Mk_vs_C,ftv_complete_375,2026,LOCAL3,T0,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6551972555746141,-0.041475128644940074,0.5362125873999827,0.4821934965010539,-0.05401909089892876,0.2430950945429407,0.22481958340107425,-0.018275511141866457,0.018275511141866457
delta1_C_plus_Mk_vs_C,ftv_complete_375,2026,LOCAL3,T1,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.641269296740995,-0.055403087478559154,0.5362125873999827,0.4510636712092733,-0.08514891619070936,0.2430950945429407,0.24607653634971727,0.0029814418067765636,-0.0029814418067765636
delta1_C_plus_Mk_vs_C,ftv_complete_375,2026,LOCAL3,T2,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6472727272727272,-0.04939965694682691,0.5362125873999827,0.4534432915333259,-0.08276929586665677,0.2430950945429407,0.24278694278398893,-0.00030815175895176905,0.00030815175895176905
delta1_C_plus_Mk_vs_C,ftv_complete_375,2026,LOCAL3,T3,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6305660377358492,-0.06610634648370495,0.5362125873999827,0.4307084987266453,-0.10550408867333738,0.2430950945429407,0.241818046680028,-0.0012770478629127169,0.0012770478629127169
delta1_C_plus_Mk_vs_C,ftv_complete_375,3026,LOCAL0,T0,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6138250428816466,-0.0828473413379075,0.5362125873999827,0.4322378444136459,-0.1039747429863368,0.2430950945429407,0.23442582315440674,-0.008669271388533961,0.008669271388533961
delta1_C_plus_Mk_vs_C,ftv_complete_375,3026,LOCAL0,T1,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6288507718696398,-0.06782161234991435,0.5362125873999827,0.44098184010586033,-0.09523074729412234,0.2430950945429407,0.23545836214383276,-0.007636732399107948,0.007636732399107948
