comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,2026,LOCAL0,T0,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6880274442538593,0.6379073756432247,-0.05012006861063456,0.538897485664505,0.47015472123338925,-0.06874276443111577,0.2356217123236572,0.2291173983323155,-0.006504313991341687,0.006504313991341687
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,2026,LOCAL0,T1,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6971526586620925,0.7132761578044596,0.016123499142367104,0.5259975356624463,0.532143382122308,0.006145846459861715,0.19795462758831528,0.18872833076462012,-0.009226296823695163,0.009226296823695163
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,2026,LOCAL0,T2,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.726106346483705,0.6841509433962264,-0.04195540308747858,0.5400010651611841,0.47903616704618485,-0.06096489811499922,0.1887354938947084,0.21536850428950446,0.02663301039479607,-0.02663301039479607
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,2026,LOCAL0,T3,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.7154030874785592,0.6902572898799313,-0.025145797598627895,0.5393749537451002,0.48961370450506225,-0.049761249240038,0.19299362818294807,0.21226387228120847,0.019270244098260392,-0.019270244098260392
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,2026,LOCAL3,T0,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6880274442538593,0.6553001715265866,-0.032727272727272716,0.538897485664505,0.4883585337259269,-0.0505389519385781,0.2356217123236572,0.2308986525940132,-0.004723059729643986,0.004723059729643986
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,2026,LOCAL3,T1,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6971526586620925,0.7005145797598626,0.0033619210977701153,0.5259975356624463,0.5116815821766543,-0.014315953485792066,0.19795462758831528,0.19842632116132033,0.0004716935730050553,-0.0004716935730050553
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,2026,LOCAL3,T2,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.726106346483705,0.7091252144082333,-0.016981132075471694,0.5400010651611841,0.5131599416626581,-0.026841123498525965,0.1887354938947084,0.20208173127804496,0.013346237383336568,-0.013346237383336568
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,2026,LOCAL3,T3,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.7154030874785592,0.6921440823327616,-0.023259005145797595,0.5393749537451002,0.5000612201197375,-0.03931373362536272,0.19299362818294807,0.2131464639813283,0.02015283579838023,-0.02015283579838023
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,3026,LOCAL0,T0,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6880274442538593,0.6195883361921097,-0.06843910806174958,0.538897485664505,0.4293869432530978,-0.10951054241140723,0.2356217123236572,0.23281099631771424,-0.0028107160059429592,0.0028107160059429592
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,3026,LOCAL0,T1,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6971526586620925,0.6895368782161235,-0.007615780445969,0.5259975356624463,0.5020444815193985,-0.023953054143047825,0.19795462758831528,0.2022806305016247,0.0043260029133094235,-0.0043260029133094235
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,3026,LOCAL0,T2,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.726106346483705,0.6954373927958835,-0.03066895368782152,0.5400010651611841,0.47222674952357896,-0.06777431563760511,0.1887354938947084,0.20653532504266855,0.01779983114796016,-0.01779983114796016
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,3026,LOCAL0,T3,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.7154030874785592,0.6904631217838766,-0.024939965694682598,0.5393749537451002,0.49401469264988324,-0.045360261095217014,0.19299362818294807,0.20495076912291113,0.011957140939963057,-0.011957140939963057
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,3026,LOCAL3,T0,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6880274442538593,0.6562607204116637,-0.03176672384219559,0.538897485664505,0.4960681844590194,-0.042829301205485615,0.2356217123236572,0.22910502014905545,-0.00651669217460174,0.00651669217460174
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,3026,LOCAL3,T1,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.6971526586620925,0.7034991423670669,0.0063464837049743705,0.5259975356624463,0.5221427289667038,-0.003854806695742563,0.19795462758831528,0.19126695241091587,-0.006687675177399405,0.006687675177399405
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,3026,LOCAL3,T2,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.726106346483705,0.646106346483705,-0.07999999999999996,0.5400010651611841,0.4265074364857462,-0.11349362867543789,0.1887354938947084,0.24280922267863259,0.05407372878392419,-0.05407372878392419
delta2_CF_plus_Mk_vs_CF,ftv_complete_375,3026,LOCAL3,T3,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|PCA_SELECTED""}",375,0.7154030874785592,0.6892624356775299,-0.026140651801029313,0.5393749537451002,0.4968621272832051,-0.04251282646189514,0.19299362818294807,0.20337733157606697,0.010383703393118893,-0.010383703393118893
