comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
delta3_late_C_Mk_vs_C,ftv_complete_375,2026,LOCAL0,T0,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6966723842195541,0.6031903945111492,-0.09348198970840493,0.5362125873999827,0.4341117410895211,-0.10210084631046157,0.2430950945429407,0.21692402107543252,-0.026171073467508188,0.026171073467508188
delta3_late_C_Mk_vs_C,ftv_complete_375,2026,LOCAL0,T1,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6966723842195541,0.6560891938250429,-0.04058319039451119,0.5362125873999827,0.50785405541611,-0.028358531983872726,0.2430950945429407,0.2201685234761059,-0.022926571066834794,0.022926571066834794
delta3_late_C_Mk_vs_C,ftv_complete_375,2026,LOCAL0,T2,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6966723842195541,0.6203430531732419,-0.07632933104631223,0.5362125873999827,0.4656343650113873,-0.0705782223885954,0.2430950945429407,0.23036091989658167,-0.012734174646359037,0.012734174646359037
delta3_late_C_Mk_vs_C,ftv_complete_375,2026,LOCAL0,T3,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6966723842195541,0.635917667238422,-0.060754716981132106,0.5362125873999827,0.47922972844958206,-0.05698285895040062,0.2430950945429407,0.21625474232560513,-0.026840352217335578,0.026840352217335578
delta3_late_C_Mk_vs_C,ftv_complete_375,2026,LOCAL3,T0,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6966723842195541,0.6126586620926243,-0.08401372212692981,0.5362125873999827,0.45521040403561325,-0.08100218336436943,0.2430950945429407,0.21967994700896687,-0.023415147533973835,0.023415147533973835
delta3_late_C_Mk_vs_C,ftv_complete_375,2026,LOCAL3,T1,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6966723842195541,0.6711492281303602,-0.025523156089193977,0.5362125873999827,0.4995579524244814,-0.036654634975501255,0.2430950945429407,0.1938874791780789,-0.04920761536486182,0.04920761536486182
delta3_late_C_Mk_vs_C,ftv_complete_375,2026,LOCAL3,T2,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6966723842195541,0.6471698113207547,-0.049502572898799446,0.5362125873999827,0.4765955538893776,-0.0596170335106051,0.2430950945429407,0.23902973182412038,-0.004065362718820326,0.004065362718820326
delta3_late_C_Mk_vs_C,ftv_complete_375,2026,LOCAL3,T3,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6966723842195541,0.6415094339622642,-0.0551629502572899,0.5362125873999827,0.458290955433885,-0.07792163196609769,0.2430950945429407,0.21502453168145588,-0.02807056286148482,0.02807056286148482
delta3_late_C_Mk_vs_C,ftv_complete_375,3026,LOCAL0,T0,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6966723842195541,0.6502229845626072,-0.046449399656946944,0.5362125873999827,0.5107583463453156,-0.025454241054667093,0.2430950945429407,0.23035074423135166,-0.012744350311589048,0.012744350311589048
delta3_late_C_Mk_vs_C,ftv_complete_375,3026,LOCAL0,T1,"{""model_key"":""C""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6966723842195541,0.6689536878216124,-0.027718696397941778,0.5362125873999827,0.4929821738117007,-0.043230413588282,0.2430950945429407,0.19437009972938077,-0.048724994813559935,0.048724994813559935
