comparison_name,population,seed,arm,timing,metric,reference_value,comparison_value,improvement,ci_lower,ci_upper,confidence_level,n_patients,n_folds,n_bootstrap,n_valid_bootstrap,bootstrap_unit,ci_method,orientation,delta,delta_brier,reference_selector,comparison_selector,bootstrap_seed
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T0,auprc,0.538897485664505,0.4836502117153751,-0.05524727394912993,-0.11159282398210635,0.005009480295759744,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,-0.05524727394912993,,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",6977424310011772728
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T0,auroc,0.6880274442538593,0.6687478559176673,-0.019279588336192033,-0.06790230997548079,0.02949489549561984,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,-0.019279588336192033,,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",6977424310011772728
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T0,brier,0.2356217123236572,0.20387521051599894,0.031746501807658256,0.020110036534818444,0.04399588112305614,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),-0.031746501807658256,-0.031746501807658256,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",6977424310011772728
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T1,auprc,0.5259975356624463,0.543286872221934,0.01728933655948761,-0.04673356559643515,0.07405048224245467,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,0.01728933655948761,,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",452354683809348533
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T1,auroc,0.6971526586620925,0.7145454545454546,0.017392795883362067,-0.028077233766065742,0.058448359682945206,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,0.017392795883362067,,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",452354683809348533
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T1,brier,0.19795462758831528,0.18749464788130635,0.010459979707008932,-0.005195209323712669,0.025057255189405193,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),-0.010459979707008932,-0.010459979707008932,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",452354683809348533
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T2,auprc,0.5400010651611841,0.5338515539239431,-0.0061495112372409455,-0.05790277449630144,0.03814017226593834,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,-0.0061495112372409455,,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",8401577209817845855
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T2,auroc,0.726106346483705,0.7244596912521442,-0.001646655231560823,-0.03978853657421303,0.03361787577876639,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,-0.001646655231560823,,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",8401577209817845855
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T2,brier,0.1887354938947084,0.1883924925757222,0.000343001318986208,-0.013446568664540734,0.013073995099670365,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),-0.000343001318986208,-0.000343001318986208,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",8401577209817845855
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T3,auprc,0.5393749537451002,0.5374827496133785,-0.001892204131721753,-0.06785982785941495,0.05640892811218021,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,-0.001892204131721753,,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",4146947497131240200
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T3,auroc,0.7154030874785592,0.7252144082332762,0.009811320754717023,-0.03891922948807575,0.05560390164724829,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,0.009811320754717023,,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",4146947497131240200
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL0,T3,brier,0.19299362818294807,0.1867262906353398,0.006267337547608276,-0.010007096676286124,0.02088812835808273,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),-0.006267337547608276,-0.006267337547608276,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",4146947497131240200
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL3,T0,auprc,0.538897485664505,0.4528088665273472,-0.08608861913715782,-0.13476034796652225,-0.0312627721724626,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,-0.08608861913715782,,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",4140433156463540598
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL3,T0,auroc,0.6880274442538593,0.6432590051457977,-0.04476843910806161,-0.09126657589459057,-0.0011813402545484363,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,-0.04476843910806161,,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",4140433156463540598
RP16_CF_plus_M_vs_CF,ftv_complete_375,2026,LOCAL3,T0,brier,0.2356217123236572,0.21310866337014908,0.022513048953508114,0.009395322097677773,0.03641369190894841,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),-0.022513048953508114,-0.022513048953508114,"{""model_key"":""C+F""}","{""model_key"":""C+F+M|R16""}",4140433156463540598
