seed,arm,timing,target,metric,value,n,n_folds,fold_isolated,status
2026,B0,T0,HR,auroc,0.5062587445201008,808,5,True,
2026,B0,T0,HER2,auroc,0.5237076561180916,808,5,True,
2026,B0,T0,subtype,macro_ovr_auroc,0.5206832511848356,808,5,True,
2026,B0,T0_T1,HR,auroc,0.4791157541274135,808,5,True,
2026,B0,T0_T1,HER2,auroc,0.5648774250657749,808,5,True,
2026,B0,T0_T1,subtype,macro_ovr_auroc,0.5125032171863565,808,5,True,
2026,B0,T0_T2,HR,auroc,0.5384758884432422,808,5,True,
2026,B0,T0_T2,HER2,auroc,0.5355102576081701,808,5,True,
2026,B0,T0_T2,subtype,macro_ovr_auroc,0.5428394971975978,808,5,True,
2026,B2,T0,HR,auroc,0.49501601218791785,808,5,True,
2026,B2,T0,HER2,auroc,0.519798044374503,808,5,True,
2026,B2,T0,subtype,macro_ovr_auroc,0.5164732623984626,808,5,True,
2026,B2,T0_T1,HR,auroc,0.5114137362808195,808,5,True,
2026,B2,T0_T1,HER2,auroc,0.5417476046456351,808,5,True,
2026,B2,T0_T1,subtype,macro_ovr_auroc,0.5081393340158755,808,5,True,
2026,B2,T0_T2,HR,auroc,0.5419892422970495,808,5,True,
2026,B2,T0_T2,HER2,auroc,0.5359364626619785,808,5,True,
2026,B2,T0_T2,subtype,macro_ovr_auroc,0.5255311995338621,808,5,True,
2026,B3,T0,HR,auroc,0.5096601685166184,808,5,True,
2026,B3,T0,HER2,auroc,0.5012581245338382,808,5,True,
2026,B3,T0,subtype,macro_ovr_auroc,0.4982357829409848,808,5,True,
2026,B3,T0_T1,HR,auroc,0.4769082486086497,808,5,True,
2026,B3,T0_T1,HER2,auroc,0.5625906710270723,808,5,True,
2026,B3,T0_T1,subtype,macro_ovr_auroc,0.5137203796632426,808,5,True,
2026,B3,T0_T2,HR,auroc,0.4944998911793054,808,5,True,
2026,B3,T0_T2,HER2,auroc,0.5511896858376979,808,5,True,
2026,B3,T0_T2,subtype,macro_ovr_auroc,0.5199225697206313,808,5,True,
3026,B0,T0,HR,auroc,0.5088206945869478,808,5,True,
3026,B0,T0,HER2,auroc,0.5209045382641979,808,5,True,
3026,B0,T0,subtype,macro_ovr_auroc,0.5087835673038335,808,5,True,
3026,B0,T0_T1,HR,auroc,0.5304169387184031,808,5,True,
3026,B0,T0_T1,HER2,auroc,0.5641889399788538,808,5,True,
3026,B0,T0_T1,subtype,macro_ovr_auroc,0.5164670660570891,808,5,True,
3026,B0,T0_T2,HR,auroc,0.5415415228678917,808,5,True,
3026,B0,T0_T2,HER2,auroc,0.5377970116468728,808,5,True,
3026,B0,T0_T2,subtype,macro_ovr_auroc,0.5330799828245909,808,5,True,
3026,B2,T0,HR,auroc,0.5112644964711004,808,5,True,
3026,B2,T0,HER2,auroc,0.5003073594138041,808,5,True,
3026,B2,T0,subtype,macro_ovr_auroc,0.5060230938791848,808,5,True,
3026,B2,T0_T1,HR,auroc,0.5134782203152691,808,5,True,
3026,B2,T0_T1,HER2,auroc,0.5443622087257289,808,5,True,
3026,B2,T0_T1,subtype,macro_ovr_auroc,0.5312324904788495,808,5,True,
3026,B2,T0_T2,HR,auroc,0.5427976245996953,808,5,True,
3026,B2,T0_T2,HER2,auroc,0.5416000721270091,808,5,True,
3026,B2,T0_T2,subtype,macro_ovr_auroc,0.519880643835188,808,5,True,
3026,B3,T0,HR,auroc,0.520784752666107,808,5,True,
3026,B3,T0,HER2,auroc,0.48389026859114637,808,5,True,
3026,B3,T0,subtype,macro_ovr_auroc,0.5020297995744671,808,5,True,
3026,B3,T0_T1,HR,auroc,0.5262941889749091,808,5,True,
3026,B3,T0_T1,HER2,auroc,0.533387428590163,808,5,True,
3026,B3,T0_T1,subtype,macro_ovr_auroc,0.5388555438073059,808,5,True,
3026,B3,T0_T2,HR,auroc,0.5190809315051457,808,5,True,
3026,B3,T0_T2,HER2,auroc,0.5247075987443344,808,5,True,
3026,B3,T0_T2,subtype,macro_ovr_auroc,0.5317320498783457,808,5,True,
-1,ALL,ALL,treatment,not_run,,808,0,True,unsuitable_exact_13_arm_target_due_to_sparse_fold_classes
