comparison,population,seed,arm,timing,reference_arm,reference_family,comparison_family,delta_auroc,ci_lower,ci_upper,reference_auroc,comparison_auroc,n_patients,n_folds,n_bootstrap,n_valid_bootstrap,confidence_level,bootstrap_unit,ci_method,orientation,bootstrap_seed
MRI_ceiling,full_808,2026,B1,T0,B0,M,M,0.011400307010063226,-0.032257193379733484,0.056403842729370414,0.5126044687020297,0.5240047757120929,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,1905447634
clinical_complementarity,full_808,2026,B1,T0,B1,C,C+M,-0.018662800614020147,-0.0414633501051943,0.0031036571381948324,0.6796145318096538,0.6609517311956337,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,805953186
beyond_ftv,ftv_complete_375,2026,B1,T0,B1,C+F,C+F+M,-0.09066895368782146,-0.14650075585789873,-0.035419977967616714,0.6880274442538593,0.5973584905660378,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,1044697005
MRI_ceiling,full_808,2026,B1,T0_T1,B0,M,M,0.0069588947637728715,-0.04743999010673024,0.061951932927123685,0.5258809483199727,0.5328398430837455,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3715058428
clinical_complementarity,full_808,2026,B1,T0_T1,B1,C,C+M,-0.0005833191199045018,-0.030420734751477305,0.027751528838958078,0.6796145318096538,0.6790312126897493,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2896351467
beyond_ftv,ftv_complete_375,2026,B1,T0_T1,B1,C+F,C+F+M,-0.029159519725557304,-0.07809860403219707,0.018868007720208864,0.6971526586620925,0.6679931389365352,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3344384099
MRI_ceiling,full_808,2026,B1,T0_T2,B0,M,M,0.012041616919665654,-0.028283916162925825,0.051719695641038545,0.5382227528568992,0.5502643697765649,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3035919461
clinical_complementarity,full_808,2026,B1,T0_T2,B1,C,C+M,0.008783899027801412,-0.020319986653538968,0.04029514154515725,0.6796145318096538,0.6883984308374552,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,287387357
beyond_ftv,ftv_complete_375,2026,B1,T0_T2,B1,C+F,C+F+M,-0.06271012006861065,-0.10970098890343946,-0.016945268812070334,0.726106346483705,0.6633962264150943,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,3267910038
MRI_ceiling,full_808,2026,B2,T0,B0,M,M,-0.00011598157939629594,-0.04753376029428987,0.04616801770017693,0.5126044687020297,0.5124884871226334,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2228833719
clinical_complementarity,full_808,2026,B2,T0,B2,C,C+M,-0.013047927682074079,-0.03468216058917322,0.007945055339031367,0.6796145318096538,0.6665666041275797,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2658352472
beyond_ftv,ftv_complete_375,2026,B2,T0,B2,C+F,C+F+M,-0.02614065180102909,-0.0642349046549788,0.010971067367293832,0.6880274442538593,0.6618867924528302,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,4161530708
MRI_ceiling,full_808,2026,B2,T0_T1,B0,M,M,-0.014245266928193723,-0.07011917857939316,0.04225146993575322,0.5258809483199727,0.511635681391779,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,4273150686
clinical_complementarity,full_808,2026,B2,T0_T1,B2,C,C+M,-0.014794473818864007,-0.04974423664537635,0.019938840626509913,0.6796145318096538,0.6648200579907898,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,4227445942
beyond_ftv,ftv_complete_375,2026,B2,T0_T1,B2,C+F,C+F+M,0.0063464837049743705,-0.045129463484166715,0.05605809881996837,0.6971526586620925,0.7034991423670669,375,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,584523897
MRI_ceiling,full_808,2026,B2,T0_T2,B0,M,M,-0.016407982261640863,-0.05440670924684315,0.022347262021967657,0.5382227528568992,0.5218147705952584,808,5,5000,5000,0.95,patient_within_outer_fold,percentile,comparison - reference,2505393984
