kind,model,cell,target,rows,patients,fold_count
probe,G0,T0,ftv,375,375,5
probe,G0,T1,ftv,375,375,5
probe,G0,T2,ftv,375,375,5
probe,G0,T3,ftv,375,375,5
probe,G0,T0→T1,ftv,375,375,5
probe,G0,T1→T2,ftv,375,375,5
probe,G0,T2→T3,ftv,375,375,5
probe,G0,T0,ld,375,375,5
probe,G0,T1,ld,375,375,5
probe,G0,T2,ld,375,375,5
probe,G0,T3,ld,375,375,5
probe,G0,T0→T1,ld,375,375,5
probe,G0,T1→T2,ld,375,375,5
probe,G0,T2→T3,ld,375,375,5
probe,G0,T0,sphericity,375,375,5
probe,G0,T1,sphericity,375,375,5
probe,G0,T2,sphericity,375,375,5
probe,G0,T3,sphericity,375,375,5
probe,G0,T0→T1,sphericity,375,375,5
probe,G0,T1→T2,sphericity,375,375,5
probe,G0,T2→T3,sphericity,375,375,5
probe,G1,T0,ftv,375,375,5
probe,G1,T1,ftv,375,375,5
probe,G1,T2,ftv,375,375,5
probe,G1,T3,ftv,375,375,5
probe,G1,T0→T1,ftv,375,375,5
probe,G1,T1→T2,ftv,375,375,5
probe,G1,T2→T3,ftv,375,375,5
probe,G1,T0,ld,375,375,5
probe,G1,T1,ld,375,375,5
probe,G1,T2,ld,375,375,5
probe,G1,T3,ld,375,375,5
probe,G1,T0→T1,ld,375,375,5
probe,G1,T1→T2,ld,375,375,5
probe,G1,T2→T3,ld,375,375,5
probe,G1,T0,sphericity,375,375,5
probe,G1,T1,sphericity,375,375,5
probe,G1,T2,sphericity,375,375,5
probe,G1,T3,sphericity,375,375,5
probe,G1,T0→T1,sphericity,375,375,5
probe,G1,T1→T2,sphericity,375,375,5
probe,G1,T2→T3,sphericity,375,375,5
probe,G2,T0,ftv,375,375,5
probe,G2,T1,ftv,375,375,5
probe,G2,T2,ftv,375,375,5
probe,G2,T3,ftv,375,375,5
probe,G2,T0→T1,ftv,375,375,5
probe,G2,T1→T2,ftv,375,375,5
probe,G2,T2→T3,ftv,375,375,5
probe,G2,T0,ld,375,375,5
probe,G2,T1,ld,375,375,5
probe,G2,T2,ld,375,375,5
probe,G2,T3,ld,375,375,5
probe,G2,T0→T1,ld,375,375,5
probe,G2,T1→T2,ld,375,375,5
probe,G2,T2→T3,ld,375,375,5
probe,G2,T0,sphericity,375,375,5
probe,G2,T1,sphericity,375,375,5
probe,G2,T2,sphericity,375,375,5
probe,G2,T3,sphericity,375,375,5
probe,G2,T0→T1,sphericity,375,375,5
probe,G2,T1→T2,sphericity,375,375,5
probe,G2,T2→T3,sphericity,375,375,5
probe,G3,T0,ftv,375,375,5
probe,G3,T1,ftv,375,375,5
probe,G3,T2,ftv,375,375,5
probe,G3,T3,ftv,375,375,5
probe,G3,T0→T1,ftv,375,375,5
probe,G3,T1→T2,ftv,375,375,5
probe,G3,T2→T3,ftv,375,375,5
probe,G3,T0,ld,375,375,5
probe,G3,T1,ld,375,375,5
probe,G3,T2,ld,375,375,5
probe,G3,T3,ld,375,375,5
probe,G3,T0→T1,ld,375,375,5
probe,G3,T1→T2,ld,375,375,5
probe,G3,T2→T3,ld,375,375,5
probe,G3,T0,sphericity,375,375,5
probe,G3,T1,sphericity,375,375,5
probe,G3,T2,sphericity,375,375,5
probe,G3,T3,sphericity,375,375,5
probe,G3,T0→T1,sphericity,375,375,5
probe,G3,T1→T2,sphericity,375,375,5
probe,G3,T2→T3,sphericity,375,375,5
probe,G4,T0,ftv,375,375,5
probe,G4,T1,ftv,375,375,5
probe,G4,T2,ftv,375,375,5
probe,G4,T3,ftv,375,375,5
probe,G4,T0→T1,ftv,375,375,5
probe,G4,T1→T2,ftv,375,375,5
probe,G4,T2→T3,ftv,375,375,5
probe,G4,T0,ld,375,375,5
probe,G4,T1,ld,375,375,5
probe,G4,T2,ld,375,375,5
probe,G4,T3,ld,375,375,5
probe,G4,T0→T1,ld,375,375,5
probe,G4,T1→T2,ld,375,375,5
probe,G4,T2→T3,ld,375,375,5
probe,G4,T0,sphericity,375,375,5
probe,G4,T1,sphericity,375,375,5
probe,G4,T2,sphericity,375,375,5
probe,G4,T3,sphericity,375,375,5
probe,G4,T0→T1,sphericity,375,375,5
probe,G4,T1→T2,sphericity,375,375,5
probe,G4,T2→T3,sphericity,375,375,5
pcr,G0,T0,pcr,808,808,5
pcr,G0,T0-T1,pcr,808,808,5
pcr,G0,T0-T2,pcr,808,808,5
pcr,G1,T0,pcr,808,808,5
pcr,G1,T0-T1,pcr,808,808,5
pcr,G1,T0-T2,pcr,808,808,5
pcr,G2,T0,pcr,808,808,5
pcr,G2,T0-T1,pcr,808,808,5
pcr,G2,T0-T2,pcr,808,808,5
pcr,G3,T0,pcr,808,808,5
pcr,G3,T0-T1,pcr,808,808,5
pcr,G3,T0-T2,pcr,808,808,5
pcr,G4,T0,pcr,808,808,5
pcr,G4,T0-T1,pcr,808,808,5
pcr,G4,T0-T2,pcr,808,808,5
