figure,title,source,path,sha256,bytes,decodable
01_static_ftv_spearman.png,G0–G4 static FTV Spearman,probe_oof_metrics,additional_experiments/direct_grounded_response_state/figures/final/01_static_ftv_spearman.png,a94152ab01a79e5c8a03c6ae15acb6868eef9fd6f52dc8d58e2e8ec4ac1c180e,74741,True
02_static_ftv_r2.png,G0–G4 static FTV R²,probe_oof_metrics,additional_experiments/direct_grounded_response_state/figures/final/02_static_ftv_r2.png,932852cceae7376d7a98ee96a6aad9159f98544bfbe2926c9f1b86e3afa7c10e,85210,True
03_delta_ftv_spearman.png,G0–G4 observed ΔFTV Spearman,probe_oof_metrics,additional_experiments/direct_grounded_response_state/figures/final/03_delta_ftv_spearman.png,7a16c6aab15ae0568179d497a77edc5895b6e846a39ea66c18b7ce31d922a674,63950,True
04_delta_ftv_r2.png,G0–G4 observed ΔFTV R²,probe_oof_metrics,additional_experiments/direct_grounded_response_state/figures/final/04_delta_ftv_r2.png,313cdc339dc086766f7460b3c5a75a5061914c50ec551717170892161f14d28d,78256,True
05_g3_minus_g1_paired.png,G3−G1 paired improvement,paired_difference_bootstrap_ci,additional_experiments/direct_grounded_response_state/figures/final/05_g3_minus_g1_paired.png,72338fae20e77437160351e67b3eac65a29fa5c83570e16e89662e393b59728a,65019,True
06_g4_minus_g2_paired.png,G4−G2 paired improvement,paired_difference_bootstrap_ci,additional_experiments/direct_grounded_response_state/figures/final/06_g4_minus_g2_paired.png,368a7288a61c72c40ffe8cc6566e6be997fcdf70ade769d38e541389a00d4130,64973,True
07_static_ftv_scatter.png,Static FTV true vs predicted,probe predictions,additional_experiments/direct_grounded_response_state/figures/final/07_static_ftv_scatter.png,b919478acd8c53bf2af815e2b518bb50981fd2c2a36719d54199cdcadbd3ec5b,79381,True
08_delta_ftv_scatter.png,Observed ΔFTV true vs predicted,probe predictions,additional_experiments/direct_grounded_response_state/figures/final/08_delta_ftv_scatter.png,aff59644878053ab30abe5137f03f9ced1e2d33592f948c786e76348323b618b,228433,True
09_image_only_pcr_auroc.png,Image-only pCR AUROC,pcr_oof_metrics,additional_experiments/direct_grounded_response_state/figures/final/09_image_only_pcr_auroc.png,c206160a2b45c4f2ac913bbc9a702a613dec38c4683673353cb63dc63b2df438,31300,True
10_mask_contract_comparison.png,Mask contract comparison,probe+pcr oof metrics + prior OSRA mask-geometry control,additional_experiments/direct_grounded_response_state/figures/final/10_mask_contract_comparison.png,fab6bd925d58c4c86151cc9527fa32774327b4a9195b2a3bd8fa39d21c620389,62570,True
11_ld_sphericity_transfer.png,LD/sphericity transfer,probe_oof_metrics,additional_experiments/direct_grounded_response_state/figures/final/11_ld_sphericity_transfer.png,5120155a06d429237d96006ac416ecf5d2a57717fbfcf440be76109a652bef90,259101,True
12_training_curves.png,JEPA/FTV/std training curves,training histories,additional_experiments/direct_grounded_response_state/figures/final/12_training_curves.png,16f7dde1cb17d7689b53672ba3f702d998748dc342aeea74d95026bd2549a0b1,153532,True
