comparison,kind,task,target,timepoint,transition,representation,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit,n_patients,decision_point
G3-G1,probe,change,ftv,,T0→T1,response_state,spearman,0.12050381158266005,0.06321358331385457,0.18654950791158492,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T0→T1,response_state,pearson,0.11987750416463194,0.06467600689090303,0.178983340610054,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T0→T1,response_state,r2,0.09518459855980965,0.04256807204761137,0.14766419197673095,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T0→T1,response_state,mae,-0.03242148344428031,-0.05472986789408999,-0.011857665888214512,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T0→T1,response_state,rmse,-0.04159823968406473,-0.06512105920333375,-0.017832205734351597,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T0→T1,response_state,rmse_gain_over_b0,0.050419116725114704,0.02248373171893014,0.07820211246399274,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T0→T1,response_state,prediction_target_variance_ratio,0.06392508635703947,0.03470746908182587,0.09969398398828684,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T1→T2,response_state,spearman,0.07929480031858005,0.028365027949079424,0.13316373171779503,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T1→T2,response_state,pearson,0.06792507478891047,0.013502495729558056,0.12659854747179541,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T1→T2,response_state,r2,0.03851121701746141,-0.0033175141810390493,0.07714560159471676,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T1→T2,response_state,mae,-0.013621660815235082,-0.03562423311051498,0.006824142861935246,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T1→T2,response_state,rmse,-0.022593432199072838,-0.04634494526678657,0.0019622677250912025,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T1→T2,response_state,rmse_gain_over_b0,0.020136905600160078,-0.0016893622888814726,0.04084265346608946,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T1→T2,response_state,prediction_target_variance_ratio,0.08433409858701,0.06378148321369206,0.10817667607274639,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T2→T3,response_state,spearman,0.02804869723518033,-0.025408686756412818,0.08123727119025359,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T2→T3,response_state,pearson,0.04805851459715643,0.0036763773339864234,0.09140256593009723,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T2→T3,response_state,r2,0.030036296085026004,-0.004170468975665411,0.06158676828518047,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T2→T3,response_state,mae,-0.014262735819268846,-0.03397627980620486,0.005697323634662091,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T2→T3,response_state,rmse,-0.019607707411721575,-0.04149893549580726,0.0024686903092212835,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T2→T3,response_state,rmse_gain_over_b0,0.015792974908757605,-0.0021368613286382736,0.032936026232225024,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ftv,,T2→T3,response_state,prediction_target_variance_ratio,0.05863307996964354,0.03682485607185214,0.08444690150061301,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ld,,T0→T1,response_state,spearman,0.02879357217868779,-0.025252872080409244,0.08621258095751932,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ld,,T0→T1,response_state,pearson,0.015135706518322273,-0.03195891363922379,0.06582629090111748,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ld,,T0→T1,response_state,r2,-0.0009353209131799378,-0.020475171606175846,0.018813759727228766,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ld,,T0→T1,response_state,mae,-0.0022035284192523097,-0.0073764377404685775,0.003024430699694606,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ld,,T0→T1,response_state,rmse,0.0002709907431471814,-0.005219705693043175,0.005179864595426495,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ld,,T0→T1,response_state,rmse_gain_over_b0,-0.0004654092257466392,-0.01009048674574269,0.009366695932095418,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ld,,T0→T1,response_state,prediction_target_variance_ratio,0.011653576981438766,0.006092442000647467,0.026280429732710418,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ld,,T1→T2,response_state,spearman,0.022255037939400445,-0.020606086619136287,0.06640946899756597,2000,2000,patient_within_outer_fold,375,
