comparison,kind,task,target,timepoint,transition,representation,fold,metric,estimate,n_patients,decision_point
G3-G1,probe,change,ftv,,T0→T1,response_state,0,spearman,0.058677383997077004,69,
G3-G1,probe,change,ftv,,T0→T1,response_state,0,pearson,0.056556065391252824,69,
G3-G1,probe,change,ftv,,T0→T1,response_state,0,r2,-0.033261447144861345,69,
G3-G1,probe,change,ftv,,T0→T1,response_state,0,mae,0.01272325982607958,69,
G3-G1,probe,change,ftv,,T0→T1,response_state,0,rmse,0.011085636726123171,69,
G3-G1,probe,change,ftv,,T0→T1,response_state,0,rmse_gain_over_b0,-0.016101128996582878,69,
G3-G1,probe,change,ftv,,T0→T1,response_state,0,prediction_target_variance_ratio,0.13038681803197005,69,
G3-G1,probe,change,ftv,,T0→T1,response_state,1,spearman,0.06788251257083566,67,
G3-G1,probe,change,ftv,,T0→T1,response_state,1,pearson,0.08816540360090991,67,
G3-G1,probe,change,ftv,,T0→T1,response_state,1,r2,0.08583387236544737,67,
G3-G1,probe,change,ftv,,T0→T1,response_state,1,mae,-0.02965831495829241,67,
G3-G1,probe,change,ftv,,T0→T1,response_state,1,rmse,-0.03760385207795591,67,
G3-G1,probe,change,ftv,,T0→T1,response_state,1,rmse_gain_over_b0,0.04961978363693363,67,
G3-G1,probe,change,ftv,,T0→T1,response_state,1,prediction_target_variance_ratio,0.16234900730756666,67,
G3-G1,probe,change,ftv,,T0→T1,response_state,2,spearman,0.2242349187691532,83,
G3-G1,probe,change,ftv,,T0→T1,response_state,2,pearson,0.13114280872341438,83,
G3-G1,probe,change,ftv,,T0→T1,response_state,2,r2,0.17701909006667227,83,
G3-G1,probe,change,ftv,,T0→T1,response_state,2,mae,-0.06803239327678567,83,
G3-G1,probe,change,ftv,,T0→T1,response_state,2,rmse,-0.06742650161255126,83,
G3-G1,probe,change,ftv,,T0→T1,response_state,2,rmse_gain_over_b0,0.08870464429645955,83,
G3-G1,probe,change,ftv,,T0→T1,response_state,2,prediction_target_variance_ratio,-0.08366754649338404,83,
