model,decision_point,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit
G0,T0,auroc,0.5318710557734948,0.4911971292810795,0.5718469879177165,2000,2000,patient_within_outer_fold
G0,T0,auprc,0.36675067917607307,0.3213756120129235,0.41919025755965594,2000,2000,patient_within_outer_fold
G0,T0,accuracy,0.5123762376237624,0.4801980198019802,0.5482673267326733,2000,2000,patient_within_outer_fold
G0,T0,sensitivity,0.6690909090909091,0.6159352693056457,0.724531036368608,2000,2000,patient_within_outer_fold
G0,T0,specificity,0.43151969981238275,0.39154215663538144,0.4741893136317625,2000,2000,patient_within_outer_fold
G0,T0-T1,auroc,0.5615896298823129,0.5203249699911306,0.6040251226137422,2000,2000,patient_within_outer_fold
G0,T0-T1,auprc,0.38662446775162107,0.34110390389297773,0.4450175585623181,2000,2000,patient_within_outer_fold
G0,T0-T1,accuracy,0.5420792079207921,0.5086633663366337,0.5742883663366335,2000,2000,patient_within_outer_fold
G0,T0-T1,sensitivity,0.5309090909090909,0.47272011453113816,0.5899280575539568,2000,2000,patient_within_outer_fold
G0,T0-T1,specificity,0.5478424015009381,0.5056344839371155,0.5896002928417671,2000,2000,patient_within_outer_fold
G0,T0-T2,auroc,0.5510898857240321,0.5090626426508246,0.5940207827290196,2000,2000,patient_within_outer_fold
G0,T0-T2,auprc,0.3849550989328937,0.3396888543958067,0.44417686854462474,2000,2000,patient_within_outer_fold
G0,T0-T2,accuracy,0.5482673267326733,0.5123762376237624,0.5829207920792079,2000,2000,patient_within_outer_fold
G0,T0-T2,sensitivity,0.48727272727272725,0.42913385826771655,0.5471716683999406,2000,2000,patient_within_outer_fold
G0,T0-T2,specificity,0.5797373358348968,0.5374765489664428,0.6203907340913624,2000,2000,patient_within_outer_fold
G1,T0,auroc,0.5159542896128262,0.47600633357164013,0.5568726711371225,2000,2000,patient_within_outer_fold
G1,T0,auprc,0.345897866093122,0.30772976619991127,0.39495124265060577,2000,2000,patient_within_outer_fold
G1,T0,accuracy,0.5396039603960396,0.5061881188118812,0.573019801980198,2000,2000,patient_within_outer_fold
G1,T0,sensitivity,0.4109090909090909,0.3558033929919616,0.4684162560156767,2000,2000,patient_within_outer_fold
G1,T0,specificity,0.6060037523452158,0.5659040369622845,0.642204481298518,2000,2000,patient_within_outer_fold
