model,decision_point,fold,n,n_patients,n_folds,prevalence,auroc,auprc,accuracy,sensitivity,specificity
G0,T0,4,161,161,1,0.3416149068322981,0.5680960548885078,0.4141975480696096,0.5279503105590062,0.6727272727272727,0.4528301886792453
G0,T0-T1,4,161,161,1,0.3416149068322981,0.5631217838765008,0.4161273750341101,0.5838509316770186,0.4909090909090909,0.6320754716981132
G0,T0-T2,4,161,161,1,0.3416149068322981,0.5761578044596912,0.4280462780032652,0.5031055900621118,0.7454545454545455,0.37735849056603776
G1,T0,4,161,161,1,0.3416149068322981,0.5356775300171526,0.38359922696254,0.4968944099378882,0.6727272727272727,0.4056603773584906
G1,T0-T1,4,161,161,1,0.3416149068322981,0.5480274442538593,0.4220841518592089,0.43478260869565216,0.6,0.3490566037735849
G1,T0-T2,4,161,161,1,0.3416149068322981,0.5710120068610636,0.4377147382038679,0.5279503105590062,0.6181818181818182,0.4811320754716981
G2,T0,4,161,161,1,0.3416149068322981,0.5054888507718697,0.3414872310546748,0.45962732919254656,0.7636363636363637,0.3018867924528302
G2,T0-T1,4,161,161,1,0.3416149068322981,0.5137221269296741,0.36484755960125453,0.4782608695652174,0.6727272727272727,0.37735849056603776
G2,T0-T2,4,161,161,1,0.3416149068322981,0.5665523156089194,0.38625830883384277,0.4906832298136646,0.8,0.330188679245283
G3,T0,4,161,161,1,0.3416149068322981,0.49845626072041166,0.3277328415410898,0.45962732919254656,0.6545454545454545,0.3584905660377358
G3,T0-T1,4,161,161,1,0.3416149068322981,0.5193825042881647,0.3606215177915686,0.515527950310559,0.4909090909090909,0.5283018867924528
G3,T0-T2,4,161,161,1,0.3416149068322981,0.5564322469982848,0.4140881222183216,0.4720496894409938,0.7454545454545455,0.330188679245283
G4,T0,4,161,161,1,0.3416149068322981,0.432418524871355,0.304868213101625,0.484472049689441,0.23636363636363636,0.6132075471698113
G4,T0-T1,4,161,161,1,0.3416149068322981,0.5241852487135505,0.3722353644278314,0.5527950310559007,0.21818181818181817,0.7264150943396226
G4,T0-T2,4,161,161,1,0.3416149068322981,0.5704974271012007,0.38174746502186124,0.45962732919254656,0.8727272727272727,0.24528301886792453
G0,T0,1,162,162,1,0.3395061728395062,0.5525913338997451,0.36232209692014516,0.5802469135802469,0.5636363636363636,0.5887850467289719
G0,T0-T1,1,162,162,1,0.3395061728395062,0.5738317757009347,0.4030778735204212,0.5493827160493827,0.5272727272727272,0.5607476635514018
G0,T0-T2,1,162,162,1,0.3395061728395062,0.5446049277824979,0.38579145040223206,0.5370370370370371,0.509090909090909,0.5514018691588785
G1,T0,1,162,162,1,0.3395061728395062,0.5058623619371283,0.36826661168973907,0.5740740740740741,0.10909090909090909,0.8130841121495327
G1,T0-T1,1,162,162,1,0.3395061728395062,0.5551401869158878,0.39236948051778764,0.4691358024691358,0.6545454545454545,0.37383177570093457
G1,T0-T2,1,162,162,1,0.3395061728395062,0.5923534409515718,0.40072470814521144,0.4876543209876543,0.7272727272727273,0.3644859813084112
G2,T0,1,162,162,1,0.3395061728395062,0.48666100254885303,0.34468236194204493,0.4691358024691358,0.4909090909090909,0.45794392523364486
G2,T0-T1,1,162,162,1,0.3395061728395062,0.43721325403568395,0.3006599886769351,0.3950617283950617,0.5818181818181818,0.29906542056074764
G2,T0-T2,1,162,162,1,0.3395061728395062,0.5707731520815633,0.3771087328727729,0.5308641975308642,0.6545454545454545,0.4672897196261682
G3,T0,1,162,162,1,0.3395061728395062,0.4858113848768054,0.3449495443591757,0.5123456790123457,0.4,0.5700934579439252
G3,T0-T1,1,162,162,1,0.3395061728395062,0.5774001699235344,0.438277028544659,0.5061728395061729,0.5454545454545454,0.48598130841121495
G3,T0-T2,1,162,162,1,0.3395061728395062,0.6010195412064571,0.4026369783675992,0.5864197530864198,0.36363636363636365,0.7009345794392523
G4,T0,1,162,162,1,0.3395061728395062,0.5079014443500425,0.35439667535913416,0.5493827160493827,0.4,0.6261682242990654
G4,T0-T1,1,162,162,1,0.3395061728395062,0.5432455395072218,0.35626326045975604,0.5555555555555556,0.38181818181818183,0.6448598130841121
G4,T0-T2,1,162,162,1,0.3395061728395062,0.541036533559898,0.3546390483845958,0.5493827160493827,0.43636363636363634,0.6074766355140186
G0,T0,0,162,162,1,0.3395061728395062,0.5447748513169074,0.3730838737177548,0.5617283950617284,0.41818181818181815,0.6355140186915887
G0,T0-T1,0,162,162,1,0.3395061728395062,0.5434154630416314,0.37491553816854273,0.48148148148148145,0.7454545454545455,0.34579439252336447
G0,T0-T2,0,162,162,1,0.3395061728395062,0.5581988105352592,0.42648762479263275,0.5308641975308642,0.36363636363636365,0.616822429906542
G1,T0,0,162,162,1,0.3395061728395062,0.4829226847918437,0.32388827722939595,0.41975308641975306,0.6181818181818182,0.3177570093457944
G1,T0-T1,0,162,162,1,0.3395061728395062,0.5602378929481733,0.38647214686024745,0.5679012345679012,0.41818181818181815,0.6448598130841121
G1,T0-T2,0,162,162,1,0.3395061728395062,0.4937977909940527,0.33831517400701594,0.5308641975308642,0.41818181818181815,0.5887850467289719
G2,T0,0,162,162,1,0.3395061728395062,0.5627867459643161,0.4097576666401714,0.4444444444444444,0.8181818181818182,0.2523364485981308
G2,T0-T1,0,162,162,1,0.3395061728395062,0.611554800339847,0.5012842131818782,0.6049382716049383,0.5272727272727272,0.6448598130841121
G2,T0-T2,0,162,162,1,0.3395061728395062,0.6457094307561598,0.5075870987436732,0.654320987654321,0.32727272727272727,0.822429906542056
G3,T0,0,162,162,1,0.3395061728395062,0.5111299915038233,0.3491817760654901,0.49382716049382713,0.6545454545454545,0.411214953271028
G3,T0-T1,0,162,162,1,0.3395061728395062,0.5440951571792694,0.36432605059232875,0.5987654320987654,0.41818181818181815,0.6915887850467289
G3,T0-T2,0,162,162,1,0.3395061728395062,0.5096006796941377,0.355328714861338,0.5925925925925926,0.3090909090909091,0.7383177570093458
G4,T0,0,162,162,1,0.3395061728395062,0.5201359388275276,0.4016477196849131,0.3950617283950617,0.8,0.18691588785046728
G4,T0-T1,0,162,162,1,0.3395061728395062,0.6163126593033136,0.4955065097598466,0.5802469135802469,0.6,0.5700934579439252
G4,T0-T2,0,162,162,1,0.3395061728395062,0.6513169073916738,0.5196878307953606,0.5370370370370371,0.7818181818181819,0.411214953271028
G0,T0,2,162,162,1,0.3395061728395062,0.530161427357689,0.3568070557323422,0.46296296296296297,0.7454545454545455,0.3177570093457944
G0,T0-T1,2,162,162,1,0.3395061728395062,0.5790994052676296,0.40184297541642566,0.6049382716049383,0.45454545454545453,0.6822429906542056
G0,T0-T2,2,162,162,1,0.3395061728395062,0.572302463891249,0.41027794923408695,0.5555555555555556,0.32727272727272727,0.6728971962616822
G1,T0,2,162,162,1,0.3395061728395062,0.5500424808836024,0.3799773611501971,0.5617283950617284,0.43636363636363634,0.6261682242990654
G1,T0-T1,2,162,162,1,0.3395061728395062,0.5738317757009346,0.41761270448868604,0.5802469135802469,0.38181818181818183,0.6822429906542056
G1,T0-T2,2,162,162,1,0.3395061728395062,0.5447748513169074,0.36896896792900225,0.5679012345679012,0.45454545454545453,0.6261682242990654
G2,T0,2,162,162,1,0.3395061728395062,0.4652506372132541,0.3403497131288553,0.5,0.38181818181818183,0.5607476635514018
