model,decision_point,fold_count,auroc_mean,auroc_sd_ddof1,auprc_mean,auprc_sd_ddof1,accuracy_mean,accuracy_sd_ddof1,sensitivity_mean,sensitivity_sd_ddof1,specificity_mean,specificity_sd_ddof1
G0,T0,5,0.5273237043330502,0.05016498590061005,0.3608145220283464,0.04185347523678001,0.5122920021470746,0.064709926018518,0.6690909090909091,0.19767240618075468,0.43105272438723324,0.19574169016906304
G0,T0-T1,5,0.5547067215979224,0.026508542958267486,0.3876954712243165,0.029367805712874742,0.5420673261252972,0.05491609584883783,0.530909090909091,0.12491319299867397,0.5479456885910773,0.12941033495697254
G0,T0-T2,5,0.5608874497042369,0.01318469365154139,0.4048326345061769,0.024382451614687464,0.5482938424967412,0.04172082584788835,0.4872727272727272,0.16434191328693334,0.5795450537824016,0.12421333077811623
G1,T0,5,0.5106814574950707,0.03153484682737076,0.36993068348398767,0.027322232382441622,0.5396825396825397,0.08540810069688022,0.41090909090909084,0.24515132786448252,0.6061188502909539,0.2424432720951275
G1,T0-T1,5,0.5514611820907007,0.019926698714345357,0.40531803412751116,0.015512631853601558,0.5073077218004753,0.06369881251650392,0.5054545454545455,0.11741006757063956,0.5081114441897372,0.15219988895058523
G1,T0-T2,5,0.5495128324329523,0.03687564729355074,0.3895056591374917,0.03756151756443561,0.5073460624185262,0.055350970749358665,0.6036363636363637,0.16634128016702082,0.4573972844295538,0.16454102597734618
G2,T0,5,0.5099379618794184,0.037862700625863645,0.35979754107217066,0.029353257640358676,0.4678092170845794,0.020339284111045738,0.6363636363636364,0.18938787869090598,0.3806207018162582,0.12611886281556922
G2,T0-T1,5,0.527754284157035,0.06615280866137352,0.39468074914157175,0.07290730255664099,0.49884211333486694,0.09237359522372562,0.5854545454545454,0.1332368797131728,0.45431140892258853,0.19398440973010742
G2,T0-T2,5,0.5881377342460045,0.03262118552310794,0.42405221151753514,0.05741155726719605,0.5444904531861054,0.0654358868867723,0.6290909090909091,0.1913846889736839,0.5006700758243696,0.1972625211273291
G3,T0,5,0.5136772414677546,0.025871242906593026,0.35407255601777327,0.023375625232456055,0.49989264626945784,0.05106377622305969,0.5818181818181818,0.1304790917673393,0.4573443837065773,0.13395016010624786
G3,T0-T1,5,0.5525801125342653,0.03146968042280532,0.3923698793052884,0.03436644094302068,0.5296603021240702,0.038938739997726166,0.5490909090909091,0.11455988365107903,0.5196438017986246,0.10489658171111821
G3,T0-T2,5,0.5557410108847246,0.032970427919004924,0.40162551707431204,0.027018561372635003,0.5444367763208343,0.04965150746557359,0.5163636363636364,0.17888543819998318,0.5585258331863869,0.16658653113833302
G4,T0,5,0.49046568666741475,0.03585132547844132,0.3532844790647019,0.036138237884374175,0.4752319607392071,0.05664073402544703,0.5527272727272727,0.22948018874141052,0.43540821724563566,0.18777780640343647
G4,T0-T1,5,0.5438319360061559,0.04185186373463226,0.4025863274019342,0.05832648417355972,0.5642895483475194,0.033413473581781254,0.36727272727272725,0.1462478367432015,0.6661259037206841,0.0684679413546605
G4,T0-T2,5,0.5722873952004617,0.05206719682449158,0.4208452946120704,0.07449105659034956,0.5346369143470593,0.04915005990582918,0.5890909090909091,0.2206676570683458,0.5063833539058367,0.17505467915865228
