model,decision_point,n,n_patients,n_folds,prevalence,auroc,auprc,accuracy,sensitivity,specificity
G0,T0,808,808,5,0.34034653465346537,0.5318710557734948,0.36675067917607307,0.5123762376237624,0.6690909090909091,0.43151969981238275
G0,T0-T1,808,808,5,0.34034653465346537,0.5615896298823129,0.38662446775162107,0.5420792079207921,0.5309090909090909,0.5478424015009381
G0,T0-T2,808,808,5,0.34034653465346537,0.5510898857240321,0.3849550989328937,0.5482673267326733,0.48727272727272725,0.5797373358348968
G1,T0,808,808,5,0.34034653465346537,0.5159542896128262,0.345897866093122,0.5396039603960396,0.4109090909090909,0.6060037523452158
G1,T0-T1,808,808,5,0.34034653465346537,0.5384615384615384,0.38176552437634426,0.5074257425742574,0.5054545454545455,0.5084427767354597
G1,T0-T2,808,808,5,0.34034653465346537,0.5412450963670475,0.36747099361875957,0.5074257425742574,0.6036363636363636,0.45778611632270166
G2,T0,808,808,5,0.34034653465346537,0.5049155722326455,0.3461888426138199,0.46782178217821785,0.6363636363636364,0.3808630393996248
G2,T0-T1,808,808,5,0.34034653465346537,0.5167047586559782,0.34636441862276024,0.49876237623762376,0.5854545454545454,0.4540337711069418
G2,T0-T2,808,808,5,0.34034653465346537,0.5867508101654443,0.4109803169559342,0.5445544554455446,0.6290909090909091,0.50093808630394
G3,T0,808,808,5,0.34034653465346537,0.5148012962647109,0.34696812915997727,0.5,0.5818181818181818,0.45778611632270166
G3,T0-T1,808,808,5,0.34034653465346537,0.5449701517994201,0.3859222749909879,0.5297029702970297,0.5490909090909091,0.5196998123827392
G3,T0-T2,808,808,5,0.34034653465346537,0.5397646256182842,0.37079234877266887,0.5445544554455446,0.5163636363636364,0.5590994371482176
G4,T0,808,808,5,0.34034653465346537,0.49486610950025584,0.33739871335434746,0.4752475247524752,0.5527272727272727,0.4352720450281426
G4,T0-T1,808,808,5,0.34034653465346537,0.5547330718062425,0.3914823334624792,0.5643564356435643,0.36727272727272725,0.6660412757973734
G4,T0-T2,808,808,5,0.34034653465346537,0.5783182670987549,0.40174792540988985,0.5346534653465347,0.5890909090909091,0.5065666041275797
