epoch,fold,model_name,model,lambda_ftv,learning_rate,total_loss,base_loss,ftv_loss,weighted_ftv_loss,val_base_loss,val_base_objective,val_ftv_metric,val_representation_std,representation_std,encoder_grad_norm,ftv_head_grad_norm,grounded_patients,grounded_visits,ungrounded_patients,val_ftv_loss,noncollapse,base_gate_pass,checkpoint_eligible,validation_selection_metric,is_selected_checkpoint,train_loss,train_base_loss,train_state_loss,train_sigreg_loss,train_gradient_norm,train_encoder_gradient_norm,train_response_projection_gradient_norm,train_ftv_head_gradient_norm,train_ftv_loss,train_weighted_ftv_loss,train_grounded_patients,train_ungrounded_patients,train_valid_ftv_visits,train_roi_valid_visits,train_roi_empty_visits,train_representation_std,train_samples,train_batches,train_seconds,train_peak_gpu_memory_mb,train_first_valid_base_shared_gradient_norm,train_first_valid_ftv_encoder_gradient_norm_raw,train_first_valid_ftv_response_projection_gradient_norm_raw,train_first_valid_ftv_head_gradient_norm_raw,train_first_valid_ftv_encoder_gradient_norm_weighted,train_first_valid_ftv_response_projection_gradient_norm_weighted,train_first_valid_ftv_head_gradient_norm_weighted,train_objective_reconstructed,val_loss,val_state_loss,val_sigreg_loss,val_gradient_norm,val_encoder_gradient_norm,val_response_projection_gradient_norm,val_ftv_head_gradient_norm,val_weighted_ftv_loss,val_grounded_patients,val_ungrounded_patients,val_valid_ftv_visits,val_roi_valid_visits,val_roi_empty_visits,val_samples,val_batches,val_seconds,val_peak_gpu_memory_mb,val_first_valid_base_shared_gradient_norm,val_first_valid_ftv_encoder_gradient_norm_raw,val_first_valid_ftv_response_projection_gradient_norm_raw,val_first_valid_ftv_head_gradient_norm_raw,val_first_valid_ftv_encoder_gradient_norm_weighted,val_first_valid_ftv_response_projection_gradient_norm_weighted,val_first_valid_ftv_head_gradient_norm_weighted,val_objective_reconstructed,source_history_file,source_history_sha256,run_name
1,0,G1,G1,0.0,5e-05,2.3078360841387795,2.3078360841387795,0.0,0.0,0.3667265661984435,1.5398513994926264,0.0,0.1856225132942199,0.1856225132942199,3.9735044751848494,0.0,0.0,0.0,672.0,0.0,True,True,True,0.3667265661984435,False,2.3078360841387795,2.3078360841387795,0.984798911071959,14.700412523178828,6.554348582313175,3.9735044751848494,1.2267448561532155,0.0,0.0,0.0,0.0,672.0,0.0,2662.0,26.0,0.3442188203334808,672.0,21.0,13.04378122201888,28605.53369140625,12.751191139221191,0.0,0.0,0.0,0.0,0.0,0.0,2.3078360841387795,1.5398513994926264,0.3667265661984435,13.034720144981195,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,478.0,6.0,121.0,4.0,1.896410231012851,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5398513994926264,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_0.csv,debcc283d195d1afdb554381a338e3514a8c11d841f77e813cae6b84884ae6f3,g1
2,0,G1,G1,0.0,5e-05,1.361058859598069,1.361058859598069,0.0,0.0,0.116452021786004,1.01989655553802,0.0,0.517156183719635,0.517156183719635,2.787276489394052,0.0,0.0,0.0,672.0,0.0,True,True,True,0.116452021786004,False,1.361058859598069,1.361058859598069,0.2792000543503534,12.020652634756903,3.773870184308007,2.787276489394052,0.6969385601225353,0.0,0.0,0.0,0.0,672.0,0.0,2664.0,24.0,0.4096700251102447,672.0,21.0,11.64125409600092,28613.7578125,3.824819803237915,0.0,0.0,0.0,0.0,0.0,0.0,1.361058859598069,1.01989655553802,0.116452021786004,10.03827198280776,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,478.0,6.0,121.0,4.0,1.954555638018064,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01989655553802,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_0.csv,debcc283d195d1afdb554381a338e3514a8c11d841f77e813cae6b84884ae6f3,g1
3,0,G1,G1,0.0,5e-05,0.9822237122626531,0.9822237122626531,0.0,0.0,0.101532279398323,0.9334565317335208,0.0,0.6319580674171448,0.6319580674171448,5.019797909827459,0.0,0.0,0.0,672.0,0.0,True,True,True,0.101532279398323,True,0.9822237122626531,0.9822237122626531,0.1616725077231725,9.117235229128884,5.402988899321783,5.019797909827459,0.63736454361961,0.0,0.0,0.0,0.0,672.0,0.0,2663.0,25.0,0.6681036949157715,672.0,21.0,11.380189040006371,28613.7578125,2.669708013534546,0.0,0.0,0.0,0.0,0.0,0.0,0.9822237122626531,0.9334565317335208,0.101532279398323,9.243602169446708,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,478.0,6.0,121.0,4.0,1.9475662330223715,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9334565317335208,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_0.csv,debcc283d195d1afdb554381a338e3514a8c11d841f77e813cae6b84884ae6f3,g1
4,0,G1,G1,0.0,5e-05,0.8867021004358927,0.8867021004358927,0.0,0.0,0.1452250803305098,0.8867639342615427,0.0,0.6604241132736206,0.6604241132736206,5.709054430325826,0.0,0.0,0.0,672.0,0.0,True,True,True,0.1452250803305098,False,0.8867021004358927,0.8867021004358927,0.1829143038817814,7.819864023299444,5.949552439507984,5.709054430325826,0.5578096707661947,0.0,0.0,0.0,0.0,672.0,0.0,2662.0,26.0,0.7178301215171814,672.0,21.0,11.314271634008035,28613.7578125,4.752010822296143,0.0,0.0,0.0,0.0,0.0,0.0,0.8867021004358927,0.8867639342615427,0.1452250803305098,8.239320305753346,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,478.0,6.0,121.0,4.0,2.12721329901251,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8867639342615427,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_0.csv,debcc283d195d1afdb554381a338e3514a8c11d841f77e813cae6b84884ae6f3,g1
5,0,G1,G1,0.0,5e-05,0.9039255579312644,0.9039255579312644,0.0,0.0,0.205828249085048,0.957041004965128,0.0,0.6634387373924255,0.6634387373924255,4.751625955104828,0.0,0.0,0.0,672.0,0.0,True,True,True,0.205828249085048,False,0.9039255579312644,0.9039255579312644,0.2593952410277866,7.161447683970134,5.016984337852115,4.751625955104828,0.5317644278208414,0.0,0.0,0.0,0.0,672.0,0.0,2663.0,25.0,0.7494828104972839,672.0,21.0,11.262991469993722,28613.7578125,1.6192117929458618,0.0,0.0,0.0,0.0,0.0,0.0,0.9039255579312644,0.957041004965128,0.205828249085048,8.346807913346725,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,478.0,6.0,121.0,4.0,1.997147942020092,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957041004965128,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_0.csv,debcc283d195d1afdb554381a338e3514a8c11d841f77e813cae6b84884ae6f3,g1
6,0,G1,G1,0.0,5e-05,0.939726628008343,0.939726628008343,0.0,0.0,0.2598747817937993,0.9525914926174258,0.0,0.6981022953987122,0.6981022953987122,6.844060744558062,0.0,0.0,0.0,672.0,0.0,True,True,True,0.2598747817937993,False,0.939726628008343,0.939726628008343,0.3538226627168201,6.51004391624814,7.018804504757836,6.844060744558062,0.6000554873829796,0.0,0.0,0.0,0.0,672.0,0.0,2663.0,25.0,0.7934982180595398,672.0,21.0,11.58903519200976,28613.7578125,6.703610897064209,0.0,0.0,0.0,0.0,0.0,0.0,0.939726628008343,0.9525914926174258,0.2598747817937993,7.696852242651064,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,478.0,6.0,121.0,4.0,2.0104725589917507,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9525914926174258,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_0.csv,debcc283d195d1afdb554381a338e3514a8c11d841f77e813cae6b84884ae6f3,g1
7,0,G1,G1,0.0,5e-05,0.950176823706854,0.950176823706854,0.0,0.0,0.3186075522387323,1.0494299979249309,0.0,0.6718569397926331,0.6718569397926331,6.833750917797997,0.0,0.0,0.0,672.0,0.0,True,True,True,0.3186075522387323,False,0.950176823706854,0.950176823706854,0.4445910028048924,5.617620014009022,7.038663557597569,6.833750917797997,0.6207562599863324,0.0,0.0,0.0,0.0,672.0,0.0,2662.0,26.0,0.8126209378242493,672.0,21.0,11.789808172004996,28613.7578125,3.795564413070679,0.0,0.0,0.0,0.0,0.0,0.0,0.950176823706854,1.0494299979249309,0.3186075522387323,8.120249196517566,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,478.0,6.0,121.0,4.0,1.9587895470031071,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0494299979249309,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_0.csv,debcc283d195d1afdb554381a338e3514a8c11d841f77e813cae6b84884ae6f3,g1
1,1,G1,G1,0.0,5e-05,2.163921605973017,2.163921605973017,0.0,0.0,0.2699758240506669,1.4544516496421878,0.0,0.1244686767458915,0.1244686767458915,3.767935105732509,0.0,0.0,0.0,672.0,0.0,True,True,True,0.2699758240506669,False,2.163921605973017,2.163921605973017,0.8399810251735506,14.710449990772066,6.314994982310703,3.767935105732509,1.2026201713652838,0.0,0.0,0.0,0.0,672.0,0.0,2658.0,30.0,0.3034223616123199,672.0,21.0,14.163740407995649,28605.53369140625,16.622323989868164,0.0,0.0,0.0,0.0,0.0,0.0,2.163921605973017,1.4544516496421878,0.2699758240506669,13.160842138873644,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,484.0,0.0,121.0,4.0,2.039988258009544,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4544516496421878,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_1.csv,1acc1166e254cc92bdb3d3db38aaacf8fd9150292b3d9e38b024331ccfd4864d,g1
2,1,G1,G1,0.0,5e-05,1.4114027477446056,1.4114027477446056,0.0,0.0,0.0926404853990255,1.188890719216717,0.0,0.2119786739349365,0.2119786739349365,1.4428204411552066,0.0,0.0,0.0,672.0,0.0,True,True,True,0.0926404853990255,True,1.4114027477446056,1.4114027477446056,0.220955932424182,13.22718620300293,2.49634059270223,1.4428204411552066,0.567867256346203,0.0,0.0,0.0,0.0,672.0,0.0,2659.0,29.0,0.1893990784883499,672.0,21.0,11.552095204999205,28613.7578125,3.217324733734131,0.0,0.0,0.0,0.0,0.0,0.0,1.4114027477446056,1.188890719216717,0.0926404853990255,12.180557771162553,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,484.0,0.0,121.0,4.0,1.995998425001744,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.188890719216717,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_1.csv,1acc1166e254cc92bdb3d3db38aaacf8fd9150292b3d9e38b024331ccfd4864d,g1
3,1,G1,G1,0.0,5e-05,1.1512455741564434,1.1512455741564434,0.0,0.0,0.0975995805761045,0.9547392243196156,0.0,0.5733177065849304,0.5733177065849304,2.8376684529440745,0.0,0.0,0.0,672.0,0.0,True,True,True,0.0975995805761045,False,1.1512455741564434,1.1512455741564434,0.1490086494457154,11.135965392703104,3.3408997626531693,2.8376684529440745,0.6053018200965155,0.0,0.0,0.0,0.0,672.0,0.0,2657.0,31.0,0.4819554388523102,672.0,21.0,11.710544286994264,28613.7578125,2.0649962425231934,0.0,0.0,0.0,0.0,0.0,0.0,1.1512455741564434,0.9547392243196156,0.0975995805761045,9.523773642610912,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,484.0,0.0,121.0,4.0,2.176599461992737,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9547392243196156,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_1.csv,1acc1166e254cc92bdb3d3db38aaacf8fd9150292b3d9e38b024331ccfd4864d,g1
