model,fold,selected_epoch,val_base_loss,representation_std,finite,selection_source,paired_baseline,base_degradation_fraction
G1,0,3,0.101532279398323,0.6319580674171448,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g1/fold_0/selection.json,,
G1,1,2,0.0926404853990255,0.2119786739349365,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g1/fold_1/selection.json,,
G1,2,2,0.0788241928397131,0.2296806722879409,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g1/fold_2/selection.json,,
G1,3,3,0.1023255576772138,0.6672545075416565,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g1/fold_3/selection.json,,
G1,4,3,0.1147990188569076,0.6419578194618225,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g1/fold_4/selection.json,,
G2,0,2,0.4497487261768215,0.8275463581085205,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g2/fold_0/selection.json,,
G2,1,2,0.4267074507622679,0.8125033974647522,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g2/fold_1/selection.json,,
G2,2,2,0.3547055689263935,0.7502800822257996,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g2/fold_2/selection.json,,
G2,3,2,0.3312065066877475,0.7783176302909851,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g2/fold_3/selection.json,,
G2,4,2,0.423505349592729,0.7401182651519775,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g2/fold_4/selection.json,,
G3,0,3,0.0997326945470384,0.6447930932044983,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g3/fold_0/selection.json,G1,-0.017724263278130727
G3,1,2,0.0899087327324654,0.2226223945617675,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g3/fold_1/selection.json,G1,-0.029487676524942285
G3,2,2,0.0797413226740419,0.2385812550783157,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g3/fold_2/selection.json,G1,0.011635131312968193
G3,3,3,0.1121420375694913,0.6809560656547546,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g3/fold_3/selection.json,G1,0.09593380300201845
G3,4,2,0.1178276252524911,0.491487592458725,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g3/fold_4/selection.json,G1,0.026381814285003052
G4,0,2,0.4425648431147426,0.8053023815155029,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g4/fold_0/selection.json,G2,-0.015973103744277226
G4,1,3,0.4273570083882198,0.8076834678649902,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g4/fold_1/selection.json,G2,0.001522255176916884
G4,2,3,0.3632120357072058,0.7741019129753113,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g4/fold_2/selection.json,G2,0.023981768334112363
G4,3,2,0.3293281677833273,0.7876480221748352,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g4/fold_3/selection.json,G2,-0.005671201701937069
G4,4,2,0.4146380471296547,0.7311630249023438,True,additional_experiments/direct_grounded_response_state/checkpoints/formal/g4/fold_4/selection.json,G2,-0.020937875924357773
