target,model,spatial,timing,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,positive,n_folds,ece_bin_contract,auroc,auprc,brier,calibration_slope,calibration_intercept,ece_10bin
pCR,GAP0_mri_clinical,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.7201978509295582,0.5658561014786719,0.21827775992754025,1.23617604350136,-0.7175254101435826,0.15085591416905333
pCR,GAP0_mri_clinical,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.7293403440150046,0.5973270038009229,0.2182890674749533,2.0845962439569248,-0.7394659244038326,0.15632239067791004
pCR,GAP0_mri_clinical,GLOBAL,T0-T1,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.7149718574108818,0.5608021496917153,0.2176691824502734,0.9749908059607363,-0.692265778053356,0.14718581941805592
pCR,GAP0_mri_clinical,GLOBAL,T0-T1,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.7197242750196373,0.5791819931991513,0.21766606749530423,1.0785383525039243,-0.7126120533499456,0.16447967481958212
pCR,GAP0_mri_clinical,GLOBAL,T0-T2,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.6964898516118028,0.5414664455813767,0.22271179322895546,0.6638561699183385,-0.6410584509232461,0.14528674235962982
pCR,GAP0_mri_clinical,GLOBAL,T0-T2,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.7042554624004105,0.5625385964418521,0.2227119926374209,1.0764692422857352,-0.6665194575000605,0.15455566250322192
pCR,GAP0_mri_clinical_ftv,GLOBAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6639451114922814,0.4787800916904664,0.23050239393441385,0.529963370378916,-0.8535080167014437,0.18742216881660353
pCR,GAP0_mri_clinical_ftv,GLOBAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.6686302170572549,0.5160555333798157,0.2299033496948894,0.7218709283082978,-0.8597723182221056,0.2029705952761543
pCR,GAP0_mri_clinical_ftv,GLOBAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6898456260720411,0.48431570738746543,0.22845372285697013,0.5141505497304065,-0.8767997538062418,0.19664479573794738
pCR,GAP0_mri_clinical_ftv,GLOBAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.711417802435337,0.5460476876238723,0.22720166845315606,1.3248713183987366,-0.1554588523692395,0.21635604802577504
pCR,GAP0_mri_clinical_ftv,GLOBAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6966380789022297,0.5085070612394591,0.22214992328138572,3.080141666151998,0.27159310690314786,0.17360706821003044
pCR,GAP0_mri_clinical_ftv,GLOBAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.7122003900995717,0.5407204813301986,0.22196848355186855,1.245433815053811,-0.9025896401907147,0.20299443281428395
pCR,GAP0_mri_clinical_paired,GLOBAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6554373927958834,0.4644780097541826,0.23162395129739863,0.47224078435848044,-0.8389997754262991,0.18626379186199327
pCR,GAP0_mri_clinical_paired,GLOBAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.6605791060162368,0.5027222675139754,0.23073623921507372,0.6733154415058618,-0.8316516031707296,0.20572779226395257
pCR,GAP0_mri_clinical_paired,GLOBAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6508747855917666,0.46470542657589653,0.2413231366770669,0.3272214540471636,-0.826372688390467,0.2127405419600934
pCR,GAP0_mri_clinical_paired,GLOBAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.6807187750074293,0.519363105955456,0.24088668640720626,1.4751293443450062,-1.7062971511989968,0.22652477283850292
pCR,GAP0_mri_clinical_paired,GLOBAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6432590051457978,0.45789038400750925,0.24820653118086564,3.4648976972998433,0.6149805411958962,0.21492884601189155
