target,model,spatial,task,endpoint,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,n_folds,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,calibration_slope,calibration_intercept,calibration_mean_bias
FTV,GAP0,GLOBAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.030012970758903176,-0.02289491001487173,-0.021226447481818234,25.598698110211693,13.862553085865017,25.477864188497076,-0.004742702167679022,-0.0028499280091513366,-11.201926535227951,-0.14251288266846027
FTV,GAP0,GLOBAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.03341800638456506,-0.03475467489730677,-0.04754421203275401,24.631686975109496,13.78421783931156,24.445499639427307,-0.010952818001169599,-0.0021534212595478385,-11.124502010207049,0.004853116167134441
FTV,GAP0,GLOBAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.15681237911025148,0.14633170897354483,-0.10185727256582666,18.0477174900643,10.300563315665073,17.219808801872187,-0.04807885486522366,0.0726301579527626,-8.437908156033561,-0.47555096708202843
FTV,GAP0,GLOBAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.1734131825049348,0.19041955831129198,-0.11783316465198031,17.395611510220913,10.300265269381683,16.60517378340784,-0.044431512463371695,0.07605896744732316,-8.406767444481531,-0.5656573003521157
FTV,GAP0,GLOBAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.03665286153145978,-0.03337016437392909,-0.05990169592978378,28.198064281217125,10.061317671076667,27.537956917151757,-0.02397081838900788,-0.007109139045747692,-5.923618514372068,-0.4727368366922498
FTV,GAP0,GLOBAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.04531505851358736,-0.026479536519334816,-0.6466891605574556,24.311740007284804,10.111023439909026,22.944585785259125,-0.14571406863051736,-0.023752466161724575,-6.026965660404308,-0.6171802704116534
FTV,GAP0,GLOBAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.3048358174991467,0.2907491603599977,0.018068723781634155,42.27969661026644,20.311995856886753,42.77656700591202,0.011615480867758949,0.05711902070862901,16.720049515678514,-10.237829357023594
FTV,GAP0,GLOBAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.31569621673923853,0.3139880428422274,0.02861177403686237,41.015467004314466,20.2572635811102,41.82120336681659,0.02543821743434499,0.0741070665596563,16.469557529335027,-10.06686203279258
FTV,GAP0,GLOBAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.40901911993357387,0.30697692090323314,0.06440647753043582,36.445650388815224,13.749634278082825,37.95576601319648,0.03978619806688183,0.12115835991935692,9.829083546058326,-5.605996546920958
FTV,GAP0,GLOBAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.43194263184052273,0.43504194365612214,0.1795600236748014,30.929604493638198,13.488909121681743,33.934864367476976,0.14433980256416362,0.22422122246125253,8.397240813352875,-5.535151329929475
FTV,GAP0,GLOBAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.1686183962122199,0.1234373003941967,-0.025715670044194283,31.50031820904561,8.326267261644483,31.345565059981617,-0.0049370030104055615,0.006548375247048341,3.017028845108492,-5.9012118647403105
FTV,GAP0,GLOBAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.15220965143767742,0.189572229582699,-0.0077369059560917774,25.370338671374427,8.194351601233688,25.99578169892136,0.07460482292913148,0.03932921985024001,2.8933336934881027,-5.743484960076602
FTV,GAP0,GLOBAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.061033489098220546,0.04376388021658078,-0.029250754096967313,12.588789076488078,3.3573126675545417,12.477635535818399,-0.008908221461558266,0.001841138219562902,1.367554212886687,-2.190504324543833
FTV,GAP0,GLOBAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.03289685443614582,0.08012687366052426,-0.03119671160788382,10.206902678041606,3.2768301924106695,10.294290046637563,0.046049372303286526,0.008352081277173823,1.360868594146675,-2.100443840558719
FTV,LOCAL0,LOCAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.3941162817157811,0.21368152996587114,0.03842341989500142,24.839839794933553,13.223811304626022,25.477864188497076,0.02504230295142175,0.06377776075150339,-10.150787142327088,0.17385737864271308
FTV,LOCAL0,LOCAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.41146556970503845,0.23256190983778774,-0.00588201454856434,23.99472888001707,13.1374471795468,24.445499639427307,0.010006585325450646,0.0819635433784679,-9.84628110939334,0.3672948495026847
