comparison_id,family,estimand,analysis_population,timing,reference_model,reference_spatial,candidate_model,candidate_spatial,metric,higher_is_better,reference_value,candidate_value,delta_candidate_minus_reference,ci_level,ci_low,ci_high,bootstrap_seed,bootstrap_replicates,valid_bootstrap_replicates,n_paired,positive,inference_scope
beyond_ftv:211bc51d6581,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,GLOBAL,auprc,True,0.48453658821068,0.39608436523201923,-0.08845222297866079,0.95,-0.17615995884822935,-0.0024008992262588053,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:211bc51d6581,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,GLOBAL,auroc,True,0.6796397941680961,0.5878216123499144,-0.09181818181818169,0.95,-0.15515955865171316,-0.029029345394136662,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:211bc51d6581,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,GLOBAL,brier,False,0.23420306813845543,0.2683591178695939,0.03415604973113845,0.95,0.008440971229705323,0.06086268190036406,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:b5f177f7d0ef,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,LOCAL,auprc,True,0.48453658821068,0.38791435318345635,-0.09662223502722367,0.95,-0.18658997942346342,0.0035938877320075154,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:b5f177f7d0ef,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,LOCAL,auroc,True,0.6796397941680961,0.6054545454545455,-0.07418524871355059,0.95,-0.140999410780114,-0.00369766249954941,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:b5f177f7d0ef,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,LOCAL,brier,False,0.23420306813845543,0.26092390576233804,0.02672083762388261,0.95,0.0025410066498138713,0.05103991598804694,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:6ccbdddb9d6c,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,GLOBAL,auprc,True,0.48453658821068,0.4123215286585768,-0.07221505955210322,0.95,-0.16878283649843265,0.019225880470351567,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:6ccbdddb9d6c,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,GLOBAL,auroc,True,0.6796397941680961,0.621663807890223,-0.05797598627787304,0.95,-0.12031836629147487,0.0072526470645595765,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:6ccbdddb9d6c,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,GLOBAL,brier,False,0.23420306813845543,0.24432715445870834,0.010124086320252912,0.95,-0.009911067501620635,0.02977324851657077,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:91ab093ef93f,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,LOCAL,auprc,True,0.48453658821068,0.4249297488297642,-0.05960683938091582,0.95,-0.14273450845846997,0.028366025330163906,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:91ab093ef93f,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,LOCAL,auroc,True,0.6796397941680961,0.6479245283018867,-0.03171526586620932,0.95,-0.09100201765882598,0.02929175193179036,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:91ab093ef93f,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,LOCAL,brier,False,0.23420306813845543,0.2451575280452957,0.01095445990684027,0.95,-0.0062747847717750035,0.028364219996270437,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:196febb128cd,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,GLOBAL,auprc,True,0.5506750319989909,0.33326686328381094,-0.21740816871517998,0.95,-0.3046784268450844,-0.1323445615816531,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:196febb128cd,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,GLOBAL,auroc,True,0.7247341337907376,0.5516295025728988,-0.1731046312178388,0.95,-0.24598726374718594,-0.10257467506678607,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:196febb128cd,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,GLOBAL,brier,False,0.21502450481039986,0.30303641946147186,0.088011914651072,0.95,0.05386393216575327,0.12261695080601813,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:a35e8ae4e163,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,LOCAL,auprc,True,0.5506750319989909,0.39762937828792877,-0.15304565371106216,0.95,-0.23989848014120177,-0.06571171735320007,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:a35e8ae4e163,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,LOCAL,auroc,True,0.7247341337907376,0.6219554030874785,-0.10277873070325905,0.95,-0.17140577135758459,-0.03352788682962019,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:a35e8ae4e163,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,LOCAL,brier,False,0.21502450481039986,0.2560864759044449,0.041061971094045024,0.95,0.013547952151076853,0.07027495991442823,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:de876b68af6d,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,GLOBAL,auprc,True,0.5506750319989909,0.3756081639652038,-0.17506686803378713,0.95,-0.27314426199186187,-0.07435348286348627,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:de876b68af6d,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,GLOBAL,auroc,True,0.7247341337907376,0.5542024013722127,-0.17053173241852493,0.95,-0.24736214349608995,-0.09322367753289629,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:de876b68af6d,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,GLOBAL,brier,False,0.21502450481039986,0.25943562407490856,0.04441111926450869,0.95,0.018857599066875664,0.07032332703884127,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:941ac2a8ec5f,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,LOCAL,auprc,True,0.5506750319989909,0.3666774131367827,-0.18399761886220822,0.95,-0.2799314108826916,-0.08351812968553811,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
