target,model,spatial,timing,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,positive,n_folds,ece_bin_contract,auroc,auprc,brier,calibration_slope,calibration_intercept,ece_10bin
HER2,GAP0,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,201,5,"10_equal_width_bins_[0,1]",0.5469112427975444,0.28436894208418784,0.25460718412896477,0.14746891520343014,-1.0906956596823099,0.2437612197152146
HER2,GAP0,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,201,5,"10_equal_width_bins_[0,1]",0.5512369645629069,0.3065469052878684,0.2546000084304371,0.8000166361163098,-1.0949361964111515,0.24788587851687588
HER2,LOCAL0,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,201,5,"10_equal_width_bins_[0,1]",0.5251092150450384,0.2643442442807598,0.2744967734868523,0.02330736188567639,-1.1004796595789397,0.25639635104607245
HER2,LOCAL0,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,201,5,"10_equal_width_bins_[0,1]",0.5289509283522588,0.2813690192494912,0.2744850340810487,1.1629415409737367,0.0029805586118232695,0.25769772562984217
HER2,dino_vitb16_imagenet1k,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,201,5,"10_equal_width_bins_[0,1]",0.5229945822780661,0.26319206038977716,0.26911116716637884,1.0,3.7408728719029862,0.25816813965047447
HER2,dino_vitb16_imagenet1k,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,201,5,"10_equal_width_bins_[0,1]",0.5511982437370463,0.2985093547372791,0.26904641294815895,1.3002360343100228,-1.1119665126029097,0.258943700180862
HER2,dino_vitb16_imagenet1k,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,201,5,"10_equal_width_bins_[0,1]",0.5569352578130764,0.2986200283048239,0.25338383653224256,0.30153136901318417,-1.0933426855131054,0.23653079789019207
HER2,dino_vitb16_imagenet1k,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,201,5,"10_equal_width_bins_[0,1]",0.5440417306270965,0.3182441199616043,0.25337695872924254,0.07960907929933327,-1.121795723682127,0.2421371428543702
HER2,medicalnet_resnet50_3dseg8,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,201,5,"10_equal_width_bins_[0,1]",0.5191833255468948,0.27376062005739976,0.25049613526450165,-0.013280511914826387,-1.1058106344479364,0.24555524808714646
HER2,medicalnet_resnet50_3dseg8,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,201,5,"10_equal_width_bins_[0,1]",0.5287850619447072,0.30177933394341894,0.25049467769101896,1.444393372507077,-1.124404624756671,0.24556585360169816
