target,model,spatial,timing,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,n_folds,ece_bin_contract,macro_ovr_auroc,macro_ovr_auprc,multiclass_brier,toplabel_ece_10bin,accuracy
HR_HER2_subtype,GAP0,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,5,"10_equal_width_bins_[0,1]_top_label",0.5361741512979499,0.2787287835659777,0.7492017344085168,0.07025214986882948,0.3032178217821782
HR_HER2_subtype,GAP0,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,5,"10_equal_width_bins_[0,1]_top_label",0.5415453985818207,0.2955620315693935,0.7491845640196066,0.08007389909612919,0.30332796564680625
HR_HER2_subtype,LOCAL0,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,5,"10_equal_width_bins_[0,1]_top_label",0.5046450640186892,0.2481505054501945,0.7940848944639556,0.13993031243114673,0.27103960396039606
HR_HER2_subtype,LOCAL0,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,5,"10_equal_width_bins_[0,1]_top_label",0.5149843338871352,0.2713597601166674,0.7941591283275586,0.14342374487977105,0.2709761521355724
HR_HER2_subtype,dino_vitb16_imagenet1k,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,5,"10_equal_width_bins_[0,1]_top_label",0.5408741703780221,0.2819808568288157,0.7836088215638112,0.10346198375836844,0.34529702970297027
HR_HER2_subtype,dino_vitb16_imagenet1k,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,5,"10_equal_width_bins_[0,1]_top_label",0.5481997213655807,0.3049978754283179,0.7834831076680009,0.11175663515862515,0.34532627865961196
HR_HER2_subtype,dino_vitb16_imagenet1k,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,5,"10_equal_width_bins_[0,1]_top_label",0.5643752626959194,0.30073445413580413,0.8131325594232048,0.21805477781096863,0.33910891089108913
HR_HER2_subtype,dino_vitb16_imagenet1k,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,5,"10_equal_width_bins_[0,1]_top_label",0.5640374516623884,0.31590935172449597,0.8130219230746821,0.21900835311474592,0.33895406793957517
HR_HER2_subtype,medicalnet_resnet50_3dseg8,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,5,"10_equal_width_bins_[0,1]_top_label",0.503792461830321,0.2589074562407254,0.8801906818428494,0.2153382171633117,0.2561881188118812
HR_HER2_subtype,medicalnet_resnet50_3dseg8,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,5,"10_equal_width_bins_[0,1]_top_label",0.5063474682489917,0.2676730176328551,0.8802478342535398,0.21544699699144648,0.25613833294992716
HR_HER2_subtype,medicalnet_resnet50_3dseg8,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,5,"10_equal_width_bins_[0,1]_top_label",0.4966451682067031,0.24973230017134385,0.8560597285924922,0.15816262614169863,0.2908415841584158
HR_HER2_subtype,medicalnet_resnet50_3dseg8,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,5,"10_equal_width_bins_[0,1]_top_label",0.5073438044825799,0.2684114032209795,0.8558730890752091,0.16116063632868535,0.2907829154205966
