comparison_id,family,estimand,analysis_population,timing,reference_model,reference_spatial,candidate_model,candidate_spatial,metric,higher_is_better,reference_value,candidate_value,delta_candidate_minus_reference,ci_level,ci_low,ci_high,bootstrap_seed,bootstrap_replicates,valid_bootstrap_replicates,n_paired,positive,inference_scope
dinov3_vs_dinov1:63422f501322cd6a,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only,full_808,T0,dino_vitb16_imagenet1k_mri_only,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_only,GLOBAL,auroc,True,0.5356097560975609,0.5277912331570868,-0.007818522940474137,0.95,-0.05393412718723073,0.03794448580541487,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:63422f501322cd6a,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only,full_808,T0,dino_vitb16_imagenet1k_mri_only,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_only,GLOBAL,auprc,True,0.38007135508895024,0.36163725014943104,-0.01843410493951919,0.95,-0.05745650348948867,0.023798548504822256,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:63422f501322cd6a,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only,full_808,T0,dino_vitb16_imagenet1k_mri_only,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_only,GLOBAL,brier,False,0.2800434273455948,0.26810191028249536,-0.011941517063099427,0.95,-0.026529718231618205,0.002449880755756987,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:a8f35616fa5c3ec4,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only,full_808,T0,dino_vitb16_imagenet1k_mri_only,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_only,LOCAL,auroc,True,0.5275797373358349,0.5305952584001364,0.003015521064301585,0.95,-0.046829490161315664,0.054150237666846845,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:a8f35616fa5c3ec4,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only,full_808,T0,dino_vitb16_imagenet1k_mri_only,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_only,LOCAL,auprc,True,0.3734633785332039,0.3786485973733751,0.005185218840171202,0.95,-0.04456547905243314,0.054935746689074125,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:a8f35616fa5c3ec4,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only,full_808,T0,dino_vitb16_imagenet1k_mri_only,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_only,LOCAL,brier,False,0.3039003406397735,0.30861520593725794,0.0047148652974844385,0.95,-0.02038166911288893,0.030085648312305893,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:28ee0d9ed1c64a1a,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical,full_808,T0,dino_vitb16_imagenet1k_mri_clinical,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical,GLOBAL,auroc,True,0.7028006140201263,0.7035101483881971,0.0007095343680708632,0.95,-0.026446636015775977,0.026002946599933883,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:28ee0d9ed1c64a1a,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical,full_808,T0,dino_vitb16_imagenet1k_mri_clinical,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical,GLOBAL,auprc,True,0.5291140287552438,0.5486998455090714,0.019585816753827534,0.95,-0.02411884604392565,0.06215583972167631,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:28ee0d9ed1c64a1a,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical,full_808,T0,dino_vitb16_imagenet1k_mri_clinical,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical,GLOBAL,brier,False,0.22759577541108159,0.22153332928845937,-0.006062446122622217,0.95,-0.013400795673348813,0.0017731148744498514,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:b3ad5cae6918ef85,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical,full_808,T0,dino_vitb16_imagenet1k_mri_clinical,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical,LOCAL,auroc,True,0.6685724032065496,0.6928671328671329,0.024294729660583214,0.95,-0.0035751181434521373,0.05317361759390163,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:b3ad5cae6918ef85,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical,full_808,T0,dino_vitb16_imagenet1k_mri_clinical,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical,LOCAL,auprc,True,0.4980088051221554,0.5274179305788809,0.02940912545672547,0.95,-0.013026313539639768,0.07462478257333806,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:b3ad5cae6918ef85,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical,full_808,T0,dino_vitb16_imagenet1k_mri_clinical,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical,LOCAL,brier,False,0.23686096139464138,0.22946573122151873,-0.007395230173122658,0.95,-0.017274581499427795,0.0021717544980241104,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:edb7b8604f874541,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_only_paired,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_only_paired,GLOBAL,auroc,True,0.5159519725557462,0.5395883361921098,0.023636363636363567,0.95,-0.047581017725996023,0.09634124674914143,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:edb7b8604f874541,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_only_paired,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_only_paired,GLOBAL,auprc,True,0.31710121341222464,0.3275649726095988,0.01046375919737419,0.95,-0.04524454101342925,0.06937135697396564,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:edb7b8604f874541,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_only_paired,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_only_paired,GLOBAL,brier,False,0.27393223569284497,0.25466973568752216,-0.019262500005322813,0.95,-0.041698701534719135,0.0017849678761471513,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:eecda094370ed1e6,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_only_paired,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_only_paired,LOCAL,auroc,True,0.5401715265866209,0.5534476843910806,0.013276157804459676,0.95,-0.05943545199898131,0.0875819514188527,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:eecda094370ed1e6,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_only_paired,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_only_paired,LOCAL,auprc,True,0.33175177748512497,0.3227905409468774,-0.008961236538247541,0.95,-0.07633577427749128,0.06081461001172833,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
