scope,ld_group,n,n_patients,reported_ld_min_raw_unit,reported_ld_median_raw_unit,boundary_touch_n,boundary_touch_rate,suspected_truncation_n,suspected_truncation_rate,severe_truncation_n,severe_truncation_rate,containment_ratio_median,exact_full_support_containment_n,exact_full_support_containment_rate,bbox_fully_contained_n,bbox_fully_contained_rate,whole_union_extent_retention_median,minimum_margin_mm_median
T0,TOP_25_PERCENT,97,97,5.2,7.1,95,0.979381443298969,95,0.979381443298969,65,0.6701030927835051,0.8180446084185813,2,0.020618556701030927,2,0.020618556701030927,0.7912293084545219,-18.0
T0,TOP_10_PERCENT,39,39,7.6,9.0,39,1.0,39,1.0,32,0.8205128205128205,0.7447520889742918,0,0.0,0,0.0,0.7367026543905493,-22.0
T1,TOP_25_PERCENT,98,98,4.4,5.9,97,0.9897959183673469,98,1.0,79,0.8061224489795918,0.7451653057262125,0,0.0,0,0.0,0.7386151946815215,-24.6999990940094
T1,TOP_10_PERCENT,38,38,6.6,7.95,38,1.0,38,1.0,35,0.9210526315789473,0.6440393383452985,0,0.0,0,0.0,0.6938244027013583,-30.86875033378601
T2,TOP_25_PERCENT,101,101,3.3,4.3,93,0.9207920792079208,94,0.9306930693069307,67,0.6633663366336634,0.781981981981982,7,0.06930693069306931,7,0.06930693069306931,0.7507218179144322,-21.600000858306885
T2,TOP_10_PERCENT,38,38,5.2,6.7,38,1.0,38,1.0,33,0.868421052631579,0.5804085086156525,0,0.0,0,0.0,0.7007452529061617,-30.5
T3,TOP_25_PERCENT,98,98,2.4,3.3,86,0.8775510204081632,90,0.9183673469387755,72,0.7346938775510204,0.6988584749151177,9,0.09183673469387756,9,0.09183673469387756,0.7457948509514735,-22.6500004529953
T3,TOP_10_PERCENT,39,39,3.8,5.1,38,0.9743589743589743,39,1.0,31,0.7948717948717948,0.6358173076923077,0,0.0,0,0.0,0.7366809599999933,-27.200034856796265
T0_T1,TOP_25_PERCENT,195,124,4.4,6.4,192,0.9846153846153847,193,0.9897435897435898,144,0.7384615384615385,0.788021944529107,2,0.010256410256410256,2,0.010256410256410256,0.7668699200486162,-21.3464595079422
T0_T1,TOP_10_PERCENT,77,53,6.6,8.6,77,1.0,77,1.0,67,0.8701298701298701,0.6971361971361971,0,0.0,0,0.0,0.7088109404165043,-26.0
ALL_VISITS,TOP_25_PERCENT,394,175,2.4,5.5,371,0.9416243654822335,377,0.9568527918781726,283,0.7182741116751269,0.7624559453788703,18,0.04568527918781726,18,0.04568527918781726,0.7582868131831596,-21.600000858306885
ALL_VISITS,TOP_10_PERCENT,154,78,3.8,7.5,153,0.9935064935064936,154,1.0,131,0.8506493506493507,0.6868365822195779,0,0.0,0,0.0,0.7098746135882613,-26.40000081062317
