scope,containment_group,n,small_cell_suppressed,ld_median_raw_unit,ld_q25_raw_unit,ld_q75_raw_unit,ld_zero_fraction
T0,SUFFICIENT_CONTAINMENT,110,False,2.9,2.5,3.5,0.0
T0,SUSPECTED_TRUNCATION,265,False,4.2,3.3,6.0,0.0
T1,SUFFICIENT_CONTAINMENT,59,False,2.4,1.95,3.1,0.01694915254237288
T1,SUSPECTED_TRUNCATION,316,False,3.3,2.4,5.0,0.012658227848101266
T2,SUFFICIENT_CONTAINMENT,59,False,1.9,1.1,2.5,0.11864406779661017
T2,SUSPECTED_TRUNCATION,316,False,2.2,1.0,3.525,0.17405063291139242
T3,SUFFICIENT_CONTAINMENT,52,False,1.4,0.0,2.15,0.2692307692307692
T3,SUSPECTED_TRUNCATION,323,False,1.2,0.0,2.5,0.33436532507739936
ALL_VISITS,SUFFICIENT_CONTAINMENT,280,False,2.4,1.775,3.0,0.07857142857142857
ALL_VISITS,SUSPECTED_TRUNCATION,1220,False,2.8,1.5,4.3,0.13688524590163934
