kind,seed_base,model,fold,cells,test_once,source_feature_sha256,source_checkpoint_sha256
probe_selection,2026,G1,0,7,True,262e4fd8b358e8aaef222a3546390ecd8fa4d81d93fb04d720e7040470d0f8a0,43f13fff0bfabfc0ae312fc2c36ac1f976089dace892a25ff77c995c2e875830
pcr_selection,2026,G1,0,3,True,262e4fd8b358e8aaef222a3546390ecd8fa4d81d93fb04d720e7040470d0f8a0,43f13fff0bfabfc0ae312fc2c36ac1f976089dace892a25ff77c995c2e875830
probe_selection,2026,G1,1,7,True,39f4596c5938228829de10e1d824909e399b6f9d5d5255fc9536acd8e10bb8e3,48ca427683259e476af7836ce79ec4fab9abbb0ff4d9161a7ea428fcdb56f24f
pcr_selection,2026,G1,1,3,True,39f4596c5938228829de10e1d824909e399b6f9d5d5255fc9536acd8e10bb8e3,48ca427683259e476af7836ce79ec4fab9abbb0ff4d9161a7ea428fcdb56f24f
probe_selection,2026,G1,2,7,True,2e5a63f1a2fd4edd4578a87b6445af6f4be5a7688eb998d9ec6966d6793d97e5,ebb61830c4c4d269ca43697896569e8480ea915046a9b4858010a7e873e502ee
pcr_selection,2026,G1,2,3,True,2e5a63f1a2fd4edd4578a87b6445af6f4be5a7688eb998d9ec6966d6793d97e5,ebb61830c4c4d269ca43697896569e8480ea915046a9b4858010a7e873e502ee
probe_selection,2026,G1,3,7,True,3cc406d37ebd3e8656a97d3274fef7f5c48b6a41be9c5cb348c97a0180eabbd1,7e0a086a63a5550c9dceae9d76a5a74d264f2f61718cdf738f26fa753ac21c4f
pcr_selection,2026,G1,3,3,True,3cc406d37ebd3e8656a97d3274fef7f5c48b6a41be9c5cb348c97a0180eabbd1,7e0a086a63a5550c9dceae9d76a5a74d264f2f61718cdf738f26fa753ac21c4f
probe_selection,2026,G1,4,7,True,346125eabff9632116a0e6587d4f088bbc0381527d4fb394d06c7a5e1970de99,75b36cefe91769a009714fdea024e6fb94077f909a620180c21f35b23f8404d0
pcr_selection,2026,G1,4,3,True,346125eabff9632116a0e6587d4f088bbc0381527d4fb394d06c7a5e1970de99,75b36cefe91769a009714fdea024e6fb94077f909a620180c21f35b23f8404d0
probe_selection,2026,G3,0,7,True,319b8ec9bf02fe015e46b1286a3891429b32a24fc4d72a90d2da8e72ec5ed3d7,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c
pcr_selection,2026,G3,0,3,True,319b8ec9bf02fe015e46b1286a3891429b32a24fc4d72a90d2da8e72ec5ed3d7,a218617238d7b0bdeec85f42dd8d68fdccb0b927535dc809d230508a47642e5c
probe_selection,2026,G3,1,7,True,490373b70d63d4ce3d8b7cd3c9990d797dd01c266c072bc22d2c60ae2e8107d8,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b
pcr_selection,2026,G3,1,3,True,490373b70d63d4ce3d8b7cd3c9990d797dd01c266c072bc22d2c60ae2e8107d8,37b7baec35f4c04b0e3226f95783fe8b2cf462282a8d1c372be4157ba8cb200b
probe_selection,2026,G3,2,7,True,2e4f6f84d664012f5cadf7b7b8f888f670f38c36099abdb53f2eebeb7ee139f8,26782e70ea53e59095bd2459c49f44ba07d228a762791a42fa4955fb9a41126f
pcr_selection,2026,G3,2,3,True,2e4f6f84d664012f5cadf7b7b8f888f670f38c36099abdb53f2eebeb7ee139f8,26782e70ea53e59095bd2459c49f44ba07d228a762791a42fa4955fb9a41126f
probe_selection,2026,G3,3,7,True,1ffc69cbb5ece24ef3cf362179db3b0836df6c668a310803b33cde88be84fca8,7ad9c9ffe4701cb760e4376c0b2a26e7075c42775b326e4f8860992066002acc
pcr_selection,2026,G3,3,3,True,1ffc69cbb5ece24ef3cf362179db3b0836df6c668a310803b33cde88be84fca8,7ad9c9ffe4701cb760e4376c0b2a26e7075c42775b326e4f8860992066002acc
probe_selection,2026,G3,4,7,True,6c32fa5c06a0b73b70c7bf97f5f942eb6306bd0102cf99b8b3e10c070402ff2c,39a0231d4fa64d6398d8c931a4e7664275b41faa30b5679c6ec85df751e41963
pcr_selection,2026,G3,4,3,True,6c32fa5c06a0b73b70c7bf97f5f942eb6306bd0102cf99b8b3e10c070402ff2c,39a0231d4fa64d6398d8c931a4e7664275b41faa30b5679c6ec85df751e41963
